"design","m","m1","T","sigma2_eps","sigma2_f","k","df_eff_avg","pop_opt","pop_opt_Eest_paper","pop_opt_Eest_df","pop_avg","Average","RestrOLS","Shrink","RSM","MSE","Rank","sd_Average","sd_RestrOLS","sd_Shrink","sd_RSM","sd_MSE","sd_Rank"
"Prop2",50,40,100,1,0.75,10,48.999999774217,1.01874999999998,1.51793750000001,1.51793749769984,1.04773,1.04802056852048,2.01870926908511,2.01857704793479,1.04791114031754,1.04838760302921,1.05827176249771,0.0451361806741899,0.312605387140912,0.312565427601499,0.0488861346508463,0.0456066196839657,0.0535452955818218
"Prop2_smallm1",50,10,100,1,0.75,10,48.999998985402,1.07500000000002,1.60175000000002,1.60174998909307,1.50232000000003,1.50475449201118,2.12457664332102,2.12443759253096,1.19384254277243,1.50363482943179,1.51281412574365,0.067113780755917,0.328036792692869,0.327994396801109,0.0705690345095237,0.0707076285190836,0.123080158182228
"Toeplitz_tridiag",50,NA,100,1,0.75,10,48.9999999708184,1.0280674335464,1.53182047598413,1.5318204756841,1.02823000000001,1.02784031436891,2.01826304746235,2.01813224954556,1.05124263036276,1.02814759278426,1.03425306076302,0.0457806442839911,0.295653112834099,0.295615807466942,0.0471599588341302,0.0457760325115702,0.0459618524011817
"RandomSigma_nonneg",50,NA,100,1,0.75,10,48.9735176059376,1.00000277342777,1.49000413240737,1.48973930773197,1.37256757153054,1.37302760589882,1.99069519744771,1.99056457526943,1.41083916739519,1.37323121352366,1.37987655468313,0.061515339620311,0.29202116119068,0.291984193184174,0.0681619625693811,0.0615639732911699,0.0621787435409078
"RandomSigma_unconstrained",50,NA,100,1,0.75,10,48.9736818220766,1.00000273912606,1.49000408129783,1.4897408987984,1.37227220614004,1.37262846337655,1.98200855183538,1.98187914594328,1.40939640952464,1.3727658448587,1.37895950292934,0.062216522771084,0.292692762367668,0.29265510404898,0.0672680640004437,0.0621778343734616,0.062330203446836
