"scenario_id","sigma_type","m","T_len","R2_target","beta_design","phi_f","phi_eta","phi_u","rho","factor_r","factor_loading_scenario","factor_strength","factor_idio_var","beta_scale_using","z","rmsfe_base","rmsfe_rs","rel_rmsfe","rmse_pooled_base","rmse_pooled_rs","bias_base","var_base","bias_rs","var_rs","Q_ols","Q_rs_bag","Q_rs_subavg","L_ols","L_rs_bag","L_rs_subavg"
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",2,1.15447347015855,1.06981406513531,0.926668384149516,1.15933947822194,1.07380780257912,0.0015107854100527,1.34255724035388,0.00185382486614523,1.15120937201366,0.680453251239871,1.17450602405604,1.46098523093454,0.872923361979094,1.18130094570948,1.46944024689876
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",5,1.15447347015855,0.998951194372995,0.865287267481171,1.15933947822194,1.00185592371412,0.0015107854100527,1.34255724035388,0.00218749778312292,1.00152779409795,0.680453251239871,0.966367627287187,1.11741392837164,0.872923361979094,0.988726170593744,1.14326916243393
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",8,1.15447347015855,0.991600361001018,0.85892000694034,1.15933947822194,0.994613047688919,0.0015107854100527,1.34255724035388,0.00297370838041142,0.986281406252628,0.680453251239871,0.916912405442479,1.01886250700367,0.872923361979094,0.954029566977255,1.06011410322952
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",11,1.15447347015855,0.994965407976738,0.861834796290379,1.15933947822194,0.997959935565742,0.0015107854100527,1.34255724035388,0.00371294270495047,0.99221109028943,0.680453251239871,0.883761336231657,0.969969742977504,0.872923361979094,0.934859901285047,1.02606488309385
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",14,1.15447347015855,0.996142152292568,0.86285408720199,1.15933947822194,0.999321826975357,0.0015107854100527,1.34255724035388,0.00418466927917533,0.994459444590189,0.680453251239871,0.855175764503733,0.934991036928625,0.872923361979094,0.919445852963664,1.00527690267393
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",17,1.15447347015855,0.99633298583775,0.86301938640558,1.15933947822194,0.999469328391508,0.0015107854100527,1.34255724035388,0.00533750527627762,0.993601433119094,0.680453251239871,0.830113827875385,0.906625785443379,0.872923361979094,0.906884274280142,0.990496048591612
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",20,1.15447347015855,1.00524121097949,0.870735653060469,1.15933947822194,1.00845119027424,0.0015107854100527,1.34255724035388,0.0063811574339697,1.01059264573155,0.680453251239871,0.806952481220179,0.88119224422659,0.872923361979094,0.895562434799366,0.977984648090263
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",23,1.15447347015855,1.00726728213044,0.872490627257214,1.15933947822194,1.01090749039595,0.0015107854100527,1.34255724035388,0.00800455124232801,1.0139294028963,0.680453251239871,0.786148066952696,0.858327020599839,0.872923361979094,0.886089126166859,0.967480379223428
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",26,1.15447347015855,1.0160490714038,0.88009737570172,1.15933947822194,1.01985423467093,0.0015107854100527,1.34255724035388,0.00905947262757209,1.03104318734867,0.680453251239871,0.76701286528108,0.836806109202225,0.872923361979094,0.877801994025159,0.957718270030806
40,"factor",50,200,0.5,"B4",0.3,0.7,0,NA,2,"block",0.5,0.25,"innovation",29,1.15447347015855,1.02267101107066,0.885833271621401,1.15933947822194,1.02661841762001,0.0015107854100527,1.34255724035388,0.0105285550355963,1.04341682036101,0.680453251239871,0.749259058939053,0.815655871488136,0.872923361979094,0.870454969507012,0.947637239159051
