"Model","MAFE","MAFE_sig","RMSFE","RMSFE_sig","MAFE_nc","RMSFE_nc"
"Mean",1.39079813913332,"",2.20831146354941,"",1.32803869974899,2.07544403476619
"RSM(k*=13)",1.3810302501907,"",2.20487020025275,"",1.31889718512879,2.07092800686409
"RSM(k=sqrt(N)~6)",1.39122987260031,"",2.20874949963242,"",NA,NA
