"Model","MAFE","MAFE_sig","RMSFE","RMSFE_sig","MAFE_nc","RMSFE_nc"
"Mean",0.681927853944914,"",0.973763328788026,"",0.65886351336057,0.93041462263947
"RSM(k*=10)",0.676299391598329,"",0.969323493704931,"",0.653047626298868,0.925411863569411
"RSM(k=sqrt(N)~6)",0.680869585286844,"",0.972208454884866,"",NA,NA
