"k","rmsfe","mafe","rmsfe_nc","mafe_nc"
2,6.40739993215979,2.44306024482668,2.56783856567663,1.85141571276347
3,6.39222430169509,2.44594042625423,2.57919703352929,1.85623504674689
4,6.40667009265367,2.44700654193502,2.57522263764478,1.85576051287264
5,6.40118498864305,2.44402136663932,2.57078854330215,1.85307460046031
6,6.41150614548369,2.44392605441327,2.56724585380714,1.85188159361395
7,6.39480646146852,2.44404374733345,2.57242922759916,1.85381263173738
8,6.40926718524769,2.44704698876478,2.57339640091583,1.85545541130858
9,6.41122311340369,2.44515623265662,2.57190132476713,1.85331834564828
10,6.41474103815614,2.44701992448003,2.57713445047404,1.85297537334947
11,6.42612892086138,2.44856320731086,2.57805441535225,1.85348450529348
12,6.41630704061536,2.44639241596875,2.57402650788245,1.85210087346864
13,6.42806575941754,2.4476216090675,2.57621712935138,1.85225928238103
14,6.43801046675367,2.43408014296444,2.55538592656122,1.83470140377935
15,6.47051867299325,2.45141991676657,2.56553496505125,1.84517045516374
16,6.50874260240905,2.45893331801948,2.57483031285732,1.84498728045795
17,6.56234759715785,2.48454100041851,2.59032971662458,1.85941653081372
18,6.59752995937581,2.47858620436697,2.57376575255215,1.8445843006232
19,6.59700023884907,2.47856731506646,2.57510080671726,1.84466779409878
20,6.62468341480932,2.49493743091257,2.58335225266248,1.85641381285854
21,6.64896336372785,2.48919695952904,2.57282537688466,1.84286627080257
22,6.64715060060258,2.48830769803374,2.57152378186076,1.84209777616637
23,6.69073054029233,2.51802860250965,2.58933525383528,1.86351499309834
24,6.73720382311679,2.53926283985327,2.60444879835938,1.87574600532602
25,6.76310700634854,2.54868890361937,2.6098761923906,1.88023757805805
26,6.7617061046635,2.54877562861458,2.61020833779746,1.88049742603417
27,6.80645988047609,2.56224433539631,2.62310761007945,1.88469680770421
28,6.80510830906609,2.56231067697667,2.62398602071326,1.88492885612209
29,6.87211357393365,2.57884767036971,2.63302489987288,1.88681609640843
30,6.95364165127516,2.58310029223606,2.62076942634546,1.87042255475965
31,7.07835026461273,2.62731896928181,2.65345629515237,1.88773519233677
32,7.14958661638032,2.64077939061026,2.65521960499273,1.88383012991064
33,7.26008565954849,2.6883512455425,2.68576911043625,1.90728248775219
34,7.36122242283362,2.67232861620289,2.44082853531999,1.84351063229568
35,7.8181978357882,2.75973468377716,2.40582823981732,1.80826597035232
36,8.25131683986323,2.91333211266221,2.45765190294091,1.84752972871329
37,8.13283458781897,2.75079741630775,2.50826327074768,1.88759679426248
38,8.67569881315972,2.87911308946423,2.51551464572508,1.88493265416414
39,9.23987532461237,2.90298937618193,2.36416097082847,1.74984923573254
40,9.62873257014578,2.90823020724879,2.28394185073594,1.64190450556929
41,2.4286583089092,1.74070383690436,2.4286583089092,1.74070383690436
42,2.56958932913479,1.83237772651036,2.56958932913479,1.83237772651036
43,2.67497722887913,1.88056199824592,2.67497722887913,1.88056199824592
44,2.6640889114632,1.76949012947615,2.6640889114632,1.76949012947615
45,2.7449092168264,1.81186784935474,2.7449092168264,1.81186784935474
46,3.00206553289712,2.02255071648587,3.00206553289712,2.02255071648587
47,3.08911292157509,2.13061680504052,3.08911292157509,2.13061680504052
48,1.79391374231163,1.50985920532866,1.79391374231163,1.50985920532866
49,1.79386611149818,1.50974690062186,1.79386611149818,1.50974690062186
50,1.94327918526743,1.73246525748533,1.94327918526743,1.73246525748533
51,2.00479816172492,1.80110583285364,2.00479816172492,1.80110583285364
52,2.10961279162972,1.85078917861388,2.10961279162972,1.85078917861388
53,2.21049403745997,1.90196295294174,2.21049403745997,1.90196295294174
