"Model","MAFE","MAFE_sig","RMSFE","RMSFE_sig","MAFE_nc","RMSFE_nc"
"Mean",2.44508294687515,"",6.40478911699588,"",1.85389118258267,2.5724993276265
"RSM(k*=3)",2.43408014296444,"",6.39222430169509,"",1.83470140377935,2.55538592656122
"RSM(k=sqrt(N)~6)",2.44392605441327,"",6.41150614548369,"",NA,NA
