"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Contribution"
"RPI",0.135,-0.495139244606824,-0.0668437980219213,0.741683937087889,0.762869981304511,0.00141615566049939
"W875RX1",0.114,0.341212438209283,0.0388982179558583,0.556347126907442,0.751698715191079,-0.00759882865908
"DPCERA3M086SBEA",0.124,0.0115081823574271,0.00142701461232096,0.0145220485296305,0.745564585480735,-0.00104320838245741
"CMRMTSPLx",0.13,0.158763110706973,0.0206392043919066,-0.469624641567978,0.790726226954147,-0.0260126391809451
"RETAILx",0.132,-0.655189810510339,-0.0864850549873648,0.451732581698261,0.758116657961507,0.0264976436828798
"IPFPNSS",0.115,2.15827886716535,0.248202069724015,1.30963244251134,0.66612369345041,0.159720203402436
"IPFINAL",0.122,1.12512442350968,0.137265179668181,1.38755489548197,0.668726128748381,0.0986701598163431
"IPCONGD",0.123,0.446888971688188,0.0549673435176471,1.05715623494924,0.707737558686148,0.019206616409635
"IPDCONGD",0.144,0.151469726987374,0.0218116406861819,0.920659859758532,0.778539095537197,0.00309988704324134
"IPNCONGD",0.143,0.491559404204638,0.0702929948012632,0.966399518286587,0.731298006450504,0.0165259893492629
"IPBUSEQ",0.149,0.78490005277287,0.116950107863158,1.5686671041987,0.718208816971975,0.0994611884242812
"IPMAT",0.099,2.52039545820248,0.249519150362046,0.872573651230923,0.791279938568544,0.0202843381132933
"IPDMAT",0.136,2.34150047730778,0.318444064913859,0.739577454127982,0.811504537026155,-0.0229047526554902
"IPNMAT",0.146,0.490367644962782,0.0715936761645661,0.519921012431279,0.712370063630288,-0.0137781350497199
"IPMANSICS",0.133,2.25622508326328,0.300077936074017,1.03016705224461,0.726309227594098,0.0911810288810668
"IPB51222S",0.115,-1.52516369149253,-0.175393824521641,0.681028079849866,0.812389808272874,0.0230400359438846
"IPFUELS",0.126,0.275143515115644,0.0346680829045712,0.566094017330476,0.812509894460769,-0.0085427660573556
"CUMFNS",0.127,1.16783975505735,0.148315648892284,1.11570753723773,0.83779803337287,0.0412183283990494
"HWI",0.121,-0.0504273355551148,-0.00610170760216889,1.47469568752867,0.882204837968623,-0.00361520592097605
"HWIURATIO",0.132,0.0692547390166425,0.00914162555019681,1.62005160393808,0.892138820030728,0.00665430610368232
"CLF16OV",0.134,-0.617443166368081,-0.0827373842933228,1.30883469312679,0.792528241673677,-0.0427178452869983
"CE16OV",0.138,0.775173230916792,0.106973905866517,1.81531998394098,0.712403011151025,0.117983336425816
"UNRATE",0.129,0.889317699246807,0.114721983202838,0.735509028467263,0.883573300916132,-0.0169862269768196
"UEMPMEAN",0.126,-0.198697699437012,-0.0250359101290635,0.220117722793223,0.813298234960872,0.0148508139929411
"UEMPLT5",0.128,-0.0401402757297476,-0.00513795529340768,0.358483302085411,0.843631284187851,0.00249266864272929
"UEMP5TO14",0.117,0.776625902669235,0.0908652306123005,0.21716550712918,0.861009102843188,-0.0585029968028061
"UEMP15OV",0.128,-0.550698481389737,-0.0704894056178863,1.15478897332977,0.842762936923398,-0.0219945298435899
"UEMP15T26",0.132,-0.0966532561848724,-0.0127582298164032,1.26896077108274,0.830883466444842,-0.00558909092992074
"UEMP27OV",0.13,-0.780280566818295,-0.101436473686378,0.879203085610936,0.832692484070291,-0.00471787140931525
"CLAIMSx",0.123,-0.0828628398840215,-0.0101921293057346,0.703299274242619,0.805065836296858,0.00103721795945687
"PAYEMS",0.142,1.25456864894789,0.1781487481506,0.580633873286374,0.638496594592593,-0.01030817136529
"USGOOD",0.139,0.462527052723493,0.0642912603285655,0.824106489610177,0.79682130587734,0.00175419885048058
"CES1021000001",0.122,1.40619311954455,0.171555560584436,0.774895515161389,0.812183133843552,-0.00639689832587714
"USCONS",0.128,0.17570704059639,0.0224905011963379,0.742332150314762,0.845686715012842,-0.00232449596098914
"MANEMP",0.126,0.800164089122507,0.100820675229436,0.817915525898449,0.740547881932177,0.00780025810559019
