"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"RPI",0.064,0.125188010563786,0.00801203267608227,1.45529230934915,0.793116778068273,0.00530537199392456
"W875RX1",0.069,0.123438595315943,0.00851726307680008,0.589620390570822,0.800997377713595,-0.00180035340787639
"DPCERA3M086SBEA",0.066,0.0889739679149765,0.00462664633157878,0.463919317699113,0.829666030335635,-0.00169218068630676
"CMRMTSPLx",0.073,0.358949954332897,0.0262033466663015,0.227500209540743,0.844645409659908,-0.0161712696221665
"RETAILx",0.065,0.112619517522683,0.00630669298127024,0.575376770466618,0.795063555340694,-0.00138549710424316
"INDPRO",0.063,0.58109963524495,0.034865978114697,-0.294048186569051,0.802181361901963,-0.0382211154456746
"IPFPNSS",0.074,0.71584158049315,0.0529722769564931,-0.454484369974983,0.747295632498946,-0.0636610231318239
"IPFINAL",0.075,0.634440700264143,0.0456797304190183,-0.353230000726046,0.75684678626388,-0.0507080083741098
"IPCONGD",0.052,0.516364732038988,0.0227200482097155,0.204875795511716,0.783865153565178,-0.0131546661278869
"IPDCONGD",0.061,0.510247816281901,0.031125116793196,0.141433520224843,0.81646096318561,-0.0210103080007663
"IPNCONGD",0.06,0.129411821619271,0.00660000290258284,0.554354893899744,0.80473126661916,-0.00165248478668631
"IPBUSEQ",0.055,0.273179232345474,0.0131126031525827,-0.446029839598561,0.811932859004628,-0.0164951656475357
"IPMAT",0.059,0.516286331630649,0.0268468892447938,0.0668113926481029,0.84648207431382,-0.0209317324380924
"IPDMAT",0.063,0.58756580800024,0.0352539484800144,0.0129277962306107,0.894851482586387,-0.0310912922020909
"IPNMAT",0.074,0.109906637743761,0.00637458498913816,0.824770135805908,0.725301131619805,0.000634073620969252
"IPMANSICS",0.05,0.684233710155217,0.0342116855077609,-0.107372842683184,0.811469617870911,-0.0314351492916539
"IPB51222S",0.077,1.00654998955215e-16,3.72423496134296e-18,0.800257816083727,0.857281086875822,-2.12368058694049e-19
"IPFUELS",0.066,6.58493813640475e-17,1.77793329682928e-18,0.556613717335419,0.853285103024899,-5.27461934833809e-19
"CUMFNS",0.057,0.391021144750424,0.0183779938032699,0.339521136652832,0.829960979469642,-0.00901330039216402
"CLF16OV",0.069,0.021054531189741,0.00065269046688197,0.857273174451811,0.851232978463428,3.94237833971674e-06
"CE16OV",0.05,0.266668342645325,0.011466738733749,0.23535401508783,0.747343047735127,-0.00587084447191142
"UNRATE",0.052,0.362103667814225,0.0188293907263397,-1.40402954520999,0.885373732973882,-0.0431080688550872
"UEMPMEAN",0.055,0.00951069570144498,0.000266299479640459,0.180681931252735,0.853480768001193,-0.000179165980128821
"UEMPLT5",0.063,0.100493791003181,0.00532617092316859,1.03372100993988,0.887053360841947,0.000781176967994908
"UEMP5TO14",0.065,0.500037426099822,0.0325024326964884,0.268001977955801,0.869327488168263,-0.0195445419243621
"UEMP15OV",0.058,0.264794674725206,0.0148285017846116,-0.564361742239039,0.88375103449747,-0.0214733428941561
"UEMP15T26",0.065,0.242385759686546,0.0157550743796255,-0.343137099674296,0.873325035259949,-0.019165451415887
"UEMP27OV",0.068,0.1795044403719,0.00789819537636361,-0.0200971842041042,0.870817043349776,-0.00703661463280261
"CLAIMSx",0.069,0.187351522093918,0.0118031458919168,1.10382860816425,0.855285955908916,0.00293358518493363
"PAYEMS",0.057,0.471746178333444,0.0268895321650063,-0.738649051210494,0.654988890722698,-0.0374742722659857
"USGOOD",0.07,0.401821180235902,0.0277256614362772,-1.24781117332068,0.736104579056384,-0.0550053764685036
"CES1021000001",0.056,0.000466305091677109,1.49217629336675e-05,0.589404368668234,0.863076892244227,-4.0836765182595e-06
"USCONS",0.064,0.379973241645447,0.0227983944987268,-0.306959689450759,0.90295245035563,-0.0275840542721048
"MANEMP",0.06,0.400840881533851,0.0220462484843618,-1.07741934509665,0.628527112579085,-0.0376097195069361
"DMANEMP",0.058,0.380748365026624,0.0217026568065176,-1.24708996009493,0.703868442403517,-0.0423409806532155
"NDMANEMP",0.05,0.191904808065475,0.00806000193874994,-0.0155026875475306,0.508793691456995,-0.00422582983125605
"SRVPRD",0.058,0.381567350485787,0.0217493389776898,-0.571273831949115,0.541217676826261,-0.0241959549341573
"USTPU",0.055,0.30447300918332,0.0158325964775326,-0.532296074464123,0.623048776808608,-0.0182921088225961
"USWTRADE",0.056,0.300547481215814,0.0138251841359275,-0.507064575378158,0.68275012543646,-0.0164494073263955
"USTRADE",0.065,0.21757537402167,0.0121842209452135,-0.0262018568831235,0.597686627063664,-0.00760159513358196
"USFIRE",0.069,0.261345330705353,0.017771482487964,-0.388534041060307,0.663727009054014,-0.0187002388248733
"USGOVT",0.063,0.0091040990907366,0.000245810675449888,0.811302361160826,0.769824408818744,1.01957234814855e-05
"CES0600000007",0.06,0.0736980283376251,0.00309531719018025,0.165211121769238,1.10207555257463,-0.00289989257754035
"AWOTMAN",0.056,0.0731121227904327,0.00314382127998861,1.17500553837253,0.813647417657046,0.00113604534960203
"AWHMAN",0.059,0.048781660329649,0.00180492143219701,0.258195205690481,1.13943466586821,-0.00159056798857251
"HOUST",0.063,0.260473668863137,0.0158888938006514,-1.15021646296303,0.924004093916592,-0.0329570701473882
"HOUSTNE",0.077,0.164214369348346,0.0110023627463392,-0.549254343086159,0.604103372572341,-0.0126896599639639
"HOUSTMW",0.074,0.480239782333773,0.0355377438926992,-1.01952783250765,0.862575718633593,-0.0668857139799971
"HOUSTS",0.055,0.080426837294677,0.00321707349178708,-0.370344125744071,1.0108453494407,-0.00444338804775225
"HOUSTW",0.071,0.223375570537244,0.0127324075206229,-0.349884228007069,0.922903725046228,-0.0162056549056141
"PERMIT",0.064,0.093955058067885,0.00479170796146214,-0.515729981939461,1.03559813725563,-0.00743351129958719
"PERMITNE",0.063,0.185276206246491,0.00944908651857104,-0.610512705409261,0.65787287312044,-0.0119850850704349
"PERMITMW",0.057,0.256040948798337,0.0133141293375135,-0.636296897497335,0.979839264993152,-0.0215174458944311
"PERMITS",0.072,0.0462369605280332,0.00161829361848116,0.41091164772733,1.02222578557837,-0.000989285768171652
"PERMITW",0.063,0.142597686905766,0.00784287277981715,-0.412926179632822,0.92905057085706,-0.0105249529275646
"ACOGNO",0.077,0.078588698314677,0.00345790272584579,0.723177311584999,0.860055621519587,-0.000473311881031975
"AMDMNOx",0.056,0.43488181593119,0.0243533816921467,1.11091153003091,0.800262010119114,0.00756536633089412
"ANDENOx",0.068,0.0817359058107449,0.00408679529053725,0.893836080341548,0.758278427635997,0.000553996376673329
"AMDMUOx",0.074,0.0561873400311313,0.00280936700155656,0.486044653128337,0.784282100479688,-0.00083785844321735
