"","RS_mean","MEAN_mean","actual"
"1",0.985150014918782,0.950907144428374,1.32588322950578
"2",1.10947631452644,0.903492061815266,1.64066708656838
"3",1.19999831647835,0.964483147412267,0.362793408726381
"4",0.666311079544631,0.848795545466561,1.82128781313526
"5",0.545321942902738,0.739908524412284,0.10193258635609
"6",0.463493648623209,0.752921236380235,0.597038792781657
"7",0.429268926778683,0.725660010984872,-0.327798807640167
"8",0.560469317803517,0.755275820996093,0.624502930243831
"9",0.60695144117039,0.741910420723744,-0.400639195319075
"10",0.287215771504646,0.722215107276272,0.274775447859077
"11",0.844869504312168,0.894336602138912,0.836358656432412
"12",0.692123422842926,0.789296081867439,0.612706584005807
"13",0.77088618167305,0.85416282133746,0.406511430035095
"14",0.582209930158352,0.753289353635493,0.123605052551956
"15",0.833325508237129,0.873283454425551,0.526641985805054
"16",0.419015898366553,0.687818249944855,0.885621672871495
"17",0.980958751065009,0.893449429207515,1.66319995697106
"19",0.993333453432459,0.896511296165442,0.566651453956935
"20",1.19595941394527,0.962811714771579,0.774952323742117
"21",0.921573058172398,0.891521717299364,0.948593888793092
"22",0.988689857266429,0.897380038095576,1.02020812862096
"23",0.944178764670057,0.895916468467906,1.10936335419582
"24",0.821939231322266,0.823506474162733,0.492624454810731
"25",0.941501792076738,0.873772975672556,0.783814034507291
"26",1.08195088118413,0.881505672959411,0.555516539651735
"27",0.881162488452163,0.870240984726442,1.34538376848747
"28",0.907497438294678,0.855608761768842,0.25875276349554
"29",0.684509811987969,0.787442700932133,0.149955925631562
"30",0.740424001147302,0.841354554385281,0.859449800611878
"31",0.618843511672369,0.79388047865501,0.300835666705646
"32",0.667829482972686,0.78092923927648,0.611761957994639
"33",0.476497308455052,0.756280919364036,0.576025795961232
"34",0.674022864920149,0.778125447851751,0.628236731812626
"35",0.124838351960048,0.690827951097501,-0.426764320899475
"36",0.459014206989822,0.697116345917586,0.595428261812936
"37",-0.202678740161434,0.554950789089892,-0.525258050516886
"38",-0.716628637641882,0.446814546555596,-2.18902659529812
"39",-0.296275505872634,0.42679593068148,-1.1348742974823
"40",-0.237573347246354,0.473536868682162,-0.178650950635106
"41",0.48621490202247,0.672420218928682,0.351192395175048
"42",0.331872257741522,0.693827224007342,1.08091365081857
"43",0.460881165679025,0.695829115524357,0.4845009505686
"44",0.672732800644587,0.773891896477966,0.967586118312402
"45",0.418646414349456,0.707873542939764,0.771084936047317
"46",0.49784037865841,0.703237822028593,0.525110260826867
"47",0.763972099346019,0.79910610056477,-0.237204897109011
"48",0.282528364370313,0.642115980773118,0.676582293143668
"49",0.626739498084179,0.739186109942515,-0.0223127359171404
"50",0.577111963167225,0.739661005452548,1.123049056758
"51",0.704419612663985,0.821739446869635,0.838590819971663
"52",0.491773254069831,0.710495756593246,0.446334746165311
"53",0.448394036230498,0.730622145314683,0.144027997322937
"54",0.374784345645831,0.684647671466523,0.115640553760366
"55",0.684642792951276,0.793968163017781,0.986560663863845
"56",0.48702904498049,0.734715300904524,0.267636334812926
"57",0.501263538465099,0.743037787803805,0.851393569084391
"58",0.73795592266597,0.805838762328312,0.871741753427258
"59",0.398915070395657,0.701946861201786,-0.345095985284771
"60",0.578483152862988,0.780080097599008,1.29184212921329
"61",0.475411250016086,0.74418976642853,1.21539140931679
"62",0.785818221879745,0.813205186021821,0.50573313621205
"63",0.463355579271667,0.742764855067192,0.900484977565719
"64",0.496332829222673,0.743493895243227,0.619405086758862
"65",0.632736331976411,0.751307911111587,0.400245061252824
"66",0.524026436313503,0.736393815324441,0.184479126463644
"67",0.548771338468142,0.765195575045898,0.579519406045015
"68",0.633096146428698,0.759099539877729,0.321124068438117
"69",0.50806291062435,0.729393194285214,0.709390255078635
"70",0.58711729020781,0.749564118259857,0.554299112748469
"71",0.533162591299952,0.759815867748598,0.486890210041757
"72",0.679493483238786,0.771952684375405,0.559872562311114
"73",0.420932223559042,0.722537827990252,0.788524130554702
"74",0.729138038940372,0.807391892687466,1.12704662676928
"75",0.780745854925439,0.849468799614819,0.813409801818232
"76",0.684078795838151,0.799585628806855,0.530825141012969
"77",0.724307324138655,0.797222144173322,0.623697425311431
"78",0.523883885137246,0.740712604069863,0.141644219115711
"79",0.460432239184192,0.71846987433479,0.624318082446607
"80",0.459715624822148,0.701950433002189,0.83514584070854
"81",0.491050299251606,0.727550265766346,1.17000185659106
"82",0.583054293608536,0.772257529896875,0.681877869564174
"83",0.560130735127008,0.751983956264582,-1.39244108584196
"84",-6.10561849686235,-1.30468444362847,-7.90896523782312
"85",2.47298437557416,1.20186377691147,7.83022506040816
"86",1.39738746181865,0.90344865946208,1.0847255116152
"87",0.105895946624195,0.742146103970266,1.38018613891377
"88",0.34274902955709,0.855609578416523,1.57004487382433
"89",2.46713935515229,0.979866584322028,0.852849396220146
"90",1.56565194850893,0.956209440497781,1.80315891104252
"91",1.88888913107864,0.920010558848756,-0.257454467562235
"92",0.928564396952042,0.787139219905019,0.0701794433398906
"93",0.991155809788888,0.826419122552439,0.673208200546527
"94",0.108688096609739,0.681702525352031,0.827827924540347
"95",0.964327273782826,0.761972332139679,0.692043793064823
"96",0.844286901282722,0.770842735484578,0.606973885924189
"97",0.769017927296737,0.727014019073812,1.07152278732308
"98",0.158971230154753,0.630496896183535,0.788672702737836
"99",0.392094492314842,0.66017476695101,0.404802139316907
"100",0.62727510922609,0.70573263810453,0.738979623307401
"101",0.653766708022496,0.693051098126095,0.759510480278403
"102",0.328088234455239,0.6791880260245,0.607065022345421
"103",0.902717880392391,0.777791514816782,-0.125866794345786
