"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"RPI",0.067,0.124792510639427,0.00823630570220219,-1.05101579007475,0.783337776605383,-0.0151082967411025
"W875RX1",0.08,0.113328903440406,0.00906631227523247,-1.32804912987189,0.793321833092336,-0.0192330116018443
"DPCERA3M086SBEA",0.062,0.3494708812072,0.020968252872432,0.836169098924011,0.781201459923708,0.00115257535435892
"CMRMTSPLx",0.065,0.422883974980304,0.0274874583737198,0.240431388767393,0.836773656183038,-0.0163919332520772
"RETAILx",0.067,0.124470236758815,0.00697033325849363,0.858655791095675,0.791617004203385,0.000467282685884393
"INDPRO",0.069,0.526189940699148,0.0352547260268429,0.976810562280916,0.816045099408348,0.00566774234815099
"IPFPNSS",0.065,0.598480428352892,0.038901227842938,1.15665005790071,0.748660508719269,0.0158712944102448
"IPFINAL",0.073,0.531078635966305,0.0371755045176413,1.05813082953852,0.75623134701244,0.0112232655765218
"IPCONGD",0.076,0.40379142679713,0.0294767741561905,1.02628967307172,0.762204795299194,0.007784370300166
"IPDCONGD",0.081,0.177055968502692,0.0127480297321938,0.699666148771749,0.836280783815951,-0.00174156742939629
"IPNCONGD",0.075,0.179836157904657,0.0100708248426608,1.04059930489571,0.772792934181668,0.00269703105120976
"IPBUSEQ",0.079,0.273946919140563,0.0210939127738233,0.877046555382899,0.824672475568415,0.00110477427121598
"IPMAT",0.072,0.36050193130061,0.0219906178093372,0.814927463182169,0.861466843832239,-0.00102342973295895
"IPDMAT",0.074,0.344586119967414,0.0223980977978819,0.678653859612766,0.910812980488308,-0.0051999226940407
"IPNMAT",0.065,0.0889443065632601,0.00471404824785278,0.79384456648901,0.74244173318197,0.000242315436285722
"IPMANSICS",0.081,0.519756121339487,0.041580489707159,0.763494357379657,0.824183682557089,-0.00252349186087464
"IPB51222S",0.071,8.80887272316382e-17,3.25928290757062e-18,0.713283562800604,0.843566758521321,-4.24629792956209e-19
