"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"RPI",0.069,0.160926655284696,0.0107820859040746,0.597446158074533,0.783432627159409,-0.00200532208666866
"W875RX1",0.068,0.157618481674871,0.0107180567538912,0.621480131033092,0.78380663584251,-0.00173982469120814
"DPCERA3M086SBEA",0.065,0.29616246302374,0.0186582351704956,0.816801225138697,0.821263819447052,-8.32641340758037e-05
"CMRMTSPLx",0.055,0.449744674237737,0.0247359570830755,0.981451189102178,0.828697101515048,0.0037785185548196
"RETAILx",0.062,0.124850375991815,0.00636736917558257,1.21580840942892,0.790191780875633,0.00271005820126557
"INDPRO",0.068,0.538875468801387,0.0355657809408916,0.95876914888382,0.800553948710632,0.00562704715087891
"IPFPNSS",0.062,0.61173203759111,0.0379273863306489,0.763565541418187,0.742110780933685,0.000813722989527255
"IPFINAL",0.061,0.551991811639345,0.0331195086983607,0.698564239059518,0.753214110545972,-0.0018099768940599
"IPCONGD",0.075,0.486799148945741,0.0335891412772562,0.781592835039913,0.78557424103348,-0.00013373200840004
"IPDCONGD",0.063,0.309550908712618,0.0191921563401823,0.766691585069168,0.830450023011751,-0.00122366190899987
"IPNCONGD",0.072,0.142940491017405,0.00700408405985286,0.79561406011539,0.800796520769434,-3.62983900577975e-05
"IPBUSEQ",0.066,0.261808496324379,0.015184892786814,0.609575726500222,0.796261507838034,-0.00283480357443727
"IPMAT",0.071,0.36106784569465,0.0227472742787629,1.06484392429655,0.84763151001629,0.00494099036438546
"IPDMAT",0.058,0.47476517222386,0.0261120844723123,0.889414478001904,0.891589548681603,-5.6795629321539e-05
"IPNMAT",0.08,0.0781741620127387,0.00437775307271337,1.21205427427542,0.742009384236266,0.00205774046168212
"IPMANSICS",0.063,0.579542143095463,0.0336134442995369,0.949465632771962,0.812919685197312,0.00458977960312798
"IPB51222S",0.066,9.73814765861056e-17,3.31097020392759e-18,0.809316078193656,0.855951303912045,-1.54407842807025e-19
"IPFUELS",0.072,0.0038715391103287,0.000116146173309861,0.706717783603827,0.850705725916903,-1.67236485024248e-05
"CUMFNS",0.055,0.296238608706238,0.0127382601743682,1.21722416463186,0.839141726922394,0.00481611245890253
"CLF16OV",0.073,1.47928131703017e-16,5.32541274130862e-18,0.727705664906719,0.848126697619895,-6.41291701932289e-19
"CE16OV",0.065,0.274356414074804,0.0161870284304134,0.201876822287783,0.722839429875359,-0.00843283654020239
"UNRATE",0.054,0.363301362856709,0.0196182735942623,0.330079315137777,0.850926308881498,-0.0102181188240133
"UEMPMEAN",0.073,0.0712058704568327,0.00341788178192797,0.175617130681549,0.835761840357429,-0.00225629657663732
"UEMPLT5",0.06,0.0845400815472518,0.00355068342498458,1.20702588031156,0.894441500201523,0.0011098881773658
"UEMP5TO14",0.072,0.435624859999612,0.0313649899199721,1.69242816851742,0.870885274391274,0.0257676845930913
"UEMP15OV",0.07,0.25035745205476,0.0170243067397237,0.306114869787777,0.855636514579964,-0.00935522504105968
"UEMP15T26",0.054,0.243261371199991,0.0126495913023995,0.376449228652742,0.862511752428447,-0.00614849227317553
