"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Contribution"
"RPI",0.128,-0.579185127893129,-0.0741356963703205,0.745076220730279,0.766704930266368,0.0016034594430494
"W875RX1",0.121,0.444111602431819,0.0537375038942501,0.870571888708183,0.753498165732982,0.00629124964429422
"DPCERA3M086SBEA",0.139,0.066562158408375,0.00925214001876412,0.383878515787561,0.743192546853495,-0.00332442372612858
"CMRMTSPLx",0.125,0.297791540961187,0.0372239426201484,1.08321191866672,0.7936125376084,0.0107800307433452
"RETAILx",0.118,-0.845029645668526,-0.099713498188886,0.579861290868489,0.766831999074526,0.0186435033740775
"IPFPNSS",0.14,2.37868761116713,0.333016265563399,0.888151377140534,0.692027491979798,0.0653124438240132
"IPFINAL",0.123,0.872406098621265,0.107305950130416,0.914795551876879,0.696340003993264,0.0234415801269118
"IPCONGD",0.132,0.425058871463591,0.056107771033194,0.680035846467653,0.723544875944477,-0.00244119466376215
"IPDCONGD",0.11,-0.0415506459950932,-0.00457057105946025,1.02787296214912,0.798754289188763,-0.00104720317581456
"IPNCONGD",0.121,0.173225504405756,0.0209602860330964,0.510701752489284,0.739290364306633,-0.00479128268760008
"IPBUSEQ",0.134,0.857778597861213,0.114942332113403,0.958350402615493,0.744729267412682,0.0245541114689236
"IPMAT",0.115,2.83807832458406,0.326379007327167,0.624244003816687,0.804154871151577,-0.058719130288131
"IPDMAT",0.118,2.45543564006805,0.28974140552803,0.788522050305329,0.826028203435486,-0.0108670855238813
"IPNMAT",0.14,0.557433825948199,0.0780407356327478,0.683585524055741,0.720816662510765,-0.00290554543347479
"IPMANSICS",0.133,2.63100400618674,0.349923532822836,0.906056028132385,0.74805413195302,0.0552885817037901
"IPB51222S",0.13,-1.25187761993748,-0.162744090591872,0.916028117458167,0.817055199432915,-0.0161072575372436
"IPFUELS",0.142,0.635239564810139,0.0902040182030398,0.744892218527582,0.816720129304237,-0.00647916617118373
"CUMFNS",0.128,1.51782561828504,0.194281679140485,1.02476891246266,0.854911682710395,0.033000147810421
"HWI",0.127,-0.127750512882081,-0.0162243151360243,1.56471277428709,0.936872114791937,-0.0101862847148587
"HWIURATIO",0.117,0.0431595663277236,0.00504966926034366,3.52025886894871,0.959460578167821,0.0129311844108968
"CLF16OV",0.139,-0.484543359506843,-0.0673515269714512,0.897341912599359,0.799843021549286,-0.00656669919024556
"CE16OV",0.151,0.769402759200906,0.116179816639337,0.955434458289028,0.719430022316512,0.0274189520973571
"UNRATE",0.139,0.807191469799347,0.112199614302109,0.513243461057677,0.902652974250008,-0.0436915971857516
"UEMPMEAN",0.143,-0.182112414805508,-0.0260420753171876,0.740640901389522,0.81833857935643,0.0020234087815848
"UEMPLT5",0.11,-0.0873286703802415,-0.00960615374182657,0.83274095206276,0.850066635939753,0.000166433183004679
"UEMP5TO14",0.127,0.722201711985651,0.0917196174221776,-0.34490351872094,0.880263535632908,-0.112371853503591
"UEMP15OV",0.126,-0.533370853256452,-0.067204727510313,0.879234912370697,0.856637327570853,-0.0015186645288647
"UEMP15T26",0.144,-0.141216810305522,-0.0203352206839952,0.217970334572826,0.847252124310179,0.0127965840667285
"UEMP27OV",0.119,-0.6472261820022,-0.0770199156582617,1.0793203839182,0.84173615055215,-0.0182987176155862
"CLAIMSx",0.129,-0.125132877126782,-0.0161421411493548,0.657826543735895,0.815044064398197,0.00253782740968248
"PAYEMS",0.132,1.216452474598,0.160571726646937,1.17217375607759,0.626430239187877,0.0876309788133524
"USGOOD",0.15,0.481626134505868,0.0722439201758802,1.18053169779766,0.789580951960474,0.0282438144749625
"CES1021000001",0.137,1.30626452574042,0.178958240026438,1.02391452486712,0.816810518767508,0.0370629684340112
"USCONS",0.134,-0.0178876277982261,-0.0023969421249623,0.867078884908135,0.844046506526996,-5.52072779798223e-05
"MANEMP",0.13,0.74969728681641,0.0974606472861334,1.18351316484102,0.737620168926049,0.0434570200022264
"DMANEMP",0.12,1.01577767819566,0.121893321383479,1.17437988092288,0.762725190458688,0.0501779574837685
"NDMANEMP",0.122,-0.0896072558744951,-0.0109320852166884,1.06328187028482,0.701242385867747,-0.00395784649545332
"SRVPRD",0.139,0.4344311909557,0.0603859355428423,1.05602094511237,0.480887417246879,0.0347299761422129
"USTPU",0.124,0.960740430384323,0.119131813367656,1.09364974171655,0.645412054145759,0.0533993685400333
"USWTRADE",0.149,0.832973431332827,0.124113041268591,1.13924834098043,0.64503784966121,0.0613379671044726
