"scenario_id","sigma_type","m","T_len","R2_target","beta_design","phi_f","phi_eta","phi_u","rho","factor_r","factor_loading_scenario","factor_strength","factor_idio_var","beta_scale_using","z","rmsfe_base","rmsfe_rs","rel_rmsfe","rmse_pooled_base","rmse_pooled_rs","bias_base","var_base","bias_rs","var_rs","Q_ols","Q_rs_bag","Q_rs_subavg","L_ols","L_rs_bag","L_rs_subavg"
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",2,1.12316352673122,1.09467676359324,0.97463702972898,1.13263650655406,1.10382770227173,4.56723788641564e-05,1.28281978360011,3.05312861018431e-05,1.21840506501638,0.738247368215936,1.18892508035438,1.29277621209708,1.00898318803479,1.19547103923151,1.29989411491946
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",5,1.12316352673122,1.03907713324052,0.925134326846044,1.13263650655406,1.04802018699471,4.56723788641564e-05,1.28281978360011,1.05231173245838e-05,1.09833578923109,0.738247368215936,1.02931905124017,1.14575035961179,1.00898318803479,1.05236768165839,1.1714072086603
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",8,1.12316352673122,1.01915517950718,0.90739696869721,1.13263650655406,1.02822070076439,4.56723788641564e-05,1.28281978360011,4.16402313433795e-06,1.05723364545727,0.738247368215936,0.957307120913074,1.06040342840713,1.00898318803479,0.995460557289096,1.10266787504762
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",11,1.12316352673122,1.01308753524173,0.90199468833372,1.13263650655406,1.02225795755852,4.56723788641564e-05,1.28281978360011,1.28358694490187e-06,1.04501004820477,0.738247368215936,0.916774000358364,1.00448681166494,1.00898318803479,0.969877673492067,1.06267440978312
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",14,1.12316352673122,1.01361775435025,0.902466764835406,1.13263650655406,1.02294130681211,4.56723788641564e-05,1.28281978360011,1.38166959341173e-07,1.04640877901552,0.738247368215936,0.888820651577681,0.96433761365982,1.00898318803479,0.956934072517132,1.0382432093998
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",17,1.12316352673122,1.01713653473353,0.905599683862363,1.13263650655406,1.02644942627236,4.56723788641564e-05,1.28281978360011,6.1518490325284e-07,1.05359780950995,0.738247368215936,0.866472660857459,0.933322505073197,1.00898318803479,0.94966716001991,1.02294328223073
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",20,1.12316352673122,1.0224758631104,0.910353513780971,1.13263650655406,1.03201179837346,4.56723788641564e-05,1.28281978360011,5.53985441610397e-07,1.06504779799657,0.738247368215936,0.847131841047663,0.907771916898262,1.00898318803479,0.945490157342676,1.01318132938036
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",23,1.12316352673122,1.02996021056573,0.917017144923902,1.13263650655406,1.03950645565265,4.56723788641564e-05,1.28281978360011,1.21767597758753e-06,1.08057245366757,0.738247368215936,0.829754583143558,0.88583340426033,1.00898318803479,0.943389951465642,1.00716231849273
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",26,1.12316352673122,1.03760454055091,0.923823215280756,1.13263650655406,1.04735870457423,4.56723788641564e-05,1.28281978360011,1.10134314875142e-06,1.09695915470426,0.738247368215936,0.813793442978656,0.866223138860585,1.00898318803479,0.9428502590761,1.00361123008269
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",29,1.12316352673122,1.04692431861963,0.932121007941321,1.13263650655406,1.05674863326249,4.56723788641564e-05,1.28281978360011,1.52191322690956e-06,1.11671615198891,0.738247368215936,0.79901185965964,0.848144211886688,1.00898318803479,0.943682844727264,1.0017312840243
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",32,1.12316352673122,1.05887639994187,0.94276245154038,1.13263650655406,1.06886207970672,4.56723788641564e-05,1.28281978360011,1.79056452401897e-06,1.14246435487046,0.738247368215936,0.785403866783774,0.831107018936828,1.00898318803479,0.945963214582072,1.00103288350981
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",35,1.12316352673122,1.07106987887792,0.953618821646648,1.13263650655406,1.08125322850725,4.56723788641564e-05,1.28281978360011,4.69308984199967e-06,1.1691038510675,0.738247368215936,0.773081684863742,0.814845213928335,1.00898318803479,0.949915949524274,1.00125839879588
3,"toeplitz",50,200,0.3,"B4",0.3,0.7,0,0.8,NA,NA,NA,NA,"innovation",38,1.12316352673122,1.08553686169531,0.966499388432409,1.13263650655406,1.09585704050781,4.56723788641564e-05,1.28281978360011,5.74987612713963e-06,1.2008969033544,0.738247368215936,0.762095581215928,0.799034737748739,1.00898318803479,0.95570845720859,1.00205976824764
