"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"toeplitz",150,2,1.13681922924335,1.10561891804424,0.972554729550205,1.18646419525208,1.19513827510034
"toeplitz",150,6,1.13681922924335,1.0356267573721,0.910986312275347,0.98786903135313,1.0250673978269
"toeplitz",150,10,1.13681922924335,1.02155562043565,0.898608674235376,0.910262167394186,0.9738739930037
"toeplitz",150,14,1.13681922924335,1.02369392685262,0.900489629766352,0.863597423484955,0.953563440227027
"toeplitz",150,18,1.13681922924335,1.03285139642129,0.908544973424436,0.827524112753633,0.943988852827005
"toeplitz",150,22,1.13681922924335,1.04610782066127,0.92020595161602,0.795850255513148,0.938947460682466
"toeplitz",150,26,1.13681922924335,1.06283316126458,0.934918352825527,0.766863862792228,0.936832873612778
"toeplitz",150,30,1.13681922924335,1.08278180092947,0.952466120449199,0.740328499083177,0.937665733524099
"toeplitz",150,34,1.13681922924335,1.10736855290914,0.974093791188051,0.716116368669674,0.941618089624468
"toeplitz",150,38,1.13681922924335,1.1389410211062,1.00186642854753,0.695025529978765,0.950154570632758
"toeplitz",150,42,1.13681922924335,1.17644689301129,1.03485836863818,0.67769611862161,0.964756661516964
"toeplitz",150,46,1.13681922924335,1.22628571915659,1.07869895900053,0.665517047027966,0.988281415843828
"toeplitz",150,50,1.13681922924335,1.29165784395344,1.13620337405196,0.660611680267438,1.02524047665055
