"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",200,2,1.08392568577824,1.07396420352855,0.990809810690543,1.17591086583292,1.18220459733955
"factor",200,6,1.08392568577824,1.0433509951145,0.962566907310989,1.05626977674468,1.08515430548564
"factor",200,10,1.08392568577824,1.02744796177007,0.947895206517208,0.977777431311912,1.02698170029011
"factor",200,14,1.08392568577824,1.02225110583743,0.943100730289892,0.923359941321304,0.992012706562752
"factor",200,18,1.08392568577824,1.02242158641814,0.94325801098076,0.883190775600321,0.971072401011981
"factor",200,22,1.08392568577824,1.02715084571162,0.947621095420524,0.851883193325229,0.959105300612233
"factor",200,26,1.08392568577824,1.0368176407759,0.956539414444708,0.826170512718671,0.95300420026562
"factor",200,30,1.08392568577824,1.04772400613593,0.966601326901565,0.804638956033682,0.951540677135664
"factor",200,34,1.08392568577824,1.06417322838193,0.981776926540748,0.786504504819127,0.954122944067956
"factor",200,38,1.08392568577824,1.08421702872881,1.00026878498627,0.77157090071432,0.960829330311264
"factor",200,42,1.08392568577824,1.10742921661607,1.02168371055895,0.759906507759605,0.97208454823112
"factor",200,46,1.08392568577824,1.13703124840304,1.04899373021746,0.752146974158702,0.98910790290371
"factor",200,50,1.08392568577824,1.17380334584792,1.08291865507842,0.749134478797571,1.01353895404655
