"","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55"
"1999-09",0.975507508143909,0.967592173135302,0.961662489529459,1.00621070958758,1.04089888810191,1.06403745986058,1.08320231894631,1.07913936038362,1.09901554584304,1.12212565216639,1.11301096754442,1.09739505840774,1.14484125044701,1.1368603468657,1.1131069473023,1.12374749986486,1.17766743542531,1.15432635566184,1.14259431533719,1.16830387327822,1.1875661428159,1.14208484680028,1.1884628550451,1.19568708463199,1.17544716554685,1.19045911973424,1.21486394981037,1.19873830775536,1.21637519025757,1.19020311755901,1.23469281765706,1.22146600648497,1.20203210033226,1.21150068273514,1.2258694327749,1.17481951131086,1.19494722328474,1.23253118223102,1.20791517532373,1.25553363475843,1.21080092020363,1.22235530704588,1.18634485812536,1.25786053355609,1.26064753122973,1.2605040810071,1.33614915985858,1.29887562738825,1.2723026416714,1.32025590415093,1.28823754910063,1.31404237920948,1.31369627946666,1.32417475508729
"1999-12",0.933802725567696,0.975444212604651,0.996316177467982,0.991166251717561,1.04326191643521,1.09296976728782,1.0769205409735,1.07743457805011,1.1012104603113,1.11443471654271,1.13231179431738,1.1383039037703,1.14919280647589,1.14513940394202,1.11072885216692,1.15394662907112,1.15977906501546,1.10202219189086,1.14265519764321,1.14154264599915,1.14457509625754,1.13462451834108,1.19125917102791,1.11970241834096,1.19996022191093,1.21498961053276,1.1988073229555,1.16693474804659,1.2446186960875,1.21165877092556,1.18080039562285,1.22291992403629,1.19107504516851,1.28572870524529,1.22883491740808,1.27535901893598,1.28417315260469,1.2385531592212,1.2372571524219,1.24493600365681,1.23644361198036,1.18240454559549,1.30431269804977,1.25318955594155,1.26019796340732,1.27304011595589,1.30184945969163,1.31262273247287,1.3183958035493,1.29472196067013,1.35670559883057,1.35839421220223,1.36682563782241,1.2984923858797
"2000-03",1.03149878246298,1.05705701891467,1.1154682941242,1.15462734480136,1.17082282377806,1.27381269322381,1.25692567443452,1.2992792266564,1.27888839739076,1.30752818504096,1.3098223949689,1.36468821474986,1.36727198388807,1.39399101921379,1.39654350764398,1.37181418673193,1.42413653228736,1.4795470969503,1.50927615350426,1.43716484646895,1.48063362676176,1.48931927236782,1.49116545029008,1.51208150619098,1.51684537902839,1.47889015924737,1.61506781340816,1.55088498278705,1.51569808366681,1.56436346877532,1.5854860512026,1.62552727104682,1.56635631378549,1.63822194406395,1.64052213510096,1.58742794454051,1.5587080579169,1.61723495962877,1.60715667372774,1.58761277320657,1.581268057856,1.72442301846142,1.63763140176191,1.71246900527013,1.61096979340848,1.67109952270632,1.68841816295977,1.62250353458257,1.63728289574762,1.74807048409061,1.66856754792174,1.72520794851778,1.64692312676763,1.64594384687919
"2000-06",0.835721443771808,0.834877717582435,0.787574722622891,0.762308727967333,0.785680937505768,0.745794293072811,0.746791223153546,0.701685115576337,0.701640221962333,0.654307908719283,0.67260173162857,0.645870271244395,0.688350353530247,0.619391353978623,0.594537010261666,0.60718554820641,0.591579218974929,0.607895635581391,0.676868937644261,0.617782051617193,0.691131831059147,0.647361920526291,0.678891302224944,0.673729462766102,0.689681558182402,0.684805313291467,0.709238553217744,0.668064598999028,0.654857005756294,0.768192539294821,0.722396918246703,0.779969262290674,0.779843955360633,0.887293872525107,0.770089697641874,0.917015666737008,0.862241711720195,0.915340728931036,0.97545030354119,0.956565722142806,0.97087188771562,1.01870076218424,1.08699178596496,1.05012775483611,1.09204892518156,1.07456008444645,1.15102866890253,1.19508327858753,1.23530492235542,1.19987578451281,1.27698339465744,1.40592934262085,1.3301076440631,1.39489869709359
"2000-09",0.717449838767274,0.660982457780301,0.607552829052144,0.592530413975218,0.569860515534078,0.545493991628882,0.537778607441442,0.476757713817625,0.498815484605266,0.451160023005028,0.410742554985382,0.437731239253796,0.442521084492734,0.412382346500934,0.362892058837507,0.410097506013542,0.38480960302176,0.381789135538134,0.353869929884104,0.296929804228504,0.30191630744483,0.328024117589673,0.296811934847779,0.308602343631605,0.276767147825471,0.291814011107568,0.195623167938166,0.30215508143801,0.208775961845581,0.184219130690324,0.215420123577234,0.202226613018275,0.15636937753223,0.15554076937947,0.132162028044158,0.145436086915178,0.126569030252325,0.0942558323031821,0.0955437686583179,0.0976157003818537,-0.00677301245677171,0.0156336342015516,-0.03608539226928,-0.0109240767084726,-0.0218821252314497,-0.0599256466577267,0.0534328957492856,-0.0502947284936462,-0.15066106764982,-0.13850726895243,-0.158802268813455,-0.0745198758251857,-0.115341678613935,-0.220146932710603
"2000-12",0.749295060036219,0.669213401413203,0.658930817896291,0.613619043994334,0.582380484226598,0.492292711420204,0.49056781379999,0.410411919174249,0.375942738983355,0.380530190233887,0.378325697388237,0.367528086169342,0.341365029052888,0.323341362210983,0.309581128440114,0.266023310295274,0.26962755465211,0.225313599500313,0.195528126646011,0.225811150881412,0.210285787218607,0.168861407541007,0.174110804227355,0.0823657513888731,0.166848416370535,0.139351722936366,0.0917348110932183,0.103211403259992,0.0957256523667322,0.0316244197699953,0.0914078967712603,-0.0224396553547901,0.00365122745041504,0.0221029898603002,-0.0153284613217269,0.011134815476508,0.0388428425928002,0.0218110093952263,-0.0333066891056399,-0.0478252302517602,-0.0706731730338241,-0.0557990298308339,-0.0643724816242879,-0.0964840900046276,-0.0916353505782756,-0.161287609496117,-0.143099195619084,-0.177552930273083,-0.136206302228389,-0.179361405501757,-0.13221020342991,-0.30545298636782,-0.164735350382898,-0.115001108598578
"2001-03",0.684133676927562,0.615904785404097,0.580202801981598,0.574685243011903,0.550973807615716,0.453337677514976,0.427317152479888,0.429522559749352,0.40580808321461,0.414619922632759,0.45092371895038,0.358186832525146,0.368034985317231,0.369094967856951,0.385627612008512,0.352152487616717,0.40255344218822,0.371811034008271,0.336130260209534,0.366939332138732,0.346588123048898,0.369026273547608,0.306573273192315,0.322678639492376,0.367352470107944,0.392257768440387,0.306052051368244,0.360419043476304,0.348859482093176,0.347665828302753,0.263396786242889,0.246782341884843,0.283683912658273,0.216121662852607,0.184805812346063,0.209410913305952,0.22748776889312,0.215429537158462,0.169169148492443,0.119665848457825,0.193545574354545,0.145404002626727,0.157437235157022,0.100058816623406,0.101548349577582,0.0687641137677831,0.0307352727627486,-0.0907467555057743,0.0367304810311175,-0.0627177257237681,-0.0281604038208866,-0.0792321660572621,0.013649307782449,-0.098294704757158
"2001-06",0.778787890434658,0.643379226469867,0.554832217522159,0.599953258221499,0.51851479324352,0.390006416208854,0.413874809983714,0.448348946171702,0.435701101055891,0.468571811753614,0.39663041677262,0.457273089869603,0.516351000760148,0.454731479098732,0.559720575722108,0.588963020440562,0.463713427942441,0.524461203642307,0.623505172854619,0.682294074192959,0.582316407289348,0.567632734245332,0.675465516542708,0.619995108762143,0.689853954539196,0.62377035281366,0.630062431609761,0.489581253372686,0.640447118907442,0.431003981166892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-09",0.785602257751481,0.721647453521862,0.666348760477641,0.655956473754796,0.664452867810452,0.539421937680474,0.63071494034494,0.530979178379953,0.482546881107245,0.550424466124496,0.491465839280994,0.586237302209387,0.558500128696957,0.466865734065832,0.437379978012989,0.497820774038073,0.521531736762716,0.441175978752324,0.394165450646294,0.536605964989906,0.439856627419467,0.496282650901389,0.518417480491189,0.54557232332246,0.391766751757739,0.282342051576554,0.267162864989635,0.529979422904004,0.469907486972135,0.131082901404665,0.238660765375099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-12",0.776471369841617,0.687881301132268,0.571751871578797,0.485749685115508,0.41248541139285,0.456672932596807,0.556001824387378,0.447505731719758,0.210148107022434,0.41683226623014,0.157314594465478,0.445883185352573,0.169236284206975,0.232860579602485,0.352177571773288,0.181075653509398,0.354321234451041,0.0986817841761557,-0.0417772961187111,0.571086401653296,0.391284663835012,0.227169443660599,0.469731660908001,0.413012567342188,0.0190746953125405,0.381914700141693,0.323372234913886,0.744468402298469,0.741170733597015,1.10381734385369,0.984594898097002,1.04669961914809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
