"vintage","target_date","target_year","target_q","k_main","MEAN_bivariate","MEAN_fore_rs","RS_fore","LASSO_fore","RIDGE_fore","RF_fore","covid_excl","actual"
"1999-09",1999-09-01,1999,3,9,0.950907144428374,0.950907144428374,1.07123562822433,0.922541701395444,0.934770795814493,0.963445085875581,FALSE,1.32588322950578
"1999-12",1999-12-01,1999,4,9,0.903492061815266,0.903492061815266,1.08396517914826,1.04943699478661,1.02108590943404,1.01558511426344,FALSE,1.64066708656838
"2000-03",2000-03-01,2000,1,9,0.964483147412267,0.964483147412267,1.26497444243294,0.880037597911541,1.09877107560137,1.09312545218651,FALSE,0.362793408726381
"2000-06",2000-06-01,2000,2,9,0.848795545466561,0.848795545466561,0.712273334806834,0.643712583922978,0.669713056092706,0.765768223436857,FALSE,1.82128781313526
"2000-09",2000-09-01,2000,3,9,0.739908524412284,0.739908524412284,0.488872345114425,0.415528524859391,0.580997612087611,0.685465559575689,FALSE,0.10193258635609
"2000-12",2000-12-01,2000,4,9,0.752921236380235,0.752921236380235,0.460080470209721,0.216981506329525,0.566420876162264,0.698188426831664,FALSE,0.597038792781657
"2001-03",2001-03-01,2001,1,9,0.725660010984873,0.725660010984873,0.421315968012322,0.276630249868621,0.545314471318366,0.438311328625148,FALSE,-0.327798807640167
"2001-06",2001-06-01,2001,2,6,0.755275820996093,0.755275820996093,0.508785334735582,0.446337973796999,0.707468271417352,0.610792372708028,FALSE,0.624502930243831
"2001-09",2001-09-01,2001,3,6,0.741910420723744,0.741910420723744,0.613899029779725,0.864295274122813,0.75404082890586,0.651285940716038,FALSE,-0.400639195319075
"2001-12",2001-12-01,2001,4,6,0.722215107276272,0.722215107276272,0.426881905104835,1.12590914111772,0.530024565947086,0.374334592048691,FALSE,0.274775447859077
"2002-03",2002-03-01,2002,1,6,0.894336602138913,0.894336602138913,0.806845306986847,1.1193885660748,0.840897307902217,0.738928704396624,FALSE,0.836358656432412
"2002-06",2002-06-01,2002,2,6,0.789296081867439,0.789296081867439,0.721972180689198,0.701217623139421,0.696166549794915,0.655393079852614,FALSE,0.612706584005807
