"k","rmsfe_full","rmsfe_nocov"
2,1.06332589477889,0.591162603266945
3,1.0168535743138,0.57671012777148
4,0.944263992012769,0.564827635506081
5,0.863887340341011,0.552833611232066
6,0.852017897567554,0.542386812058011
7,0.76418213450114,0.537441955830459
8,0.767528743136365,0.52479266558562
9,0.755103899133383,0.522954205289084
10,0.760878069950498,0.518361152262857
11,0.698013142265236,0.519325384993343
12,0.746610650334705,0.518510369465286
13,0.7072695302156,0.508169570320332
14,0.668120649232337,0.504399206892872
15,0.715602256782529,0.50512237172228
16,0.685895981155725,0.502548654146206
17,0.68220894134987,0.502580499494594
18,0.755667787732518,0.505101393419676
19,0.662083520520632,0.505092945048097
20,0.699464688077077,0.503382074356835
21,0.704240832120901,0.498653211216428
22,0.679409627159108,0.500690488389065
23,0.695424909974773,0.50046711212739
24,0.705779180424103,0.500906481692987
25,0.735674812409252,0.509111249762064
26,0.729848384228366,0.503542851771006
27,0.757645740804,0.507226123061915
28,0.700998652062158,0.512847820405906
29,0.739263431542723,0.524213063487906
30,0.719482589888215,0.522928295543315
31,0.704956203984251,0.525268420060202
32,0.739177251648441,0.529501771450266
33,0.763783817438636,0.53843673735852
34,0.746475752453061,0.536595587535549
35,0.765480677378463,0.546891992563843
36,0.820971788185854,0.556080511782351
37,0.793191386263227,0.553106661043216
38,0.798990522592966,0.574171255396675
39,0.803152694487944,0.573991239385367
40,0.806688150773496,0.562939186497347
41,0.836792831641334,0.585334195658522
42,0.869300010804986,0.587707804503923
43,0.879102025947788,0.592447328147476
44,0.861306881954729,0.606565254672844
45,0.908550015915055,0.607762603695658
46,0.918830166267438,0.621388221748631
47,0.945351606275291,0.65028302950361
48,0.936170658597478,0.669885716043933
49,0.938738826731001,0.632241139035772
50,1.00308177403029,0.687478775580685
51,0.953751611725756,0.664713650629986
52,0.922408003575351,0.683368083803397
53,1.03056392693031,0.7281320623184
54,1.02169879659929,0.707221048123364
55,1.06051255508522,0.733200462075999
