T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.3,0.7,0.0,28,1.079460,1.035981,0.959721,1.092913,1.048536,0.000004,1.194454,0.000025,1.099402,0.910284,0.947747,1.008665,1.011787,1.003202,1.067686
500,0.000000,0.300000,0.3,0.7,0.0,29,1.079460,1.036544,0.960243,1.092913,1.049121,0.000004,1.194454,0.000024,1.100631,0.910284,0.944155,1.003300,1.011787,1.001571,1.064313
500,0.000000,0.300000,0.3,0.7,0.0,30,1.079460,1.037090,0.960749,1.092913,1.049689,0.000004,1.194454,0.000024,1.101824,0.910284,0.940808,0.998070,1.011787,1.000193,1.061069
500,0.000000,0.300000,0.3,0.7,0.0,31,1.079460,1.037736,0.961347,1.092913,1.050345,0.000004,1.194454,0.000026,1.103200,0.910284,0.937656,0.992914,1.011787,0.999016,1.057890
500,0.000000,0.300000,0.3,0.7,0.0,32,1.079460,1.038345,0.961911,1.092913,1.050968,0.000004,1.194454,0.000026,1.104507,0.910284,0.934707,0.987862,1.011787,0.998051,1.054809
500,0.000000,0.300000,0.3,0.7,0.0,33,1.079460,1.039351,0.962843,1.092913,1.052013,0.000004,1.194454,0.000028,1.106704,0.910284,0.931953,0.982901,1.011787,0.997291,1.051810
500,0.000000,0.300000,0.3,0.7,0.0,34,1.079460,1.040292,0.963715,1.092913,1.052928,0.000004,1.194454,0.000029,1.108628,0.910284,0.929388,0.978029,1.011787,0.996729,1.048895
500,0.000000,0.300000,0.3,0.7,0.0,35,1.079460,1.041329,0.964676,1.092913,1.054026,0.000004,1.194454,0.000029,1.110941,0.910284,0.927006,0.973258,1.011787,0.996363,1.046075
500,0.000000,0.300000,0.3,0.7,0.0,36,1.079460,1.042382,0.965651,1.092913,1.055085,0.000004,1.194454,0.000030,1.113175,0.910284,0.924806,0.968573,1.011787,0.996190,1.043335
500,0.000000,0.300000,0.3,0.7,0.0,37,1.079460,1.043613,0.966792,1.092913,1.056339,0.000004,1.194454,0.000032,1.115820,0.910284,0.922765,0.963958,1.011787,0.996188,1.040660
500,0.000000,0.300000,0.3,0.7,0.0,38,1.079460,1.044814,0.967904,1.092913,1.057563,0.000004,1.194454,0.000030,1.118411,0.910284,0.920894,0.959420,1.011787,0.996371,1.038055
500,0.000000,0.300000,0.3,0.7,0.0,39,1.079460,1.046239,0.969224,1.092913,1.059016,0.000004,1.194454,0.000032,1.121482,0.910284,0.919181,0.954963,1.011787,0.996726,1.035526
500,0.000000,0.300000,0.3,0.7,0.0,40,1.079460,1.047716,0.970593,1.092913,1.060498,0.000004,1.194454,0.000032,1.124624,0.910284,0.917627,0.950572,1.011787,0.997254,1.033059
500,0.000000,0.300000,0.3,0.7,0.0,41,1.079460,1.049329,0.972087,1.092913,1.062144,0.000004,1.194454,0.000033,1.128117,0.910284,0.916228,0.946263,1.011787,0.997954,1.030669
500,0.000000,0.300000,0.3,0.7,0.0,42,1.079460,1.050981,0.973617,1.092913,1.063828,0.000004,1.194454,0.000035,1.131694,0.910284,0.914980,0.942018,1.011787,0.998823,1.028338
500,0.000000,0.300000,0.3,0.7,0.0,43,1.079460,1.052892,0.975387,1.092913,1.065758,0.000004,1.194454,0.000036,1.135804,0.910284,0.913881,0.937836,1.011787,0.999858,1.026067
500,0.000000,0.300000,0.3,0.7,0.0,44,1.079460,1.054556,0.976929,1.092913,1.067441,0.000004,1.194454,0.000037,1.139393,0.910284,0.912930,0.933724,1.011787,1.001060,1.023860
500,0.000000,0.300000,0.3,0.7,0.0,45,1.079460,1.056621,0.978842,1.092913,1.069539,0.000004,1.194454,0.000037,1.143877,0.910284,0.912125,0.929666,1.011787,1.002427,1.021705
500,0.000000,0.300000,0.3,0.7,0.0,46,1.079460,1.058693,0.980761,1.092913,1.071653,0.000004,1.194454,0.000038,1.148401,0.910284,0.911468,0.925683,1.011787,1.003964,1.019621
500,0.000000,0.300000,0.3,0.7,0.0,47,1.079460,1.060867,0.982776,1.092913,1.073858,0.000004,1.194454,0.000038,1.153133,0.910284,0.910953,0.921747,1.011787,1.005665,1.017581
500,0.000000,0.300000,0.3,0.7,0.0,48,1.079460,1.063071,0.984817,1.092913,1.076094,0.000004,1.194454,0.000040,1.157940,0.910284,0.910585,0.917878,1.011787,1.007536,1.015605
500,0.000000,0.300000,0.3,0.7,0.0,49,1.079460,1.065488,0.987056,1.092913,1.078536,0.000004,1.194454,0.000040,1.163200,0.910284,0.910361,0.914052,1.011787,1.009575,1.013669
500,0.000000,0.300000,0.3,0.7,0.0,50,1.079460,1.067940,0.989328,1.092913,1.081026,0.000004,1.194454,0.000041,1.168577,0.910284,0.910284,0.910284,1.011787,1.011787,1.011787
500,0.000000,0.300000,0.7,0.3,0.0,2,1.009314,1.008257,0.998952,1.023402,1.022313,0.000121,1.047231,0.000119,1.045006,0.901106,1.056950,1.107099,1.001586,1.059118,1.109370
500,0.000000,0.300000,0.7,0.3,0.0,3,1.009314,1.006889,0.997597,1.023402,1.020906,0.000121,1.047231,0.000120,1.042129,0.901106,1.049150,1.087329,1.001586,1.053464,1.091800
500,0.000000,0.300000,0.7,0.3,0.0,4,1.009314,1.005730,0.996449,1.023402,1.019733,0.000121,1.047231,0.000120,1.039734,0.901106,1.041353,1.075295,1.001586,1.047789,1.081940
500,0.000000,0.300000,0.7,0.3,0.0,5,1.009314,1.004523,0.995253,1.023402,1.018526,0.000121,1.047231,0.000121,1.037275,0.901106,1.033747,1.066367,1.001586,1.042283,1.075172
500,0.000000,0.300000,0.7,0.3,0.0,6,1.009314,1.003685,0.994423,1.023402,1.017660,0.000121,1.047231,0.000120,1.035511,0.901106,1.026396,1.059018,1.001586,1.037011,1.069971
500,0.000000,0.300000,0.7,0.3,0.0,7,1.009314,1.002712,0.993459,1.023402,1.016686,0.000121,1.047231,0.000121,1.033529,0.901106,1.019341,1.052606,1.001586,1.032018,1.065697
