k,selected_rank,n_subsets,survival_q1,survival_q2,dispersion_q1,delta_q1,dispersion_q2,delta_q2
4,0,5000,0.3298,0,0.5239977918301152,0.7621688726261628,0.40361613957549747,0.6831833465094305
5,0,5000,0.357,0.002,0.4827101561993087,0.7212736768977486,0.3375461462080457,0.654080530368544
6,0,5000,0.479,0.0184,0.43828533292753313,0.6888167754182849,0.2816731513015105,0.6129089427119111
7,0,5000,0.523,0.0346,0.40036497525506076,0.6851903840739528,0.24172334839763832,0.5850251591433354
8,0,5000,0.5542,0.0616,0.36810339369500167,0.6147305310699296,0.20091766143263556,0.5269135388307642
9,0,5000,0.6762,0.114,0.3396302094053537,0.6008722330260189,0.16929376562145293,0.475277287038619
10,1,5000,0.7588,0.1436,0.30627674825107154,0.5608322144842574,0.14531300541298553,0.4448486049209054
