"T_train","sqrt_T","kstar_subset_theory_cont","kstar_subset_theory_int","kstar_bagged_interp_theory_cont","kstar_bagged_interp_theory_int","kstar_empirical_bagged","kstar_empirical_subset_avg","min_rsm_bagged_mspe","min_rsm_subset_avg_mspe","equal_weight_mspe","full_estimated_mspe"
60,7.74596669241483,10,10,3.37961862914603,3,8,11,1.27121268180661,1.89407864785019,1.47688114136028,NA
120,10.9544511501033,15,15,4.8638350322521,5,11,17,1.26596778174012,1.63429803722407,1.48943493880229,3.47991959187141
240,15.4919333848297,22.1221445044903,22,6.96415846762109,7,11,29,1.28003439954215,1.49193452579031,1.53991601663393,1.82784300108273
480,21.9089023002066,32.2311099736245,32,9.93540228037019,10,11,38,1.26713702818348,1.40539189657753,1.49879401988761,1.50629646983493
