"design","m","T_train","s","sigma_f2","q_common","rho","require_positive_weights","Q_ave_population","Q_opt_population","avg_corr","min_eigen","kstar_empirical_bagged","kstar_empirical_subset_avg","min_rsm_bagged_mspe","min_rsm_subset_avg_mspe","equal_weight_mspe","full_estimated_mspe","oracle_optimal_mspe"
"sekkel_toeplitz",50,150,1,1,1,0,NA,1.02,1.02,0.5,0.999999999999974,5,8,2.08376676730704,2.27845724194431,2.07413569319697,2.94437753746978,2.07413569319697
"sekkel_toeplitz",50,150,1,1,1,0.1,NA,1.02434567901235,1.02433628318584,0.502217183169564,0.818440236509736,5,8,1.99859029650062,2.20651501506869,1.99291880159701,2.97610127189766,1.99296851609485
"sekkel_toeplitz",50,150,1,1,1,0.5,NA,1.0584,1.05769230769231,0.519591836734694,0.333622060701073,5,8,2.08571674617852,2.27091785156805,2.07467046601604,2.92008082452867,2.07477296924854
"sekkel_toeplitz",50,150,1,1,1,0.9,NA,1.30837107181493,1.27941176470588,0.647128097864759,0.0526833052402209,2,8,2.333430216391,2.47991924557951,2.32904959620912,3.32337732593096,2.29884594458702
"el_random_posw",4,100,1,0.75,NA,NA,TRUE,0.416057076924517,0.401122104701976,0.406323692310252,0.164667777679452,3,3,1.39730921684602,1.43770792297216,1.39340535880872,1.41045287196731,1.37292067067049
"el_random_unrestricted",4,100,1,0.75,NA,NA,FALSE,0.429709103185814,0.391372059767767,0.430593961219226,0.151196098703989,3,3,1.40102610618887,1.44934327458004,1.40305600371886,1.40195361363421,1.36361118489953
"el_random_posw",4,100,1,1,NA,NA,TRUE,0.507765757796733,0.484989178593169,0.343687677062311,0.266840638633496,2,3,1.54614264593414,1.61288222443758,1.53904370182638,1.57118219492182,1.51693794304491
"el_random_unrestricted",4,100,1,1,NA,NA,FALSE,0.596513083062746,0.389929059405977,0.462017444083661,0.103788374010448,3,3,1.57178765822071,1.65101172092208,1.63379936991665,1.47852424080449,1.43381510098535
"el_random_posw",4,100,1,1.25,NA,NA,TRUE,0.631039559684723,0.593547077514582,0.339775530330371,0.327401293523405,3,3,1.70885098273802,1.7975962547538,1.70021861633055,1.74994801919856,1.66012483316632
"el_random_unrestricted",4,100,1,1.25,NA,NA,FALSE,0.736940772385424,0.629494357832147,0.452736823877785,0.182460371708432,3,3,1.79992682148353,1.87239029127938,1.82370555399083,1.77028018557713,1.70536104688806
"el_random_posw",5,100,1,0.75,NA,NA,TRUE,0.387727951628622,0.368555376616475,0.396213252714369,0.162184881319853,2,4,1.34908854979552,1.41827080849235,1.34951844234239,1.41377470685156,1.33443464727139
"el_random_unrestricted",5,100,1,0.75,NA,NA,FALSE,0.376365555620869,0.321568966399491,0.377275926034781,0.106173163176874,2,4,1.36831125603631,1.41978891064039,1.36418880198927,1.39387437386928,1.31251439525886
"el_random_posw",5,100,1,1,NA,NA,TRUE,0.522324406888802,0.505556723176189,0.402905508611002,0.202007317814148,2,4,1.50508121986093,1.54078531222786,1.50405008647442,1.5177640330401,1.48509891273931
"el_random_unrestricted",5,100,1,1,NA,NA,FALSE,0.5349828130682,0.438567203043617,0.41872851633525,0.106351642476265,4,4,1.46079953541459,1.5115187213559,1.50769474185242,1.4658137797475,1.41565204554417
"el_random_posw",5,100,1,1.25,NA,NA,TRUE,0.605152362264926,0.57477661992509,0.355152362264926,0.205566691276011,4,4,1.59583682934349,1.63995462934221,1.59890997484845,1.62034367043578,1.55397079224107
"el_random_unrestricted",5,100,1,1.25,NA,NA,FALSE,0.687327253472176,0.576734039350561,0.437327253472176,0.124199471681139,4,4,1.62285497587869,1.66752302381613,1.65561285656868,1.61498058004425,1.54539112199794
"el_random_posw",6,100,1,0.75,NA,NA,TRUE,0.331599400378764,0.314568457297358,0.330559040606022,0.116188343478832,4,5,1.32945051987229,1.3582996285647,1.32491478519774,1.35131477707387,1.30569171167426
"el_random_unrestricted",6,100,1,0.75,NA,NA,FALSE,0.379091784903721,0.325439511571129,0.406546855845954,0.0888612252064748,3,5,1.399154712517,1.44290627583017,1.40213992723857,1.43708808285075,1.35509660812593
"el_random_posw",6,100,1,1,NA,NA,TRUE,0.415489178049029,0.394735987779305,0.298587013658835,0.147306810335811,3,5,1.42561527973886,1.46957258449822,1.41972964288152,1.45421116230758,1.40246678145537
"el_random_unrestricted",6,100,1,1,NA,NA,FALSE,0.482751907837357,0.336934596421885,0.379302289404829,0.0474308340820872,5,5,1.39456813496823,1.44776305285049,1.48379121611826,1.39603139062533,1.34957755810582
"el_random_posw",6,100,1,1.25,NA,NA,TRUE,0.556730637543094,0.525770114215453,0.33446141204137,0.144521157654023,3,5,1.58707071969256,1.65099075990723,1.59440906389147,1.64444135302881,1.56977800170867
"el_random_unrestricted",6,100,1,1.25,NA,NA,FALSE,0.616249222051313,0.519295170992074,0.391599253169261,0.0983920971436808,5,5,1.55065678196241,1.59119726319226,1.5930978251487,1.55335692042816,1.49806345227248
