"scenario","k","Q_subset_mc","Q_subset_BF_over_k","Q_bagged_infinite_mc","Q_bagged_finiteB_mc","Q_bagged_interp","Q_ave","Q_opt","D_bag","BF","gamma"
"hard",2,3.5348075470525,75.6509781228384,1.08667853021846,1.13564111055514,0.966250119613588,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",5,1.75076418347238,30.2603912491354,1.03831289653067,1.05256192226951,0.851182266101863,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",8,1.41604457857032,18.9127445307096,1.00681070852244,1.0149953859234,0.822415302723932,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",11,1.27366493073915,13.7547232950615,0.976046196258552,0.981998570948164,0.809339410279417,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",14,1.18547957631325,10.8072825889769,0.946029581179173,0.950818581081854,0.801867471739695,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",17,1.12516213795222,8.90011507327511,0.9218425334984,0.925908925587476,0.797032687978698,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",20,1.07838984831959,7.56509781228384,0.897896398935138,0.901506267922827,0.793648339346,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",23,1.03986779452336,6.57834592372508,0.879307434239174,0.882518641444857,0.791146864269659,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",26,1.00738436929294,5.81930600944911,0.861001595412377,0.863929250889989,0.789222652672472,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",29,0.977211807048408,5.21730883605782,0.84464071894614,0.847292140708185,0.787696553819532,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",32,0.950944926917034,4.7281861326774,0.83083965674543,0.833241762148862,0.786456598501518,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",35,0.928316192063216,4.32291303559077,0.819952991729353,0.822120255736031,0.785429206952306,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",38,0.908319859624622,3.98163042751781,0.81095170138633,0.812899064551095,0.78456403512139,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",41,0.886587660589296,3.69029161574822,0.802323977666771,0.804009251325222,0.783825473802317,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",44,0.867280346915981,3.43868082376538,0.795808495751709,0.797237932774994,0.783187625390389,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",47,0.849940695111229,3.21919055841866,0.790562115093058,0.791749686693422,0.782631204435303,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",50,0.831539241156875,3.02603912491354,0.786058048368669,0.786967672224433,0.782141553994828,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",53,0.815950566188979,2.85475389142786,0.783406582505723,0.784057462179388,0.781707335679689,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",56,0.801216391396587,2.70182064724423,0.781771009156325,0.78215991680113,0.781319640755458,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
"hard",59,0.785761597146316,2.5644399363674,0.780918537402841,0.781015398597711,0.780971372433692,1.15802987546646,0.780863022289142,0.38355951170575,151.301956245677,0.0066092998716834
