"scenario","r","BF","gamma","D_bag","kstar_subset_theory_cont","kstar_subset_theory_int","kstar_bagged_interp_theory_cont","kstar_bagged_interp_theory_int","kstar_bagged_mc_loss_grid","kstar_empirical_bagged","kstar_empirical_subset_avg","min_rsm_bagged_mspe","min_rsm_subset_avg_mspe","min_theory_L_bagged_interp","min_theory_L_bagged_mc","equal_weight_mspe","full_estimated_mspe","oracle_optimal_mspe","factor_pca_mspe","rsm_bagged_beats_factor_pca"
"easy",3,3.3042945157666,0.302636461498348,0.205113266058138,16.8806925820474,17,4.64722239929834,5,5,11,23,1.12252286261066,1.43631031488806,1.13044070109847,1.11972780149718,1.28637759116842,2.04458806932928,1.07214073866839,1.62783985789706,TRUE
"mixed",3,5.77274737690042,0.173227743171559,0.272419021806093,21.1726473595951,21,5.24802987710076,5,8,11,23,1.12785943382165,1.45547859897127,1.17716747817569,1.25494996939815,1.30709797950586,1.90119768393749,1.04712627822977,1.34040785024255,TRUE
"hard",3,151.301956245677,0.0066092998716834,0.38355951170575,51.3023791305681,51,4.88141822635307,5,2,14,17,2.01471145977237,2.44918974734222,1.91557121448801,2.10436224657624,2.15379465006368,3.6895238842956,1.81749808771479,2.22986223816428,TRUE
