"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","rho","Q_ave_population","Q_opt_population","avg_corr"
2,2.00817319078368,2.49396788240947,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
5,1.99859029650062,2.23014385852247,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
8,2.01255326399082,2.20651501506869,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
11,2.02500063780854,2.21566215539141,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
14,2.03730972070347,2.24008181028128,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
17,2.0665787907506,2.28030447469216,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
20,2.10628686216812,2.33641225243825,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
23,2.14006026715692,2.37385892858227,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
26,2.18499511564802,2.42614474242448,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
29,2.24564618374919,2.48737659298569,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
32,2.29719502682769,2.53085660870557,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
35,2.37551168381128,2.60072050884642,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
38,2.45384035861682,2.65609434838617,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
41,2.56806229405554,2.74319880661446,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
44,2.68853146453282,2.82516704457643,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
47,2.81003270511079,2.89025842733096,1.99291880159701,2.97610127189766,1.99296851609485,"sekkel_toeplitz",0.1,1.02434567901235,1.02433628318584,0.502217183169564
