"design","rho","k","Q_exact_mc","Q_ave","Q_opt","avg_corr","min_eigen"
"sekkel_toeplitz",0.5,2,1.51942205760707,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,5,1.22616584404274,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,8,1.15372933735566,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,11,1.12097048038192,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,14,1.10230634912355,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,17,1.09047766709999,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,20,1.08235209694755,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,23,1.07654772157027,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,26,1.07207509890617,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,29,1.06868377641503,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,32,1.0660331058495,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,35,1.06384361094802,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,38,1.06210083873131,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,41,1.06071749468824,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,44,1.05949355812291,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
"sekkel_toeplitz",0.5,47,1.05851747740512,1.0584,1.05769230769231,0.519591836734694,0.333622060701073
