"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","m","sigma_f2","require_positive_weights"
2,1.59839090652676,1.88154357704813,1.59440906389147,1.64444135302881,1.56977800170867,"el_random_posw",6,1.25,TRUE
3,1.58707071969256,1.74111206013892,1.59440906389147,1.64444135302881,1.56977800170867,"el_random_posw",6,1.25,TRUE
4,1.59627381651637,1.67743428089071,1.59440906389147,1.64444135302881,1.56977800170867,"el_random_posw",6,1.25,TRUE
5,1.61309367372713,1.65099075990723,1.59440906389147,1.64444135302881,1.56977800170867,"el_random_posw",6,1.25,TRUE
