"rep","design","m","sigma_f2","require_positive_weights","Q_ave","Q_opt","L_ave","L_opt_oracle","avg_corr","min_eigen","rejection_tries","fallback_used"
1,"el_random_posw",6,0.75,TRUE,0.370812615835651,0.35723943219397,1.37081261583565,1.35723943219397,0.393300185337042,0.0317526257499588,581,FALSE
2,"el_random_posw",6,0.75,TRUE,0.332119875228576,0.320839366327753,1.33211987522858,1.32083936632775,0.331391800365721,0.071876059384524,47,FALSE
3,"el_random_posw",6,0.75,TRUE,0.300670476348993,0.285724005137443,1.30067047634899,1.28572400513744,0.281072762158389,0.144197670214134,20,FALSE
4,"el_random_posw",6,0.75,TRUE,0.393644994832963,0.375899948618414,1.39364499483296,1.37589994861841,0.429831991732741,0.0695516507143875,222,FALSE
5,"el_random_posw",6,0.75,TRUE,0.329612111730967,0.30676016149589,1.32961211173097,1.30676016149589,0.327379378769547,0.157688976666506,26,FALSE
6,"el_random_posw",6,0.75,TRUE,0.302398948610062,0.285092706489183,1.30239894861006,1.28509270648918,0.283838317776099,0.159679397282214,1849,FALSE
7,"el_random_posw",6,0.75,TRUE,0.314405634669432,0.299790342254875,1.31440563466943,1.29979034225488,0.303049015471091,0.166703250049109,172,FALSE
8,"el_random_posw",6,0.75,TRUE,0.309130545773466,0.285201695861338,1.30913054577347,1.28520169586134,0.294608873237545,0.128057117769825,129,FALSE
