"scenario","k","Q_subset_mc","Q_subset_BF_over_k","Q_bagged_infinite_mc","Q_bagged_finiteB_mc","Q_bagged_interp","Q_ave","Q_opt","D_bag","BF","gamma"
"mixed",2,3.14433907354585,2.88637368845021,0.278981374331441,0.33628852831573,0.219324529988927,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",5,1.09293819873353,1.15454947538008,0.214410320957079,0.231980878512608,0.137598823447099,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",8,0.687488101190132,0.721593422112553,0.18112938296296,0.191256557327504,0.117167396811642,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",11,0.49427339814659,0.524795216081857,0.151360154397705,0.158218419272683,0.107880384704616,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",14,0.398091990468424,0.41233909835003,0.137362122588687,0.142576719946282,0.102573520643458,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",17,0.329293740316181,0.33957337511179,0.124178079073728,0.128280392298577,0.0991396674274152,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",20,0.281169815237084,0.288637368845021,0.114622840678709,0.117953780169877,0.096735970176185,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",23,0.241838943499065,0.250989016386975,0.106005882410368,0.108722543632142,0.0949593243817974,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",26,0.217133164367364,0.222028745265401,0.102618282685258,0.1049085803189,0.09359267377073,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",29,0.192979848987359,0.199060254375877,0.0979678105976299,0.0998680513654244,0.0925087784585042,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",32,0.170959726476113,0.180398355528138,0.0943038077967129,0.0958369261703009,0.0916281135173207,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",35,0.157758545035231,0.164935639340012,0.0928863016258189,0.0941837464940071,0.0908984197089115,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",38,0.144806918318847,0.151914404655274,0.0913973748408903,0.0924655657104495,0.0902839407123565,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",41,0.133157034064489,0.140798716509766,0.0900562345484471,0.0909182505387679,0.0897593854713948,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",44,0.123711114762392,0.131198804020464,0.0892172332413288,0.08990711087175,0.0893063604905643,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",47,0.115030842606292,0.122824412274477,0.0885641585119116,0.0890934921937992,0.08891116848601,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",50,0.107301305475131,0.115454947538008,0.0881391563464374,0.0885223993290113,0.0885633995220022,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",53,0.100602385270928,0.10891976182831,0.0879025110284471,0.0881565085132967,0.0882550006293915,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",56,0.095060340904129,0.103084774587508,0.0877708233598004,0.087916613710687,0.0879796444752748,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
"mixed",59,0.0890883166208995,0.0978431758796682,0.0876584337381951,0.0876870313958492,0.0877322906419158,0.355534040891973,0.0876553361159819,0.272419021806093,5.77274737690042,0.173227743171559
