"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","m","sigma_f2","require_positive_weights"
2,1.34908854979552,1.50683066990534,1.34951844234239,1.41377470685156,1.33443464727139,"el_random_posw",5,0.75,TRUE
3,1.35657284077002,1.44377415374061,1.34951844234239,1.41377470685156,1.33443464727139,"el_random_posw",5,0.75,TRUE
4,1.3764277395563,1.41827080849235,1.34951844234239,1.41377470685156,1.33443464727139,"el_random_posw",5,0.75,TRUE
