"scenario","k","Q_subset_mc","Q_subset_BF_over_k","Q_bagged_infinite_mc","Q_bagged_finiteB_mc","Q_bagged_interp","Q_ave","Q_opt","D_bag","BF","gamma"
"easy",2,4.18293409271675,1.6521472578833,0.143075838051866,0.223873003145164,0.153976674156301,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",5,1.28105258060696,0.660858903153319,0.0820898922031601,0.106069145971236,0.0924426943388597,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",8,0.666604115746863,0.413036814470824,0.0690010417434326,0.0809531032235012,0.0770591993844993,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",11,0.442600748970572,0.300390410524236,0.0645555166809962,0.0721164213267877,0.0700667016779719,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",14,0.320759457417867,0.236021036840471,0.0611422308643826,0.0663345753954523,0.0660709887028134,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",17,0.248053539779476,0.194370265633329,0.0587819997899293,0.0625674305897203,0.0634855273659461,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",20,0.200308681963529,0.16521472578833,0.0573284369615457,0.0601880418615854,0.061675704430139,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",23,0.167847397830968,0.143664978946374,0.0564491421291853,0.058677107243221,0.0603380092167164,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",26,0.144212006164569,0.127088250606408,0.055982365430896,0.0577469582455694,0.059309012898699,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",29,0.126288435865392,0.113941190198848,0.0557058798913529,0.0571175310108337,0.0584929123706162,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",32,0.112257641055266,0.103259203617706,0.0553878037039681,0.056525200450994,0.0578298306915489,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",35,0.101276358291664,0.0944084147361885,0.0552597381760562,0.0561800705783684,0.0572804201574646,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",38,0.0917230783326704,0.086955118835963,0.0551004754147568,0.0558329274731151,0.0568177586550779,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",41,0.0842066440641338,0.0805925491650389,0.0550139471826234,0.0555978011202536,0.056422803714016,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",44,0.077441893473666,0.075097602631059,0.0549333352899166,0.0553835064535916,0.0560817062649171,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",47,0.0721087705346419,0.0703041386333318,0.0549073351905177,0.0552513638974002,0.0557841531710223,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",50,0.0672668780485905,0.0660858903153319,0.0548780084966135,0.0551257858876531,0.0555223064483949,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",53,0.0629933599058042,0.062345179542766,0.0548553886228205,0.0550181480484801,0.0552901027509706,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",56,0.0591694702239709,0.0590052592101178,0.0548434089074923,0.0549299301338218,0.0550827780211274,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
"easy",59,0.0558698384173739,0.0560049917926542,0.0548393411975439,0.0548599511419405,0.0548965371621158,0.25653330718537,0.0548385955615344,0.205113266058138,3.3042945157666,0.302636461498348
