"k","rsm_bagged","rsm_subset_avg","equal_weight","full_estimated","oracle_optimal","design","m","sigma_f2","require_positive_weights"
2,1.54614264593414,1.72332996169191,1.53904370182638,1.57118219492182,1.51693794304491,"el_random_posw",4,1,TRUE
3,1.5496471986038,1.61288222443758,1.53904370182638,1.57118219492182,1.51693794304491,"el_random_posw",4,1,TRUE
