"k","n_eval","coverage","mean_success_draws","mean_success_rate","mean_train_n","mafe","rmsfe","mean_same_mafe","mean_same_rmsfe","rmsfe_gain_vs_mean_same_pct","mafe_nc","rmsfe_nc","mean_same_mafe_nc","mean_same_rmsfe_nc"
2,162,1,255.148148148148,0.510296296296296,23.3582182311131,0.965861884490923,1.43645676544329,0.987548556098794,1.4710852993227,2.35394466217284,0.963041763910655,1.43826030882755,0.984976622986456,1.4732833324619
3,162,1,163.246913580247,0.326493827160494,18.0995982599848,0.951213459814458,1.38822598568538,0.987548556098794,1.4710852993227,5.63252951242662,0.948732594064366,1.3896522474663,0.984976622986456,1.4732833324619
4,157,0.969135802469136,104.235668789809,0.208471337579618,15.4473235270433,0.963340864935793,1.37714193026782,0.992580662800132,1.48641020670035,7.35115218800174,0.961151238420668,1.37850680052234,0.989990694512575,1.48885214448652
5,145,0.895061728395062,66.6758620689655,0.133351724137931,13.9363279373178,0.99433724682563,1.4388499731074,0.996609780097859,1.49947519385584,4.04309594429123,0.99349496434501,1.44150938397049,0.993858823105021,1.50228044954671
6,131,0.808641975308642,42.5496183206107,0.0850992366412213,12.8571474509326,1.07152324661761,1.48166646352525,1.0099401895901,1.53724826121531,3.61566827508531,1.07342106854715,1.4857499792881,1.00709735214055,1.54085858385659
7,106,0.654320987654321,29.8396226415095,0.0596792452830189,12.4913491946706,1.10242716758157,1.50848598796886,1.04496748183851,1.63408256854205,7.68606085096718,1.10456121220211,1.51294587645943,1.04211487177606,1.64009628699131
8,74,0.45679012345679,20.9054054054054,0.0418108108108108,12.405208489605,1.28067193574406,1.96633091600908,1.16198435390308,1.84885776613984,-6.35382299388606,1.29152275470903,1.98362851747102,1.16111438581467,1.8621211776316
9,58,0.358024691358025,8.8448275862069,0.0176896551724138,13.0820834278455,1.6299782932004,2.38634479344142,1.16524497264624,1.91305549512601,-24.7399670067719,1.65318273438693,2.41997096728382,1.16424289291625,1.93175819364282
10,41,0.253086419753086,4.75609756097561,0.00951219512195122,13.8535234751698,1.69118204007089,2.19239084256633,1.33432005884688,2.19022124908538,-0.0990581879279815,1.7283313855404,2.21938939494195,1.34963461269932,2.2144916364405
11,27,0.166666666666667,2.03703703703704,0.00407407407407407,14.4876543209877,2.77553964857506,3.56610014235793,1.66165383241666,2.60972166107538,-36.6467618193602,2.90663689378006,3.67887778729469,1.69912188260313,2.6877111471304
12,10,0.0617283950617284,1.7,0.0034,15.64,2.04091185317183,2.59617215437981,2.71239774890156,3.28620298397792,20.9978151977341,2.14328323391551,2.71104044912374,2.82878988706595,3.41921877657435
13,3,0.0185185185185185,1,0.002,16,5.27147327362538,5.8149645429453,4.21038699474876,4.92369706161897,-18.1015905359797,5.27147327362538,5.8149645429453,4.21038699474876,4.92369706161897
14,3,0.0185185185185185,1,0.002,17.3333333333333,10.4572293416567,13.7114776014926,3.03410457705356,3.71698552522784,-268.887032473771,10.4572293416567,13.7114776014926,3.03410457705356,3.71698552522784
15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
