"Model","k","n_eval","MAFE","RMSFE","coverage","success_rate"
"Mean",NA,161,1.39079813913332,2.20831146354941,1,NA
"OLS-RSM(k*=3)",3,161,1.34275155042901,2.17101811399069,1,0.365689440993789
"OLS-RSM(k=sqrtN=6)",6,142,1.49793387300542,2.56710425688124,0.881987577639752,0.0892394366197183
"OLS-RSM(k=sqrtT=13)",13,4,10.070190819668,12.0332059926599,0.0248447204968944,0.002
