"k","n_eval","coverage","mean_success_draws","mean_success_rate","mean_train_n","mafe","rmsfe","mafe_nc","rmsfe_nc"
2,164,1,276.670731707317,0.553341463414634,25.3923879926344,2.48308225450032,6.70036422874024,1.86340627913376,2.54888125859456
3,164,1,185.512195121951,0.371024390243902,19.2934478595533,2.50766867163484,7.10677635049626,1.84787870179759,2.46282838106909
4,158,0.963414634146341,119.417721518987,0.238835443037975,16.1314342652726,2.62745291183309,7.53586171796005,1.9227817455658,2.71663481960316
5,151,0.920731707317073,75.4701986754967,0.150940397350993,14.2963039045423,2.68439273866607,7.50569161772148,1.968049219877,2.83233643790905
6,147,0.896341463414634,46.0680272108844,0.0921360544217687,13.184712694354,2.98617355757276,8.65017658452431,2.16651026302652,3.21029311449739
7,129,0.786585365853659,30.5193798449612,0.0610387596899225,12.6023246330493,3.65326686944818,10.3405215476348,2.66236679101333,4.63716658665334
8,97,0.591463414634146,24.2474226804124,0.0484948453608247,12.170697351361,5.08733244707751,16.0557345140902,3.32477638144263,5.75725985127501
9,67,0.408536585365854,10.3582089552239,0.0207164179104478,13.2610168956251,7.70630339443572,25.1930801451228,4.43051935039747,7.90498631694988
10,44,0.268292682926829,5.31818181818182,0.0106363636363636,14.0075095674527,10.9227197724724,33.4077675113071,5.78073309362104,11.8045226325555
11,21,0.128048780487805,2.76190476190476,0.00552380952380952,14.7015873015873,14.1717229767164,20.295267707331,12.9650681745636,18.9507210382868
12,10,0.0609756097560976,2.3,0.0046,15.8416666666667,9.37158905399528,11.780280224543,9.37158905399528,11.780280224543
13,7,0.0426829268292683,1.14285714285714,0.00228571428571429,17.2142857142857,45.3011812365278,55.6014848405025,45.3011812365278,55.6014848405025
14,1,0.00609756097560976,1,0.002,20,15.4487928609701,15.4487928609701,15.4487928609701,15.4487928609701
15,0,0,NA,NA,NA,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA,NA,NA,NA
17,0,0,NA,NA,NA,NA,NA,NA,NA
18,0,0,NA,NA,NA,NA,NA,NA,NA
19,0,0,NA,NA,NA,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA,NA,NA,NA
