"k","n_eval","coverage","mean_success_draws","mean_success_rate","mean_train_n","mafe","rmsfe","mean_same_mafe","mean_same_rmsfe","rmsfe_gain_vs_mean_same_pct","mafe_nc","rmsfe_nc","mean_same_mafe_nc","mean_same_rmsfe_nc"
2,165,1,255.915151515151,0.511830303030303,23.6885904122407,0.681817911703486,0.965587644106448,0.682129348133039,0.974058509819092,0.869646497335843,0.658105118184238,0.919652870911068,0.659067479870022,0.930727341816413
3,165,1,164.721212121212,0.329442424242424,18.3969619106139,0.682054609610964,0.965957804247726,0.682129348133039,0.974058509819092,0.831644658889189,0.661275233777354,0.93079344595219,0.659067479870022,0.930727341816413
4,161,0.975757575757576,103.745341614907,0.207490683229814,15.6545168306026,0.673192935087361,0.949593327428918,0.692791567148516,0.984885103248993,3.58333938686374,0.651964592204151,0.912751096568926,0.669283642061467,0.941091097840577
5,149,0.903030303030303,67.1476510067114,0.134295302013423,13.9477680504883,0.70507321605785,0.998470472652066,0.704865172280333,0.995424131515608,-0.306034487210973,0.682058543321748,0.960098314169559,0.67960249963695,0.948641943632536
6,141,0.854545454545454,41.6950354609929,0.0833900709219858,13.0508302037111,0.712002024559173,1.00980332359814,0.697579036718072,0.993771204148746,-1.61326061597072,0.690613890635467,0.978758497139064,0.670757560820937,0.944114312238678
7,112,0.678787878787879,27.8214285714286,0.0556428571428571,12.6025072333578,0.918597328918254,1.38565863075562,0.724382779455131,1.04444679136946,-32.6691452552381,0.901439953676644,1.37434336106626,0.690977527962153,0.98546848172681
8,83,0.503030303030303,20.3734939759036,0.0407469879518072,12.3350542247049,0.875517113206384,1.198239731401,0.795721989019975,1.13665058153991,-5.41847695864976,0.849345887110526,1.17096796410579,0.75211829463605,1.06506153608223
9,60,0.363636363636364,9.86666666666666,0.0197333333333333,13.1777896821933,0.852540645269591,1.222004240254,0.74871156020362,1.08316863589093,-12.8175428795421,0.804087027832965,1.16744377362068,0.686195696363436,0.974185889636814
10,43,0.260606060606061,4.79069767441861,0.00958139534883721,14.2300432505631,1.21002478760327,1.65654433694651,0.777436309467098,1.16607871598175,-42.0611073886057,1.16394182310767,1.62199052612855,0.690400441071885,1.02550114485989
11,20,0.121212121212121,2.65,0.0053,14.6089285714286,1.8374298510164,2.74873566047554,0.941979433168881,1.21024991194088,-127.121327037933,1.91592044435237,2.81902524657658,0.912267174914159,1.19262023682619
12,12,0.0727272727272727,1.91666666666667,0.00383333333333333,15.9722222222222,1.66176458979333,2.18647856107946,1.52374137902526,1.91761445264531,-14.0207593900461,1.62173447077617,2.19398878774387,1.3334605150158,1.67997501688058
13,7,0.0424242424242424,1.28571428571429,0.00257142857142857,17,1.076678435856,1.22514941192278,1.42389076552206,1.93518451004511,36.6908216987425,1.01240286845695,1.18099697711533,1.05840074592085,1.47947670806673
14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
