"Model","k","n_eval","MAFE","RMSFE","comparable_mean_MAFE","comparable_mean_RMSFE","rmsfe_gain_vs_comparable_mean_pct","coverage","success_rate"
"Mean",NA,162,0.987548556098794,1.4710852993227,0.987548556098794,1.4710852993227,NA,1,NA
"OLS-RSM(k*=4)",4,157,0.963340864935793,1.37714193026782,0.992580662800132,1.48641020670035,7.35115218800174,0.969135802469136,0.208471337579618
"OLS-RSM(k=sqrtN=6)",6,131,1.07152324661761,1.48166646352525,1.0099401895901,1.53724826121531,3.61566827508531,0.808641975308642,0.0850992366412213
"OLS-RSM(k=sqrtT=13)",13,3,5.27147327362538,5.8149645429453,4.21038699474876,4.92369706161897,-18.1015905359797,0.0185185185185185,0.002
