"Model","k","n_eval","MAFE","RMSFE","coverage","success_rate"
"Mean",NA,164,2.44508294687515,6.40478911699588,1,NA
"OLS-RSM(k*=2)",2,164,2.48308225450032,6.70036422874024,1,0.553341463414634
"OLS-RSM(k=sqrtN=6)",6,147,2.98617355757276,8.65017658452431,0.896341463414634,0.0921360544217687
"OLS-RSM(k=sqrtT=13)",13,7,45.3011812365278,55.6014848405025,0.0426829268292683,0.00228571428571429
