"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,31.7396583868982,1.63464440823497,1.6722756757083,0.474644408234971,0.474644408234971,-1.66533453693773e-16,0.501869954490142,0.501869954490142,1.66186995449014,-0.0272255462551718,-0.0573598799076001,0.945751790854205,0.254230871141987,0.250467052346746,0.210339966734915,0.207139966734915,0.0029654004788561,0.008,0.99665878341288,1.66186995449014,1.67104261704703,0.501869954490142,0.51104261704703,9,34.0934977245071,2.66186995449014,2.67104261704703,10,35.0934977245071,2.61085751615205,2.16,2.71705263157895
2,10.4767322377609,1.29866829465497,1.31014087458385,0.138668294654965,0.138668294654965,2.22044604925031e-16,0.120398622984724,0.120398622984724,1.28039862298472,0.0182696716702412,0.131750893134583,1.15174319454268,0.216754975231598,0.122677739924937,0.18712284236413,0.101456310237509,0.0142470320748028,0.0856665321266209,0.97558629926628,1.28039862298472,1.28504812470599,0.120398622984724,0.125048124705993,5,11.1453463815119,2.28998012980399,2.29464916724677,6.02521008403361,12.1963772486612,2.61085751615205,2.16,2.71705263157895
3,6.123562582453,1.23523837266703,1.24134877792926,0.075238372667032,0.075238372667032,8.32667268468867e-17,0.051304120017989,0.051304120017989,1.21130412001799,0.023934252649043,0.318112311585529,1.46651716549569,0.189863658830786,0.0800813024510005,0.173181888478878,0.0662284247383741,0.0164332696139124,0.106953463740504,0.952301984180099,1.21130412001799,1.2143733232013,0.0513041200179889,0.0543733232013,3.66666666666667,6.34103036973205,2.22996491427974,2.23306001791186,4.70604781997187,7.40297999310532,2.61085751615205,2.16,2.71705263157895
4,4.32126350198864,1.21015017531879,1.21403906697712,0.0501501753187859,0.0501501753187857,1.80411241501588e-16,0.0276436074474475,0.0276436074474475,1.18764360744745,0.0225065678713384,0.448783433522866,1.81416898695747,0.173969891696684,0.0587830837140323,0.162181498708298,0.0486144819888065,0.0171296546467158,0.113567016719492,0.931391262575546,1.18764360744745,1.18990905293814,0.0276436074474475,0.0299090529381381,3,4.47232257057057,2.21545263635568,2.21774687988227,4.05084745762712,5.54188599307782,2.61085751615205,2.16,2.71705263157895
5,3.48340828785507,1.19928752917491,1.20214268012326,0.0392875291749077,0.0392875291749077,6.93889390390723e-17,0.0169310563572268,0.0169310563572268,1.17693105635723,0.0223564728176809,0.569047565148476,2.32044169873301,0.156603994682934,0.0460041524718514,0.142600254354247,0.038046116339066,0.016304401576276,0.104554138015181,0.926479274174199,1.17693105635723,1.17870989253678,0.0169310563572267,0.0187098925367803,2.6,3.52180195722679,2.21398520199735,2.21579431623953,3.66127659574468,4.59876879905193,2.61085751615205,2.16,2.71705263157895
6,2.95349870476792,1.18880086847468,1.19100674077004,0.0288008684746757,0.0288008684746755,1.28369537222284e-16,0.0112409208187898,0.0112409208187898,1.17124092081879,0.0175599476558859,0.609702018927872,2.56214494692761,0.142701724614266,0.0374848649770641,0.135083208047918,0.031000539239239,0.0154989368954403,0.10408266880868,0.912110911558155,1.17124092081879,1.17269353633443,0.0112409208187898,0.0126935363344332,2.33333333333333,2.9592482425614,2.21763495758842,2.21911861189713,3.4045584045584,4.04384756398365,2.61085751615205,2.16,2.71705263157895
7,2.58611375073391,1.18286271054797,1.18461677434821,0.0228627105479731,0.022862710547973,7.97972798949331e-17,0.00788750899584589,0.00788750899584589,1.16788750899585,0.0149752015521272,0.655005517421242,2.89859708052494,0.129888142080638,0.0313996596236446,0.121818749947323,0.0259679841679339,0.0144924483843808,0.095850765779389,0.90173066737982,1.16788750899585,1.16910622103817,0.00788750899584589,0.00910622103817249,2.14285714285714,2.59226172517859,2.22371293841205,2.2249630335971,3.22378908645003,3.68476631896002,2.61085751615205,2.16,2.71705263157895
8,2.35579769931028,1.17936005166848,1.18083059872804,0.0193600516684833,0.0193600516684832,1.17961196366423e-16,0.00576126223266745,0.00576126223266745,1.16576126223267,0.0135987894358159,0.702414935077557,3.36038369486259,0.119219734605453,0.02683575560858,0.110888776709347,0.0221935678644552,0.0135175357586726,0.0886952088448922,0.906013915057425,1.16576126223267,1.16680406065488,0.00576126223266749,0.00680406065487671,2,2.33607363023893,2.23110750721383,2.23218176938153,3.09051724137931,3.43673102425476,2.61085751615205,2.16,2.71705263157895
9,2.14662448146097,1.17571617198675,1.17692980737359,0.0157161719867476,0.0157161719867476,-1.38777878078145e-17,0.00433792192295355,0.00433792192295355,1.16433792192295,0.011378250063794,0.723983554862378,3.62297253521035,0.111978179473709,0.0232860524857519,0.105641064515015,0.0192579107395272,0.0129844557956303,0.0863831537754879,0.891945389567305,1.16433792192295,1.16524361063166,0.00433792192295357,0.0052436106316609,1.88888888888889,2.1481061745288,2.23929334779042,2.24023040234185,2.98893698893699,3.2571314965904,2.61085751615205,2.16,2.71705263157895
10,2.02035634957604,1.17426507804145,1.17532269213087,0.0142650780414486,0.0142650780414484,1.80411241501588e-16,0.00334440619402011,0.00334440619402011,1.16334440619402,0.0109206718474285,0.765552898883371,4.26535450955538,0.110198241266403,0.0204462899874895,0.106134747091257,0.0169093850395849,0.0131246485404518,0.0892253620516724,0.876304641201546,1.16334440619402,1.16414022568628,0.00334440619402021,0.00414022568627748,1.8,2.00484487938373,2.24799701339292,2.24882397364791,2.9095652173913,3.12242576596831,2.61085751615205,2.16,2.71705263157895
