"m","T_train","s","q","B_scale","H","V_delta","C_delta","Q_ave","Q_opt","L_equal","L_oracle_optimal","L_full_estimated_theory","kstar_subset_sqrt_cont","kstar_subset_sqrt_int","kstar_bag_cube_local_cont","kstar_bag_cube_local_int","kstar_bag_inf_grid","kstar_bag_G_grid","kstar_subset_grid","n_rep","G_bag","kstar_empirical_bagged","kstar_empirical_subset_avg","min_bagged_mspe","equal_weight_mspe","oracle_optimal_mspe","full_estimated_mspe"
50,80,1,1,3,1.04094444544784,0.0373778839450803,0.0023351447695802,1.06245666672687,1.06,2.06245666672687,2.06,5.42466666666667,9.55667219374799,10,0.566050950746571,1,1,1,10,500,800,2,10,2.05847977811942,2.05727690691666,2.05487268381694,5.40011875747222
50,240,1,1,3,1.04094444544784,0.0373778839450803,0.0023351447695802,1.06245666672687,1.06,2.06245666672687,2.06,2.59126315789474,17.5328663106743,18,0.816386740486342,1,1,1,18,500,800,2,17,2.04790675961841,2.04699285348368,2.04565314364321,2.57036710545177
50,640,1,1,3,1.04094444544784,0.0373778839450803,0.0023351447695802,1.06245666672687,1.06,2.06245666672687,2.06,2.23108474576271,29.5201547384922,30,1.13210190149314,1,1,2,30,500,800,4,29,2.06444416443836,2.06432302955396,2.06319760762945,2.24521631155665
50,1000,1,1,3,1.04094444544784,0.0373778839450803,0.0023351447695802,1.06245666672687,1.06,2.06245666672687,2.06,2.16625263157895,37.258869952567,37,1.31368788612059,1,1,2,37,500,800,3,36,2.05963281627931,2.0608107803668,2.05903342696515,2.17057549583041
