"B_target","H_target","m","T_train","s","q","B_scale","H","V_delta","C_delta","Q_ave","Q_opt","L_equal","L_oracle_optimal","L_full_estimated_theory","kstar_subset_sqrt_cont","kstar_subset_sqrt_int","kstar_bag_cube_local_cont","kstar_bag_cube_local_int","kstar_bag_inf_grid","kstar_bag_G_grid","kstar_subset_grid","n_rep","G_bag","N_subsets_pop_joint","kstar_empirical_bagged","kstar_empirical_subset_avg","min_bagged_mspe","min_subset_avg_mspe","equal_weight_mspe","oracle_optimal_mspe","full_estimated_mspe","bagged_gain_vs_equal","bagged_gap_vs_oracle","R_weight_at_empirical_bagged_k","R_smallhet_at_empirical_bagged_k","R_ratio_at_empirical_bagged_k","R_smallhet_rel_error_at_empirical_bagged_k","max_abs_weight_identity_gap","mean_weight_R_ratio","mean_smallhet_rel_error","median_weight_corr_with_approx","max_weight_rmse_approx_error"
3,1.05,50,240,1,1,3,1.04693768516818,0.046524145971218,0.00290654806150883,1.06281626111009,1.06,2.06281626111009,2.06,2.59126315789474,17.5328663106743,18,0.878180606213767,1,1,1,18,500,800,2500,3,18,2.05517113829923,2.323667998186,2.05645872170195,2.05339758854172,2.57884320394472,0.00128758340271196,0.00177354975751198,0.000898758253718415,0.000285358429683245,3.14957667350486,0.682497013515407,4.44089209849985e-16,77.1291763650296,0.899812381090833,0.280176016549838,0.00297939591192577
8,1.05,50,240,1,1,8,1.04121433587101,0.0447551495878064,0.00745608489592777,1.16659429373936,1.16,2.16659429373936,2.16,2.71705263157895,27.2409987036266,27,1.1833124762183,1,1,2,27,500,800,2500,3,27,2.17342048332615,2.58506754305661,2.1747598458296,2.16894523859122,2.72647106365613,0.00133936250344879,0.00447524473493477,0.00213148560921246,0.000732021846004642,2.91177868645055,0.656567305525889,1.11022302462533e-15,84.6084676432623,0.900197188195042,0.306541456606838,0.00337235822533728
3,6,50,240,1,1,3,6.22492936067873,1.61084754428422,0.1006360398345,1.37349576164072,1.06,2.37349576164072,2.06,2.59126315789474,17.5328663106743,18,2.86226068385911,3,3,3,18,500,800,2500,6,19,2.06972759154195,2.34078427701759,2.37136493977314,2.06250879038171,2.58220544224094,0.301637348231191,0.00721880116024476,0.00513061552468992,0.00216479303466212,2.37002588355543,0.578063679836342,2.22044604924977e-16,5.07335635282797,0.702406290770713,0.751084022122853,0.00869410328101751
8,6,50,240,1,1,8,3.50929072284374,1.84784459206523,0.30784582958188,1.561486515655,1.16,2.561486515655,2.16,2.71705263157895,27.2409987036266,27,4.08984567004599,4,4,4,27,500,800,2500,8,28,2.17519032910845,2.58282843412765,2.55558581904547,2.15700508303055,2.7129458770711,0.380395489937024,0.0181852460778957,0.00973730372060808,0.00339400027114022,2.86897552820071,0.651443523944189,3.33066907387558e-15,5.15528280874197,0.73152479054482,0.77431567076469,0.00984958379461193
