"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
1,2.07423923915207,5.11890990465051,2.0706852845526,2.06829318707799,2.6109472538869,1.06207417807968,1.06574658535708,0.00207417807967647,0.00574658535707684,4,4.10370890398382,2.06207417807968,2.06574658535708,5,5.10370890398382,2.06212871843815,2.06,2.59126315789474
2,2.07184150114904,3.55078311738507,2.0706852845526,2.06829318707799,2.6109472538869,1.0604975954077,1.06229697341344,0.000497595407702445,0.00229697341344282,2.5,2.52539809893481,2.06915514832958,2.07096208674711,3.51470588235294,3.54021069598916,2.06212871843815,2.06,2.59126315789474
3,2.07024206230482,3.04504809931044,2.0706852845526,2.06829318707799,2.6109472538869,1.06021203477153,1.06138676972807,0.000212034771530645,0.00138676972806606,2,2.0110528763883,2.07759779033922,2.07878243867092,3.0253164556962,3.03646260530297,2.06212871843815,2.06,2.59126315789474
4,2.07097016996132,2.79996561051374,2.0706852845526,2.06829318707799,2.6109472538869,1.06011424825116,1.06097660544085,0.000114248251160909,0.000976605440846878,1.75,1.75608496120313,2.0863021412374,2.08717546059476,2.78495762711864,2.79111993952351,2.06212871843815,2.06,2.59126315789474
5,2.07239837650508,2.65687903705913,2.0706852845526,2.06829318707799,2.6109472538869,1.06006997435421,1.06074488688627,6.997435420808e-05,0.000744886886265395,1.6,1.60380971484022,2.09513499519428,2.09582139559922,2.64425531914894,2.6481298801992,2.06212871843815,2.06,2.59126315789474
6,2.07377062468912,2.56466806477781,2.0706852845526,2.06829318707799,2.6109472538869,1.06004645759594,1.06059639952394,4.64575959351343e-05,0.000596399523940416,1.5,1.50258684341003,2.1040645442967,2.10462623712061,2.5534188034188,2.55606092126067,2.06212871843815,2.06,2.59126315789474
7,2.07579123634762,2.50195765337,2.0706852845526,2.06829318707799,2.6109472538869,1.06003259828192,1.06049327181978,3.25982819175952e-05,0.000493271819779428,1.42857142857143,1.43042877254115,2.11308064802308,2.11355318439883,2.49110974862048,2.49301492119028,2.06212871843815,2.06,2.59126315789474
8,2.0784707881204,2.45741282207462,2.0706852845526,2.06829318707799,2.6109472538869,1.06002381071775,1.06041753095435,2.38107177514824e-05,0.000417530954354151,1.375,1.3763889585355,2.12217970155837,2.12258530128487,2.44665948275862,2.44809034952579,2.06212871843815,2.06,2.59126315789474
9,2.08077124137101,2.42402748843592,2.0706852845526,2.06829318707799,2.6109472538869,1.06001792819531,1.06035957245173,1.79281953092136e-05,0.000359572451731793,1.33333333333333,1.33440465232132,2.13136054042718,2.13171401651932,2.41414141414141,2.4152498350857,2.06212871843815,2.06,2.59126315789474
10,2.08359491460223,2.39952739102567,2.0706852845526,2.06829318707799,2.6109472538869,1.06001382209466,1.06031380481704,1.38220946583889e-05,0.000313804817040131,1.3,1.30084660329783,2.14062305861141,2.14093477978814,2.39,2.39087973125296,2.06212871843815,2.06,2.59126315789474
