"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,2.06059036945058,5.13392098681873,2.05645872170195,2.05339758854172,2.57884320394472
2,2.05577092181888,3.54250067745609,2.05645872170195,2.05339758854172,2.57884320394472
3,2.05517113829923,3.03337658880089,2.05645872170195,2.05339758854172,2.57884320394472
4,2.05633516178727,2.7869191143211,2.05645872170195,2.05339758854172,2.57884320394472
5,2.05709516130258,2.6423774287057,2.05645872170195,2.05339758854172,2.57884320394472
6,2.05848520433861,2.54987172948076,2.05645872170195,2.05339758854172,2.57884320394472
7,2.0599155795119,2.4860735301894,2.05645872170195,2.05339758854172,2.57884320394472
8,2.06238565893005,2.44126285145354,2.05645872170195,2.05339758854172,2.57884320394472
9,2.06477613245374,2.40777833674027,2.05645872170195,2.05339758854172,2.57884320394472
10,2.06805295118165,2.38351160567968,2.05645872170195,2.05339758854172,2.57884320394472
11,2.07058512423208,2.36442207107763,2.05645872170195,2.05339758854172,2.57884320394472
12,2.07483403451417,2.35127588157364,2.05645872170195,2.05339758854172,2.57884320394472
13,2.07866100522032,2.34089738890691,2.05645872170195,2.05339758854172,2.57884320394472
14,2.08273059095806,2.33327093369426,2.05645872170195,2.05339758854172,2.57884320394472
15,2.08797132623418,2.32890303475007,2.05645872170195,2.05339758854172,2.57884320394472
16,2.0930497008355,2.32562133485406,2.05645872170195,2.05339758854172,2.57884320394472
17,2.09844498539165,2.32370738656062,2.05645872170195,2.05339758854172,2.57884320394472
18,2.10447558600311,2.323667998186,2.05645872170195,2.05339758854172,2.57884320394472
19,2.1111030281129,2.32480547300397,2.05645872170195,2.05339758854172,2.57884320394472
20,2.11799027681847,2.3266701637607,2.05645872170195,2.05339758854172,2.57884320394472
21,2.12507224617963,2.32934489488135,2.05645872170195,2.05339758854172,2.57884320394472
22,2.1325385211419,2.33264369642052,2.05645872170195,2.05339758854172,2.57884320394472
23,2.14076979507518,2.33691587166684,2.05645872170195,2.05339758854172,2.57884320394472
24,2.14965200582842,2.34193067594126,2.05645872170195,2.05339758854172,2.57884320394472
25,2.15835365364752,2.3468097401888,2.05645872170195,2.05339758854172,2.57884320394472
26,2.16773042030522,2.35260419585278,2.05645872170195,2.05339758854172,2.57884320394472
27,2.17799584581991,2.35907927312141,2.05645872170195,2.05339758854172,2.57884320394472
28,2.18839670220904,2.36573647410284,2.05645872170195,2.05339758854172,2.57884320394472
29,2.19950437673997,2.37276458031341,2.05645872170195,2.05339758854172,2.57884320394472
30,2.21033048086517,2.37952503728848,2.05645872170195,2.05339758854172,2.57884320394472
31,2.22296914438174,2.387776784987,2.05645872170195,2.05339758854172,2.57884320394472
32,2.23522026234248,2.39529332971914,2.05645872170195,2.05339758854172,2.57884320394472
33,2.2476755305186,2.40313855682891,2.05645872170195,2.05339758854172,2.57884320394472
34,2.26215109166588,2.41215055854803,2.05645872170195,2.05339758854172,2.57884320394472
35,2.27597702875108,2.42073911257185,2.05645872170195,2.05339758854172,2.57884320394472
36,2.29125171849953,2.43003250645952,2.05645872170195,2.05339758854172,2.57884320394472
37,2.30652695478522,2.43919326335159,2.05645872170195,2.05339758854172,2.57884320394472
38,2.32302558381478,2.4489064352817,2.05645872170195,2.05339758854172,2.57884320394472
39,2.33945713611614,2.45823837226505,2.05645872170195,2.05339758854172,2.57884320394472
40,2.35747406485189,2.46842713793324,2.05645872170195,2.05339758854172,2.57884320394472
41,2.37587391506932,2.47891463421899,2.05645872170195,2.05339758854172,2.57884320394472
42,2.39431250970211,2.48859697820839,2.05645872170195,2.05339758854172,2.57884320394472
43,2.41420854781448,2.49929169352123,2.05645872170195,2.05339758854172,2.57884320394472
44,2.43522111231999,2.51024809015664,2.05645872170195,2.05339758854172,2.57884320394472
45,2.45676237257967,2.52120321542465,2.05645872170195,2.05339758854172,2.57884320394472
46,2.4791890745582,2.5323742854918,2.05645872170195,2.05339758854172,2.57884320394472
47,2.50258570466303,2.54378357807661,2.05645872170195,2.05339758854172,2.57884320394472
48,2.52713443025687,2.55537408352255,2.05645872170195,2.05339758854172,2.57884320394472
49,2.5522932380245,2.56684165172043,2.05645872170195,2.05339758854172,2.57884320394472
50,2.57884320394469,2.57884320394469,2.05645872170195,2.05339758854172,2.57884320394472
