"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,2.59213008779792,29.9891720890344,2.55558581904547,2.15700508303055,2.7129458770711
2,2.26820518169884,10.5554869287913,2.55558581904547,2.15700508303055,2.7129458770711
3,2.21451483223205,6.63964825761706,2.55558581904547,2.15700508303055,2.7129458770711
4,2.19320552442661,5.10666730591161,2.55558581904547,2.15700508303055,2.7129458770711
5,2.18261738378611,4.31370005720577,2.55558581904547,2.15700508303055,2.7129458770711
6,2.17692376275094,3.84244215121166,2.55558581904547,2.15700508303055,2.7129458770711
7,2.17567138736982,3.5355324822818,2.55558581904547,2.15700508303055,2.7129458770711
8,2.17519032910845,3.32111973249063,2.55558581904547,2.15700508303055,2.7129458770711
9,2.17599005726727,3.16636286954649,2.55558581904547,2.15700508303055,2.7129458770711
10,2.17798065658608,3.04837426043323,2.55558581904547,2.15700508303055,2.7129458770711
11,2.17984537510434,2.95692778258127,2.55558581904547,2.15700508303055,2.7129458770711
12,2.18342800094773,2.88537705232276,2.55558581904547,2.15700508303055,2.7129458770711
13,2.18693867508481,2.82739678557605,2.55558581904547,2.15700508303055,2.7129458770711
14,2.19124504918829,2.78045304069508,2.55558581904547,2.15700508303055,2.7129458770711
15,2.194941691071,2.74175595554157,2.55558581904547,2.15700508303055,2.7129458770711
16,2.20008850752507,2.71017145303429,2.55558581904547,2.15700508303055,2.7129458770711
17,2.20617903021407,2.68398636843947,2.55558581904547,2.15700508303055,2.7129458770711
18,2.21174185059837,2.66213186983594,2.55558581904547,2.15700508303055,2.7129458770711
19,2.21881533615948,2.6448919618125,2.55558581904547,2.15700508303055,2.7129458770711
20,2.22595152060896,2.62995955144517,2.55558581904547,2.15700508303055,2.7129458770711
21,2.23337697314929,2.61754228569114,2.55558581904547,2.15700508303055,2.7129458770711
22,2.24139062565437,2.60812771773491,2.55558581904547,2.15700508303055,2.7129458770711
23,2.24931167635185,2.59967440820413,2.55558581904547,2.15700508303055,2.7129458770711
24,2.25930760059352,2.59472180150508,2.55558581904547,2.15700508303055,2.7129458770711
25,2.26755102243604,2.58882984540821,2.55558581904547,2.15700508303055,2.7129458770711
26,2.27868681892596,2.58660396691059,2.55558581904547,2.15700508303055,2.7129458770711
27,2.28846148282391,2.58394145503466,2.55558581904547,2.15700508303055,2.7129458770711
28,2.29976537038576,2.58282843412765,2.55558581904547,2.15700508303055,2.7129458770711
29,2.31171121559858,2.58363633417938,2.55558581904547,2.15700508303055,2.7129458770711
30,2.32338416178449,2.58406222360775,2.55558581904547,2.15700508303055,2.7129458770711
31,2.33545438215246,2.58511154523736,2.55558581904547,2.15700508303055,2.7129458770711
32,2.34880964109042,2.58756062725314,2.55558581904547,2.15700508303055,2.7129458770711
33,2.36325825956651,2.59117780209614,2.55558581904547,2.15700508303055,2.7129458770711
34,2.37773338882424,2.59480652320308,2.55558581904547,2.15700508303055,2.7129458770711
35,2.39276307051482,2.59906444955717,2.55558581904547,2.15700508303055,2.7129458770711
36,2.40856766895882,2.6039531988899,2.55558581904547,2.15700508303055,2.7129458770711
37,2.42492765721504,2.60898529654578,2.55558581904547,2.15700508303055,2.7129458770711
38,2.44177418662626,2.61467679101633,2.55558581904547,2.15700508303055,2.7129458770711
39,2.46031397760217,2.62136918570657,2.55558581904547,2.15700508303055,2.7129458770711
40,2.47849093157095,2.6276116139142,2.55558581904547,2.15700508303055,2.7129458770711
41,2.49781956294077,2.63461201320682,2.55558581904547,2.15700508303055,2.7129458770711
42,2.51798198286299,2.64179322329327,2.55558581904547,2.15700508303055,2.7129458770711
43,2.53923992951063,2.64978964267377,2.55558581904547,2.15700508303055,2.7129458770711
44,2.5612768391705,2.65804249172728,2.55558581904547,2.15700508303055,2.7129458770711
45,2.58395300119767,2.6662752117662,2.55558581904547,2.15700508303055,2.7129458770711
46,2.60752497414142,2.6749713538732,2.55558581904547,2.15700508303055,2.7129458770711
47,2.63187738043077,2.6837256873698,2.55558581904547,2.15700508303055,2.7129458770711
48,2.65797108161426,2.69323164307273,2.55558581904547,2.15700508303055,2.7129458770711
49,2.68490374085243,2.70294062200394,2.55558581904547,2.15700508303055,2.7129458770711
50,2.71294587707124,2.71294587707124,2.55558581904547,2.15700508303055,2.7129458770711
