"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"toeplitz",150,2,1.14038245327356,1.10808544358198,0.971678791094279,1.20445688097525,1.21326250992948
"toeplitz",150,3,1.14038245327356,1.07898155214968,0.946157623744897,1.13055041179214,1.14720277734111
"toeplitz",150,4,1.14038245327356,1.05821025885449,0.927943301667622,1.07528702705534,1.09922097134905
"toeplitz",150,5,1.14038245327356,1.04391482467788,0.915407652653061,1.03367761789478,1.06458388244524
"toeplitz",150,6,1.14038245327356,1.03414298372065,0.90683873708514,1.00162996245759,1.03934702726453
"toeplitz",150,7,1.14038245327356,1.02699620865062,0.900571738632552,0.976237451968721,1.02068517776588
"toeplitz",150,8,1.14038245327356,1.02236363465752,0.896509440076661,0.955489289250596,1.0066309088627
"toeplitz",150,9,1.14038245327356,1.01932332909471,0.893843399789836,0.937914279064354,0.995728730554038
"toeplitz",150,10,1.14038245327356,1.01765103051657,0.892376963180492,0.92283883617327,0.987331604919488
"toeplitz",150,11,1.14038245327356,1.01719473955935,0.891976842189575,0.90942275033478,0.980592119884123
"toeplitz",150,12,1.14038245327356,1.01737589476161,0.892135696968292,0.897339514397529,0.975194723874054
"toeplitz",150,13,1.14038245327356,1.01806986387378,0.892744237647055,0.88625533460582,0.970806040948119
"toeplitz",150,14,1.14038245327356,1.01913882564122,0.893681608933655,0.875892576130886,0.967143522257286
"toeplitz",150,15,1.14038245327356,1.02101837154583,0.89532978047401,0.866130877186418,0.964090477969985
"toeplitz",150,16,1.14038245327356,1.02285380350176,0.896939268545895,0.85688705545618,0.961569003790528
"toeplitz",150,17,1.14038245327356,1.02504696107035,0.898862445776742,0.848002399778812,0.959412613675505
"toeplitz",150,18,1.14038245327356,1.02736332282078,0.900893660606279,0.839414890120936,0.957559228348328
"toeplitz",150,19,1.14038245327356,1.03038050674116,0.903539425552695,0.831098208241662,0.955986567769725
"toeplitz",150,20,1.14038245327356,1.03322973956667,0.906037914386266,0.8230102040514,0.954652155332698
"toeplitz",150,21,1.14038245327356,1.03660038310149,0.908993627642946,0.815160123638133,0.953573776634077
"toeplitz",150,22,1.14038245327356,1.03994746587692,0.911928680498085,0.807425736616695,0.952613411343987
"toeplitz",150,23,1.14038245327356,1.0437762949561,0.915286176106846,0.799870641646556,0.951849580017214
"toeplitz",150,24,1.14038245327356,1.0473093608965,0.918384317375384,0.792472922597265,0.951261544972952
"toeplitz",150,25,1.14038245327356,1.05148124244618,0.92204263528242,0.785269991492976,0.950898877356954
"toeplitz",150,26,1.14038245327356,1.05580341920419,0.925832746876649,0.77813451811537,0.95061214516173
"toeplitz",150,27,1.14038245327356,1.06045581644378,0.929912428413518,0.771198719190467,0.950566488523383
"toeplitz",150,28,1.14038245327356,1.06525166713543,0.934117904109752,0.764383189434154,0.950669757310757
"toeplitz",150,29,1.14038245327356,1.07037249358666,0.938608350658211,0.757694256361424,0.950933532625144
"toeplitz",150,30,1.14038245327356,1.07573712619715,0.943312590534134,0.751189379813637,0.951435123095023
"toeplitz",150,31,1.14038245327356,1.08136088983478,0.948244062095701,0.744802990248446,0.952097996966938
"toeplitz",150,32,1.14038245327356,1.08756443562445,0.953683943928207,0.738589920770723,0.952996841601626
"toeplitz",150,33,1.14038245327356,1.09338809033509,0.958790699730985,0.732548936931352,0.954137167508983
"toeplitz",150,34,1.14038245327356,1.10062568856081,0.965137340899435,0.726696403917426,0.955546661596239
"toeplitz",150,35,1.14038245327356,1.10769440981005,0.971335894050566,0.721009009608751,0.957202749872642
"toeplitz",150,36,1.14038245327356,1.11471848125647,0.977495293843385,0.715462228141439,0.959080489506305
"toeplitz",150,37,1.14038245327356,1.12270010934509,0.984494373902627,0.710203035236959,0.961384760900505
"toeplitz",150,38,1.14038245327356,1.13072766203933,0.991533725193239,0.705128087307139,0.963985815261844
"toeplitz",150,39,1.14038245327356,1.13984966965929,0.999532802690244,0.700300208048465,0.966981237684685
"toeplitz",150,40,1.14038245327356,1.14906498493276,1.00761370155625,0.695717634527656,0.970379981906541
"toeplitz",150,41,1.14038245327356,1.15888390947168,1.01622390466024,0.691391652493312,0.974209964574418
"toeplitz",150,42,1.14038245327356,1.17011624353197,1.02607352487147,0.687354379428382,0.978531138913685
"toeplitz",150,43,1.14038245327356,1.1808788510945,1.03551124248247,0.683669216895136,0.983449590100528
"toeplitz",150,44,1.14038245327356,1.19295471888669,1.04610055640739,0.680321736330767,0.98896347155124
"toeplitz",150,45,1.14038245327356,1.20613907849984,1.05766190547524,0.677339373827698,0.995132812206923
"toeplitz",150,46,1.14038245327356,1.21997468051759,1.06979432822345,0.674792508221357,1.00208285154743
"toeplitz",150,47,1.14038245327356,1.23472959194415,1.08273289228518,0.672702558274376,1.0098720183131
"toeplitz",150,48,1.14038245327356,1.25044066074215,1.09650990959451,0.671122511427573,1.01860874986572
"toeplitz",150,49,1.14038245327356,1.26770732155504,1.11165102366841,0.67011845165402,1.02842632049483
"toeplitz",150,50,1.14038245327356,1.28611336493832,1.12779126094622,0.669756279517412,1.0394641365268
