"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AAA",0.019,0.880296537599057,0.72886375457808,0.837739602954506,-0.00182101761472464
"2","AAAFFM",0.004,-0.349000535474167,1.15252436074034,0.995345761811694,-0.000219421660764703
"3","ACOGNO",0.007,-0.467970992261739,1.12491628497213,0.877156657675288,-0.000811610230399521
"4","AMBSL",0.067,-1.18829623673378,0.847640364651503,0.858939824582459,0.000899616082776326
"5","AMDMNOx",0.327,0.607231269350068,1.55677279320372,0.802270737732995,0.149817417764727
"6","AMDMUOx",0.029,-0.0378368877409339,0.794259476238413,0.731234832469982,-6.91550347641753e-05
"7","ANDENOx",0.055,0.912695148884303,1.20889182450259,0.75068385463817,0.0230012305201459
"8","AWHMAN",0.029,-0.591709842140872,0.887803853156788,1.32494815753208,0.00750121503270586
"9","AWOTMAN",0.019,0.0602731199688729,0.439695893899783,0.867854208991401,-0.000490322312332564
"10","BAA",0.021,2.85979511253784,0.764851614152562,0.849544605100772,-0.00508629663317794
"11","BAAFFM",0.009,-0.791465886633409,1.06591004319085,0.927342616165001,-0.000987042523405742
"12","BUSINVx",0.044,0.355440294749396,0.839793503606678,0.817666210372162,0.000346056991688441
"13","CE16OV",0.055,0.027882052812803,0.88197485110888,0.749048587988316,0.000203844139869486
"14","CES0600000007",0.036,-0.446792512410636,0.84507371010254,1.27558315486629,0.00692454227193017
"15","CES0600000008",0.009,-0.271856023029726,0.768089528807692,0.853500439751179,0.000208975235151984
"16","CES1021000001",0.007,0.21902040334254,0.817430758596238,0.846590764476954,-4.47064537462562e-05
"17","CES2000000008",0.012,1.04776135522413,0.851084967941307,0.855955878040737,-6.12426164034493e-05
"18","CES3000000008",0.013,-0.339463854373329,0.77252086189814,0.852226826031339,0.000351744819415573
"19","CLAIMSx",0.032,0.0678824020010532,0.75913840610562,0.873557003688193,-0.000248544295599904
"20","CLF16OV",0.017,-1.13169612894706,0.844470068010739,0.85576976484731,0.000217392993859794
"21","COMPAPFFx",0.089,0.218167297605832,0.79539460639364,0.865900187609592,-0.00136899907868114
"22","CONSPI",0.028,-0.466659707769728,0.942770188351427,0.90146987406423,-0.000539649392689717
"23","CP3Mx",0.301,2.24424462480371,0.82967135800609,0.842850977072478,-0.00890306506325722
"24","CPIAPPSL",0.013,0.153139171266547,0.88237572176626,0.854811187812658,5.48757285180415e-05
"25","CPIAUCSL",0.009,1.26956976347301,0.958790670139553,0.853822317921713,0.00119938181487619
"26","CPIMEDSL",0.008,-2.97648048604117,0.848302886386687,0.853932951306079,0.000134062226941719
"27","CPITRNSL",0.003,0.298527025489656,0.890324681383659,0.856585125430036,3.02165078405302e-05
"28","CPIULFSL",0.006,0.224728769556726,1.0067219613922,0.852844282895917,0.00020748444810429
"29","CUMFNS",0.138,-0.487535794601274,0.870869398265306,0.818501369860696,-0.00352331779091219
"30","CUSR0000SA0L2",0.007,0.980316366484736,0.946002856583994,0.853796682458944,0.000632738551100093
"31","CUSR0000SA0L5",0.006,1.14155406777111,0.933422690259489,0.854299313701895,0.000541941674190638
"32","CUSR0000SAC",0.002,0.11555321348028,0.8945226967632,0.854758942433187,9.18965918574684e-06
"33","CUSR0000SAD",0.017,1.12751725344397,0.810777510060801,0.856218306736958,-0.000870999798464321
"34","CUSR0000SAS",0.012,2.23713943513407,0.97100626236819,0.853947583617509,0.00314251903749408
"35","DDURRG3M086SBEA",0.004,2.83462285880469,0.815993389825498,0.855743771236447,-0.000450709359174723
"36","DMANEMP",0.102,-0.196687625019695,0.475282553146461,0.789625505291723,0.0063063916073114
"37","DNDGRG3M086SBEA",0.004,0.130835995125633,0.894993860826498,0.854727146688465,2.10733424587558e-05
"38","DSERRG3M086SBEA",0.002,0.11286778888379,0.885108149581226,0.862396032873397,5.12693278736669e-06
"39","EXCAUSx",0.004,0.687742911013508,0.880721864291001,0.860645414039528,5.52297453550645e-05
"40","EXJPUSx",0.007,0.677197013943685,0.927514448571864,0.849485096178606,0.000369888711084719
"41","EXSZUSx",0.004,-0.460315182147501,0.79716460160979,0.870101437149735,0.000134295730947329
"42","EXUSUKx",0.001,-1.27693260371663,0.798713874381263,0.857394349588555,7.49310119937768e-05
"43","FEDFUNDS",0.035,-2.26780508240123,0.847074127453462,0.84482715638178,-0.000178349234572882
"44","GS1",0.091,0.150043540413714,0.68716046136017,0.841275618442638,-0.00210428252580629
"45","GS10",0.032,0.958908437634663,0.522726828668962,0.832409167032725,-0.00950262423179025
"46","GS5",0.028,0.120932014317885,0.457437331856525,0.835696577547273,-0.00128082227044089
"47","HOUST",0.006,0.859244966556237,1.01927625245486,0.872895751817013,0.000754660250250311
"48","HOUSTMW",0.018,1.8933746137206,0.949159072546224,0.925837629208092,0.000794812117891357
"49","HOUSTNE",0.005,0.600272094628886,0.763193671846318,0.548467175209531,0.000644471619542435
"50","HOUSTS",0.011,0.953401711148182,1.08135842684522,0.96532970111361,0.00121684184220351
"51","HOUSTW",0.006,1.45541049981264,0.920069597218132,0.893157868815857,0.000235005672508663
"52","INDPRO",0.578,-0.524325413637037,0.690637284875484,0.866797235307906,0.0533870502707672
"53","INVEST",0.007,0.149526299900915,0.608039371870817,0.854355215397291,-0.000257814876826406
"54","IPCONGD",0.195,0.347948440390722,0.721525785013744,0.805554032625808,-0.0057013120525497
"55","IPFINAL",0.607,0.320373380943729,0.564126886789329,0.802682693038762,-0.0463911466264761
"56","IPFPNSS",0.642,1.17357492458487,0.533948201014045,0.792236851493593,-0.19460373561192
"57","IPMANSICS",0.508,0.222732096965519,0.699333721242223,0.871928197855876,-0.0195287034880191
"58","IPMAT",0.268,0.818209229347417,0.856269473876958,0.9200871067255,-0.0139939352193974
"59","ISRATIOx",0.003,-0.035053448656062,1.17145343629848,0.896578543131997,-2.8905938863355e-05
"60","M1SL",0.006,-0.538749438422378,1.01973221134799,0.86024991702302,-0.00051552597903534
"61","M2REAL",0.01,0.702565861431992,1.10552397308463,0.8529321776639,0.0017746237234042
"62","M2SL",0.014,0.519880050862844,0.786726269203464,0.853492884303689,-0.000485948837559433
"63","MANEMP",0.086,-0.453393858486631,0.508490653936122,0.722202258982723,0.00833301551252864
"64","MZMSL",0.014,0.650462474495487,0.846451317747521,0.855138966278278,-7.91138510520848e-05
"65","NDMANEMP",0.029,-0.748980817937021,0.73081040604317,0.604607107227283,-0.00274119164923072
"66","NONBORRES",0.036,-0.64012122581619,0.803959473885008,0.875517801248292,0.0016490161522491
"67","NONREVSL",0.004,-0.242659739450342,0.786983418104903,0.862755118076398,7.35469638911695e-05
"68","OILPRICEx",0.008,-1.1963340206622,0.933764210755528,0.850990171013842,-0.000792203198164991
"69","PAYEMS",0.137,-0.0164235570476038,0.422671478386349,0.768388468470911,0.000777872671130214
"70","PCEPI",0.002,-0.089630836652445,0.943976076228825,0.855090225478296,-1.59338263386686e-05
"71","PERMIT",0.009,0.710921820522106,1.15608724025105,0.995044448264883,0.0010303995137469
"72","PERMITMW",0.012,1.24484784231491,1.0884455119083,1.04050109330766,0.000716202072552597
"73","PERMITNE",0.002,0.591074584045473,0.740489213188122,0.594265810633283,0.000172857873685631
