"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AAAFFM",0.001,-0.366187721025991,0.76984952369632,0.898940677751704,4.72715955081563e-05
"2","AWOTMAN",0.004,-0.125833588653154,2.05315465375961,0.824165669385323,-0.000618592377276047
"3","BUSINVx",0.008,0.133099639878898,1.22210636814473,0.773878691481128,0.00047727153878144
"4","BUSLOANS",0.001,-0.462039586098935,0.181781500600309,0.833584912665222,0.000301158978728346
"5","CE16OV",1,0.116336904947884,1.97060835856089,0.713576392237232,0.146239208382647
"6","CES3000000008",0.001,-0.431610344685418,0.644816803312431,0.813216155109964,7.2682902274134e-05
"7","CLF16OV",0.002,-0.70215753830139,1.37478480713449,0.798940217619663,-0.000808667238835808
"8","CONSPI",0.002,0.160029420306355,0.785898336462187,0.839608698056041,-1.71904760606182e-05
"9","CUMFNS",0.229,-0.132214738103071,1.33998598246958,0.850128803732525,-0.0148314915381701
"10","DDURRG3M086SBEA",0.001,-1.20148864305479,1.64615521235276,0.809589373704119,-0.00100512435430395
"11","DMANEMP",0.028,-0.57583645299299,1.02878425891402,0.756480231508547,-0.00439047238775241
"12","EXUSUKx",0.001,-0.721121181110522,0.7833482934124,0.811668747764696,2.04224794921139e-05
"13","GS5",0.001,0.342669861711705,1.05201171330984,0.803053586016789,8.53104470515154e-05
"14","HOUST",0.001,0.137577288702047,1.00531133137096,0.666523744266661,4.66094776797182e-05
"15","HWI",0.001,0.0191541369234672,0.278640924950979,0.946257361001549,-1.27876166284698e-05
"16","HWIURATIO",0.112,0.0898822156102478,0.518298263588179,0.959496173950363,-0.00444145471906803
"17","INDPRO",0.741,0.828027704909137,1.6481578632445,0.749982906992687,0.551091886995354
"18","IPBUSEQ",0.054,0.0419476567427248,1.01198053584131,0.744662370189787,0.000605522015307618
"19","IPCONGD",0.005,0.275267620141587,1.56021811724529,0.715107329120927,0.00116315817701488
"20","IPDCONGD",0.003,0.267200075335643,0.615505360527413,0.794661290953596,-0.00014361143432011
"21","IPDMAT",0.079,-0.52426506037171,0.83708110790357,0.830625103591768,-0.00026738794173268
"22","IPFINAL",0.069,0.195775893585051,1.82574106090401,0.69022932132384,0.015339101958991
"23","IPFPNSS",0.382,0.156565118662816,1.86918333871979,0.685920283331236,0.0707684492983218
"24","IPFUELS",0.001,-0.666771394944994,0.770749243471891,0.813944715759438,2.88015053124754e-05
"25","IPMANSICS",0.644,0.0318275835874719,1.18205551799537,0.748882086030767,0.00887874016723925
"26","IPMAT",0.311,-0.549177596032082,1.2732690073235,0.802851899950755,-0.0803445287455511
"27","IPNMAT",0.001,-0.0712915652862477,1.15401784943459,0.718845312685915,-3.10241313143998e-05
"28","M1SL",0.003,0.26479114678493,0.714042733410647,0.822410766025168,-8.60846868924772e-05
"29","M2SL",0.001,0.863374531863025,0.7864768576338,0.816760839299112,-2.6146418493237e-05
"30","MANEMP",0.041,-0.627720722155343,1.16657343775961,0.726911541409204,-0.0113153802063319
"31","NDMANEMP",0.052,-0.259951837528544,1.42800988466707,0.681779796905708,-0.0100871618916979
"32","PAYEMS",1,0.108354560249837,1.53463290421094,0.615744465135909,0.0995657527346348
"33","PERMIT",0.002,0.15787300181342,1.13624866612518,0.805984625985984,0.000104279550815606
"34","PERMITMW",0.002,0.136128060393653,0.818403760829312,0.690171865784252,3.49119183061731e-05
"35","PERMITNE",0.001,0.239339945235983,0.715285474229432,0.525296927353335,4.54718484047891e-05
"36","PPICMM",0.001,0.0439153256044803,0.707935175459529,0.819319208265394,-4.89146606780968e-06
"37","SRVPRD",1,-0.130738304380298,1.44477141317396,0.470053669184182,-0.127432945098613
"38","TB3MS",0.001,-0.278580810739894,0.85178205452674,0.809139454485167,-1.18794100916383e-05
"39","UEMP5TO14",1,0.383275507185954,-0.22408722921663,0.881873655131049,-0.423887718876183
"40","UEMPLT5",0.001,0.138674854298453,0.407316503462374,0.855344961711866,-6.2130281169309e-05
"41","UNRATE",1,0.169477715222774,0.96300960685407,0.901648639096035,0.0103993166194902
"42","USCONS",0.007,0.0933582018704044,1.03835768009919,0.84343344392526,0.00012738443333112
"43","USFIRE",0.018,0.265599214917795,0.859754914011823,0.631337785865072,0.00109201337837198
"44","USGOOD",0.028,-1.40400312514643,1.28275193389733,0.780859314419722,-0.0197304465745657
"45","USGOVT",0.954,0.824573343543887,0.741238414943335,0.705614560864757,0.0280232543659875
"46","USTPU",1,0.0577859678894676,1.7367859738086,0.63241204483034,0.0638173163979027
"47","USTRADE",1,0.176334438010999,1.3396129529117,0.575901650508941,0.134668603311838
"48","USWTRADE",0.205,-0.269559129750619,1.18109286070129,0.632608828555936,-0.0303090200693787
