"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AAA",0.009,0.290775569615223,0.65553547226942,0.802260741585617,-0.000383977113861278
"2","AAAFFM",0.003,-0.3425707334858,0.743432689780232,0.910235907640711,0.000171425702070767
"3","ACOGNO",0.005,0.0971043072060078,0.273667292143465,0.782638692878636,-0.000247116576280301
"4","AMDMNOx",0.049,0.104199030285997,0.802146239217927,0.790966740429904,5.70797537069787e-05
"5","AMDMUOx",0.016,-0.0322738298327876,0.66220399744652,0.762154035684048,5.16123284137374e-05
"6","ANDENOx",0.009,-0.166849975279787,0.996644404123836,0.732106129430928,-0.000397243841337623
"7","AWHMAN",0.09,-0.141970120324187,0.943055282284866,1.11545882257446,0.00220285362233065
"8","AWOTMAN",0.007,0.00427707234457421,1.07116394317734,0.826971479622454,7.31100182836848e-06
"9","BAA",0.026,0.617622677802362,0.720945274302043,0.810707209136503,-0.00144141417048669
"10","BAAFFM",0.003,-0.0341715150322232,0.770232677697336,0.854219178754148,8.6098379501001e-06
"11","BOGMBASE",0.055,-0.158833912898198,0.857833619746495,0.832684184247646,-0.000219702078610473
"12","BUSINVx",0.061,-0.129866160400779,0.517198114245421,0.773034309955741,0.00202669233013493
"13","BUSLOANS",0.008,-0.134641623460892,0.772899925749693,0.818755516828872,4.93925698212757e-05
"14","CE16OV",0.056,-0.190218129914426,0.464662360570611,0.727955361914338,0.00280465373076897
"15","CES0600000007",0.053,-0.0521886157359935,0.956806994914983,1.09251562692708,0.000375369619351243
"16","CES0600000008",0.003,-0.457497534179732,0.820191989367269,0.817886826760799,-3.16381862503106e-06
"17","CES1021000001",0.012,-0.0533280011469857,0.765513140896146,0.824962221573796,3.80436077107798e-05
"18","CES2000000008",0.008,-0.813706307772653,0.744851333175012,0.818595716775248,0.000480050160786545
"19","CES3000000008",0.003,-0.787029167146772,0.667499780689385,0.816655746710653,0.000352170287138073
"20","CLAIMSx",0.036,0.112075474228396,1.18006151906487,0.870199538915381,0.00125020542134173
"21","CLF16OV",0.007,-0.888273434142986,0.727406187877477,0.810051272741954,0.000513880033433251
"22","CMRMTSPLx",0.419,0.347194524905079,1.03432231630913,0.814766085757139,0.0319398341645524
"23","COMPAPFFx",0.024,-0.00590880958386932,0.73727742785008,0.82733245216557,1.27708317780228e-05
"24","CONSPI",0.002,0.173250266193945,0.725646065516017,0.861615543243792,-4.71134964211774e-05
"25","CP3Mx",0.365,1.48438709354636,0.703506585018521,0.817844210520675,-0.0619482728947794
"26","CPIAPPSL",0.005,0.613065318690643,0.799275118691334,0.818599365528237,-5.9235127727612e-05
"27","CPIMEDSL",0.007,0.0602245666788096,0.635854964327032,0.81802284543268,-7.67968719166918e-05
"28","CPITRNSL",0.005,0.663438806145328,0.669860832332514,0.82746784530644,-0.000522813042637765
"29","CPIULFSL",0.001,0.712795680411841,0.680319388061101,0.823659231730858,-0.000102172021398711
"30","CUMFNS",0.075,-0.27124770529386,0.676420878630002,0.845873254867887,0.00344726761583387
"31","CUSR0000SA0L2",0.002,0.636829222552001,0.681990063117865,0.824437102387708,-0.000181428874546096
"32","CUSR0000SA0L5",0.001,0.48464596914279,0.721472869825313,0.822523950257877,-4.89739988091663e-05
"33","CUSR0000SAD",0.009,0.445062580684642,0.556834360998115,0.817851230749637,-0.00104551957488456
"34","CUSR0000SAS",0.007,0.354161060566859,0.779661838042922,0.818810969586912,-9.70556856352365e-05
"35","DDURRG3M086SBEA",0.017,0.602564792343552,0.631243282088589,0.818685037892976,-0.00192007864526727
"36","DMANEMP",0.227,-0.06143080888329,0.77352141407725,0.762089382247811,-0.000159417324478857
"37","DNDGRG3M086SBEA",0.004,0.407473990404466,0.616795131984271,0.826004956043462,-0.000340990247364859
"38","DPCERA3M086SBEA",0.211,0.362853098651404,0.485384430379687,0.757140642275628,-0.0208062001320482
"39","DTCOLNVHFNM",0.003,0.0354615926241268,0.716645565560459,0.821080864225841,-1.11103260505525e-05
"40","DTCTHFNM",0.011,0.260000723409635,0.750613632384844,0.824926061434616,-0.000212534138423945
