"scenario_id","B_target","H_target","B_actual","H_actual","V_delta","k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,1,4.13957097664109,1.06357691799905,1.06742191057236,0.00357691799905413,0.00357691799905415,-1.86482773667507e-17,0.00279144875827308,0.00279144875827308,1.06279144875827,0.000785469240781047,0.21959386292578,1.28138408002409,0.0347592683237637,0.0305038181122357,0.0121795026756019,0.0118461693422686,0.00226568606239552,0.006,0.887503550694789
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,2,2.53976319689024,1.06141539057819,1.06326332533608,0.00141539057819129,0.00141539057819142,-1.30321101132758e-16,0.000669668673371635,0.000669668673371635,1.06066966867337,0.000745721904819654,0.526866517489895,2.11356844731158,0.0224543255889181,0.014940645605993,0.00855316696150238,0.00580220539213154,0.00188301044335446,0.00569216711245767,0.81991435301722
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,3,2.02133741486917,1.06091302469482,1.06211355518254,0.000913024694822129,0.000913024694822275,-1.4658413372004e-16,0.000285358429683245,0.000285358429683245,1.06028535842968,0.000627666265138884,0.68745814729706,3.19957148571223,0.0181995137677263,0.00975292143724544,0.00785992716412911,0.00378755074208587,0.00164352251256453,0.00483962930770947,0.820524071126475
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,4,1.75920184147281,1.06041175741192,1.061285245017,0.000411757411918678,0.000411757411918651,2.71050543121376e-17,0.000153756392453817,0.000153756392453817,1.06015375639245,0.000258001019464861,0.626585003686141,2.67798564565278,0.0122518249260488,0.00715905935287165,0.0058904387505229,0.00278022341706303,0.00125496737300194,0.00311021533345987,0.698951283480743
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,5,1.604381416689,1.06024656137555,1.06092672994469,0.000246561375548016,0.00024656137554815,-1.34712119931324e-16,9.41721571928862e-05,9.41721571928862e-05,1.06009417215719,0.000152389218355129,0.618057950140909,2.61819823287048,0.0092485007528264,0.00560274210224738,0.00343296023180563,0.00217582702204933,0.00108646655724869,0.00249331885462313,0.558745641901421
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,6,1.50433226885245,1.0602130789674,1.06076822795476,0.00021307896740419,0.000213078967404301,-1.10669936756458e-16,6.25230783009011e-05,6.25230783009011e-05,1.0600625230783,0.000150555889103289,0.706573205874886,3.40800506300597,0.00849945009658896,0.00456519726849787,0.00318780376957541,0.00177289609204019,0.000891042395521452,0.002914271501706,0.687906674060619
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,7,1.43171329111471,1.06014755062901,1.06061200780462,0.000147550629014503,0.000147550629014579,-7.57315217481125e-17,4.387108053657e-05,4.387108053657e-05,1.06004387108054,0.000103679548477933,0.702671002966326,3.36327774948484,0.0072022890210246,0.00382409381581964,0.0027034901748702,0.00148508828489081,0.000748535328511616,0.00198182735723209,0.698589135355197
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,8,1.37732293569286,1.06015660193888,1.06055305985607,0.000156601938876344,0.000156601938876444,-1.00261595900597e-16,3.20446923781349e-05,3.20446923781349e-05,1.06003204469238,0.000124557246498209,0.795374868229199,4.88698524636793,0.00730867414866493,0.00326826622631097,0.0026880701864452,0.00126923242952877,0.000847449235260429,0.00199929608724557,0.590072718789552
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,9,1.33492317039619,1.06013190563544,1.06047539471639,0.00013190563544363,0.000131905635443583,4.65935883625646e-17,2.41279372414634e-05,2.41279372414634e-05,1.06002412793724,0.000107777698202166,0.817081831566063,5.46692550314464,0.00677146292465494,0.00283595587891534,0.00237676374696332,0.00110134454202497,0.000833743628742931,0.00198658132305749,0.498317080468111
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,10,1.30073880466379,1.06008240370498,1.06038322420618,8.24037049811377e-05,8.24037049811822e-05,-4.45471567619982e-17,1.86019075936565e-05,1.86019075936565e-05,1.06001860190759,6.38017973874812e-05,0.77425884433334,4.42985239907537,0.0053468126789285,0.00249010760099884,0.00224547328342607,0.000967034232021924,0.000723085883526569,0.00165395466786535,0.324706765111663
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,11,1.27349670514506,1.06007861347784,1.06034538609242,7.86134778367753e-05,7.86134778368747e-05,-9.94213392169208e-17,1.46144119059667e-05,1.46144119059667e-05,1.06001461441191,6.39990659308086e-05,0.814097883618499,5.37917490916478,0.00530991617991459,0.00220714082815806,0.00213946838925956,0.000857143978383069,0.000692712998062493,0.00173281579178323,0.387129798421734
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,12,1.25047049565924,1.06007246207708,1.06031045961906,7.24620770824469e-05,7.24620770824573e-05,-1.0435445910173e-17,1.16584872244965e-05,1.16584872244965e-05,1.06001165848722,6.08035898579504e-05,0.839109121710221,6.21539275955042,0.00500500193138832,0.00197133518412408,0.00190441021894974,0.000765568767017356,0.00069164147359103,0.00185846665111445,0.254284286621416
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,13,1.23148021619228,1.06007451938801,1.06028877650902,7.45193880147266e-05,7.45193880148062e-05,-7.9580439460436e-17,9.41790365965821e-06,9.41790365965821e-06,1.06000941790366,6.51014843550684e-05,0.873618075636947,7.91252392333678,0.00522898047148408,0.00177180733147994,0.00202824408888477,0.000688082049707907,0.000667207216149827,0.0016144892418925,0.443793309829588
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,14,1.21482721513606,1.06005234291687,1.06024581150714,5.23429168663991e-05,5.23429168664594e-05,-6.0281640790194e-17,7.68752303615397e-06,7.68752303615397e-06,1.06000768752304,4.46553938302452e-05,0.85313155062077,6.80881431122007,0.00433490095190371,0.00160078345778497,0.00168573362696993,0.000621664863442665,0.000556072946912437,0.00125639054652155,0.424615645999865
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,15,1.20063933391323,1.06004799711608,1.06022373628708,4.79971160829429e-05,4.79971160829807e-05,-3.781832702901e-17,6.32981577839701e-06,6.32981577839701e-06,1.06000632981578,4.16673003045459e-05,0.868120914442889,7.58270347246944,0.0044118404907192,0.00145256276724932,0.00270079306944684,0.000564103302012789,0.000539825744848587,0.00213668976743405,0.54643913839761
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,16,1.18813841586854,1.06005109362783,1.06021120278063,5.1093627826404e-05,5.10936278265809e-05,-1.76901136968166e-16,5.24995243610033e-06,5.24995243610033e-06,1.06000524995244,4.58436753903037e-05,0.897248391640194,9.73220775774427,0.00403565880589104,0.00132286966303063,0.00110770937239977,0.000513736935761647,0.000506554680871313,0.00105070458037122,0.487636698191133
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,17,1.17687404323453,1.06004437232684,1.06019040941547,4.43723268357399e-05,4.43723268357218e-05,1.8112952544086e-17,4.3809423376929e-06,4.3809423376929e-06,1.06000438094234,3.9991384498047e-05,0.901268591257102,10.1284891275486,0.00384312389011844,0.00120843457107296,0.00120137653727436,0.000469296024363581,0.000498799110130834,0.00105373768124343,0.408026926041589
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,18,1.16693136752088,1.06003088463777,1.06016451024137,3.08846377654604e-05,3.08846377655197e-05,-5.93126350985351e-17,3.67445088269759e-06,3.67445088269759e-06,1.06000367445088,2.72101868827628e-05,0.881026583164045,8.40523897349977,0.003082451837391,0.00110671448933282,0.00117234786773145,0.000429792992009744,0.000415680271022215,0.0012196660237796,0.305860571501005
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,19,1.15808918581148,1.06002975748526,1.06015233177067,2.97574852645699e-05,2.97574852645919e-05,-2.20296328921898e-17,3.09495034582824e-06,3.09495034582824e-06,1.06000309495035,2.66625349187417e-05,0.895994224030981,9.61485062423723,0.00314120272394293,0.00101570178461795,0.000852727761470776,0.00039444817358789,0.000434135320309494,0.000984910793374166,0.231173670931381
