"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
1,1,0.266319322851772,3.7548908929773,-0.201042031444683,0.0159791593711063,0.0203333333333333,0.02,0.004354173962227,0.00402084062889367,0.00033333333333333
1,2,0.267268762693692,3.74155209879902,-0.198193711918925,0.0160361257616215,0.0216666666666667,0.02,0.00563054090504516,0.00396387423837849,0.00166666666666667
1,3,0.366234322624733,2.73049230567246,0.0987029678741993,0.021974059357484,0.0193333333333333,0.02,-0.00264072602415065,-0.00197405935748399,-0.000666666666666667
1,4,0.423503837969327,2.36125368968303,0.270511513907982,0.0254102302781596,0.0216666666666667,0.02,-0.00374356361149297,-0.00541023027815964,0.00166666666666667
1,5,0.325553203480559,3.07169454733907,-0.0233403895583228,0.0195331922088335,0.0206666666666667,0.02,0.00113347445783312,0.000466807791166457,0.000666666666666664
1,6,0.3776960544224,2.64763157647826,0.133088163267202,0.022661763265344,0.0203333333333333,0.02,-0.0023284299320107,-0.00266176326534403,0.000333333333333331
1,7,0.403809082483738,2.47641780083109,0.211427247451215,0.0242285449490243,0.0176666666666667,0.02,-0.00656187828235763,-0.0042285449490243,-0.00233333333333333
1,8,0.346255317449433,2.8880422901983,0.0387659523483002,0.020775319046966,0.0186666666666667,0.02,-0.00210865238029934,-0.000775319046966003,-0.00133333333333333
1,9,0.375303643617026,2.66450917012796,0.125910930851078,0.0225182186170216,0.0226666666666667,0.02,0.000148448049645106,-0.00251821861702156,0.00266666666666667
1,10,0.42291445666988,2.36454437588683,0.268743370009639,0.0253748674001928,0.0233333333333333,0.02,-0.00204153406685944,-0.00537486740019277,0.00333333333333333
1,11,0.283946547926868,3.5217896019555,-0.148160356219397,0.0170367928756121,0.019,0.02,0.00196320712438795,0.00296320712438795,-0.001
1,12,0.29713027206432,3.36552715767557,-0.108609183807041,0.0178278163238592,0.017,0.02,-0.000827816323859178,0.00217218367614082,-0.003
1,13,0.211096845115123,4.73716222265019,-0.36670946465463,0.0126658107069074,0.0226666666666667,0.02,0.0100008559597593,0.00733418929309261,0.00266666666666667
1,14,0.321941742192731,3.10615204225784,-0.0341747734218067,0.0193165045315639,0.0203333333333333,0.02,0.00101682880176946,0.000683495468436135,0.000333333333333329
1,15,0.321963762941714,3.10593959662794,-0.0341087111748593,0.0193178257765028,0.02,0.02,0.000682174223497183,0.000682174223497185,-1.95156391047391e-18
1,16,0.385232863553462,2.59583253301862,0.155698590660386,0.0231139718132077,0.024,0.02,0.000886028186792284,-0.00311397181320771,0.004
1,17,0.35051580180209,2.8529384263384,0.0515474054062717,0.0210309481081254,0.0186666666666667,0.02,-0.00236428144145876,-0.00103094810812543,-0.00133333333333333
1,18,0.342245140079991,2.92188225015051,0.0267354202399737,0.0205347084047995,0.0206666666666667,0.02,0.000131958261867193,-0.000534708404799473,0.000666666666666666
1,19,0.349091189815634,2.86458102975366,0.047273569446902,0.020945471388938,0.0133333333333333,0.02,-0.00761213805560471,-0.000945471388938039,-0.00666666666666667
1,20,0.271788491981129,3.6793316476013,-0.184634524056612,0.0163073095188678,0.0216666666666667,0.02,0.00535935714779891,0.00369269048113224,0.00166666666666667
1,21,0.326973507403031,3.05835175437437,-0.019079477790908,0.0196184104441818,0.021,0.02,0.00138158955581816,0.00038158955581816,0.000999999999999998
1,22,0.225892668268005,4.42688117178541,-0.322321995195984,0.0135535600960803,0.0166666666666667,0.02,0.00311310657058634,0.00644643990391968,-0.00333333333333333
1,23,0.275712888188062,3.6269613893345,-0.172861335435814,0.0165427732912837,0.0186666666666667,0.02,0.00212389337538295,0.00345722670871629,-0.00133333333333333
1,24,0.240857990306821,4.15182406332517,-0.277426029079537,0.0144514794184093,0.0213333333333333,0.02,0.00688185391492406,0.00554852058159073,0.00133333333333333
