"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,2.68519331456174,32.0630510470566,2.5665254318759,2.0385078151422,2.61619627024092
3,2.09461451403613,4.76362641325184,2.5665254318759,2.0385078151422,2.61619627024092
5,2.06775510319494,3.1797857564291,2.5665254318759,2.0385078151422,2.61619627024092
7,2.06261371933691,2.75358194139721,2.5665254318759,2.0385078151422,2.61619627024092
9,2.06458141816268,2.55823078476344,2.5665254318759,2.0385078151422,2.61619627024092
11,2.07025303587531,2.46137041272166,2.5665254318759,2.0385078151422,2.61619627024092
13,2.07666313293115,2.40338996383098,2.5665254318759,2.0385078151422,2.61619627024092
15,2.08564735166779,2.37594400734659,2.5665254318759,2.0385078151422,2.61619627024092
17,2.09550679237518,2.35384652858934,2.5665254318759,2.0385078151422,2.61619627024092
19,2.10909761428591,2.34940129690729,2.5665254318759,2.0385078151422,2.61619627024092
21,2.12376447887498,2.34865329380263,2.5665254318759,2.0385078151422,2.61619627024092
23,2.13970279281879,2.35136157588167,2.5665254318759,2.0385078151422,2.61619627024092
25,2.15917600461451,2.35969692041332,2.5665254318759,2.0385078151422,2.61619627024092
27,2.18046360963202,2.37193625223224,2.5665254318759,2.0385078151422,2.61619627024092
29,2.2036072524171,2.38566629257281,2.5665254318759,2.0385078151422,2.61619627024092
31,2.22984502720122,2.40161268007276,2.5665254318759,2.0385078151422,2.61619627024092
33,2.25762572371932,2.41850684328611,2.5665254318759,2.0385078151422,2.61619627024092
35,2.28742704291677,2.43676206084079,2.5665254318759,2.0385078151422,2.61619627024092
37,2.32057247131112,2.45749106182906,2.5665254318759,2.0385078151422,2.61619627024092
39,2.35529351274838,2.47787911365168,2.5665254318759,2.0385078151422,2.61619627024092
41,2.39633796357739,2.50190923581956,2.5665254318759,2.0385078151422,2.61619627024092
43,2.43642512503233,2.52415770547816,2.5665254318759,2.0385078151422,2.61619627024092
45,2.4830927394382,2.54903059973842,2.5665254318759,2.0385078151422,2.61619627024092
47,2.53273312180025,2.57513015702439,2.5665254318759,2.0385078151422,2.61619627024092
49,2.58688545972794,2.60210162956381,2.5665254318759,2.0385078151422,2.61619627024092
