"m","T_train","s","q","B_scale","H","V_delta","C_delta","Q_ave","Q_opt","L_equal","L_oracle_optimal","L_full_estimated_theory","kstar_subset_sqrt_cont","kstar_subset_sqrt_int","kstar_bag_cube_local_cont","kstar_bag_cube_local_int","kstar_bag_inf_grid","kstar_bag_G_grid","kstar_subset_grid","target_varied","target_value","n_rep","kstar_empirical_bagged","min_bagged_mspe","equal_weight_mspe","oracle_optimal_mspe","full_estimated_mspe","bagged_gain_vs_equal","bagged_gap_vs_oracle"
80,240,1,0.2,1,1.05851131170852,0.051835527473714,0.000664451561912693,0.213231391396356,0.2125,1.21323139139636,1.2125,1.811171875,13.3333333333333,13,0.640728839534072,1,1,1,13,"B_scale",1,40,3,1.20945116061154,1.20897052540924,1.20822934513768,1.81609519085391,-0.000480635202301016,0.00122181547385702
80,240,1,0.2,2,1.05416872714109,0.0532871194040727,0.00136611746589515,0.226354218178527,0.225,1.22635421817853,1.225,1.82984375,18.4026576313205,18,0.811953324181603,1,1,1,19,"B_scale",2,40,3,1.2233555535003,1.22098953649951,1.22053873073726,1.81623775227736,-0.00236601700079619,0.00281682276304607
80,240,1,0.2,3,1.05567836876872,0.0575345943700305,0.00221251444460941,0.239587938828827,0.2375,1.23958793882883,1.2375,1.848515625,22.1221445044903,22,0.950299968408655,1,1,1,23,"B_scale",3,40,5,1.2464944711921,1.24564909391848,1.24457468931206,1.8607064879662,-0.000845377273617443,0.00191978188003517
80,240,1,0.2,6,1.03498541429491,0.0364334784961463,0.00280212621024679,0.277623906072118,0.275,1.27762390607212,1.275,1.90453125,30,30,1.01798078771822,1,1,3,31,"B_scale",6,40,5,1.26980321730228,1.26585469458263,1.26352014991244,1.91997454130474,-0.00394852271964119,0.00628306738983286
80,240,1,0.2,10,1.04938266148101,0.0449640994025638,0.00576370445794761,0.331172832685126,0.325,1.33117283268513,1.325,1.97921875,37.1578135465206,37,1.27813193929175,1,1,3,37,"B_scale",10,40,7,1.33834702083397,1.33665702108446,1.33093600871225,1.99980428753233,-0.00168999974950679,0.00741101212171991
