"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
9,2.05164210960819,2.39543734529021,2.0411657167161,2.03831097670094,2.56922714025386,1.06001792819531,1.06035957245173,1.79281953092136e-05,0.000359572451731793,1.33333333333333,1.33440465232132,2.13136054042718,2.13171401651932,2.41414141414141,2.4152498350857,2.06212871843815,2.06,2.59126315789474
10,2.05425604572443,2.37083530185101,2.0411657167161,2.03831097670094,2.56922714025386,1.06001382209466,1.06031380481704,1.38220946583889e-05,0.000313804817040131,1.3,1.30084660329783,2.14062305861141,2.14093477978814,2.39,2.39087973125296,2.06212871843815,2.06,2.59126315789474
11,2.05814577791471,2.35291679700683,2.0411657167161,2.03831097670094,2.56922714025386,1.0600108591973,1.06027675471421,1.08591973013716e-05,0.000276754714213956,1.27272727272727,1.27340945307056,2.14996766527579,2.15024517195064,2.37197300516078,2.37268497503871,2.06212871843815,2.06,2.59126315789474
12,2.0624182794848,2.34000263514824,2.0411657167161,2.03831097670094,2.56922714025386,1.06000866280585,1.06024615197735,8.66280585354318e-06,0.000246151977346232,1.25,1.25055852300898,2.15939504566052,2.15964399264292,2.35855263157895,2.35913810087345,2.06212871843815,2.06,2.59126315789474
13,2.06612383346526,2.3294471406017,2.0411657167161,2.03831097670094,2.56922714025386,1.06000699794659,1.06022045073762,6.99794659286823e-06,0.000220450737621114,1.23076923076923,1.2312326083139,2.16890604629619,2.1691307829352,2.34869535750593,2.34918323077983,2.06212871843815,2.06,2.59126315789474
14,2.07074199309995,2.32257111031669,2.0411657167161,2.03831097670094,2.56922714025386,1.06000571219218,1.0601985621948,5.71219218015173e-06,0.000198562194797081,1.21428571428571,1.21467446069798,2.17850161599085,2.17870555913521,2.34165613147914,2.3420672394107,2.06212871843815,2.06,2.59126315789474
15,2.0758504284858,2.31804573304738,2.0411657167161,2.03831097670094,2.56922714025386,1.06000470335165,1.06017969747247,4.70335165458913e-06,0.000179697472465046,1.2,1.20032923461582,2.18818277378242,2.18836865642631,2.33688888888889,2.33723860921414,2.06212871843815,2.06,2.59126315789474
16,2.08100111070618,2.3149045975585,2.0411657167161,2.03831097670094,2.56922714025386,1.06000390096226,1.06016327108606,3.90096226188241e-06,0.000163271086059069,1.1875,1.18778109875123,2.19795059075884,2.19812063298914,2.333984375,2.33428429732832,2.06212871843815,2.06,2.59126315789474
17,2.0862116733154,2.3131544495496,2.0411657167161,2.03831097670094,2.56922714025386,1.06000325524677,1.06014883941301,3.25524677391442e-06,0.000148839413009583,1.17647058823529,1.1767122656473,2.20780617939004,2.20796220905699,2.33262991295173,2.33288893044711,2.06212871843815,2.06,2.59126315789474
18,2.09263557738474,2.31338285113476,2.0411657167161,2.03831097670094,2.56922714025386,1.0600027302903,1.06013606021077,2.73029030295469e-06,0.000136060210773392,1.16666666666667,1.16687570451798,2.21775068711434,2.21789422698367,2.33258258258258,2.33280762783693,2.06212871843815,2.06,2.59126315789474
19,2.09933851885421,2.31469497416446,2.0411657167161,2.03831097670094,2.56922714025386,1.06000229969407,1.06012466524051,2.29969407317121e-06,0.000124665240508248,1.15789473684211,1.15807648685757,2.22778529242934,2.22791762440037,2.33365086925458,2.33384742243873,2.06212871843815,2.06,2.59126315789474
20,2.10603994155268,2.31639227348037,2.0411657167161,2.03831097670094,2.56922714025386,1.06000194373206,1.0601144413024,1.94373206130471e-06,0.000114441302396129,1.15,1.15015873811834,2.23791120250892,2.23803341577851,2.33568181818182,2.33585426550129,2.06212871843815,2.06,2.59126315789474
21,2.1131089652848,2.31908663672197,2.0411657167161,2.03831097670094,2.56922714025386,1.06000164744637,1.06010521681564,1.64744637287662e-06,0.000105216815636577,1.14285714285714,1.14299632367141,2.24812965177937,2.24824267953853,2.3385518590998,2.33870375049072,2.06212871843815,2.06,2.59126315789474
22,2.12118923921066,2.3229071279757,2.0411657167161,2.03831097670094,2.56922714025386,1.06000139934429,1.06009685214057,1.39934429399524e-06,9.68521405682043e-05,1.13636363636364,1.13648607898935,2.25844190111599,2.2585465489064,2.34216013344454,2.34229437100209,2.06212871843815,2.06,2.59126315789474
23,2.12955425513369,2.32742560339696,2.0411657167161,2.03831097670094,2.56922714025386,1.06000119048996,1.06008923248011,1.19048995816939e-06,8.92324801065048e-05,1.1304347826087,1.13054280854934,2.26884923745207,2.26894620535827,2.34642356241234,2.34654254029167,2.06212871843815,2.06,2.59126315789474
24,2.13814581737515,2.3321220509139,2.0411657167161,2.03831097670094,2.56922714025386,1.06000101386024,1.06008226259292,1.01386024176087e-06,8.22625929166598e-05,1.125,1.12509553683048,2.27935297366943,2.27944287388753,2.35127314814815,2.35137885788188,2.06212871843815,2.06,2.59126315789474
25,2.14733295370624,2.33745811935446,2.0411657167161,2.03831097670094,2.56922714025386,1.06000086388092,1.06007586280107,8.63880916135429e-07,7.58628010650853e-05,1.12,1.12008466032978,2.28995444868623,2.29003781957886,2.3566511627907,2.3567452735759,2.06212871843815,2.06,2.59126315789474
26,2.15686892448304,2.34349942062635,2.0411657167161,2.03831097670094,2.56922714025386,1.06000073608788,1.060069965937,7.36087881314518e-07,6.99659370020367e-05,1.11538461538462,1.11545975768916,2.30065502768693,2.30073234513525,2.36250898634076,2.36259290695191,2.06212871843815,2.06,2.59126315789474
27,2.16671744947831,2.34935245863259,2.0411657167161,2.03831097670094,2.56922714025386,1.06000062687655,1.06006451498184,6.2687654955873e-07,6.45149818427893e-05,1.11111111111111,1.11117788709139,2.31145610245772,2.31152778911108,2.36880542514345,2.36888035218236,2.06212871843815,2.06,2.59126315789474
28,2.1769870205205,2.35580172915099,2.0411657167161,2.03831097670094,2.56922714025386,1.06000053331424,1.06005946121902,5.33314238992944e-07,5.94612190247812e-05,1.10714285714286,1.10720224895584,2.32235909180237,2.32242552467616,2.37550539083558,2.37557234670022,2.06212871843815,2.06,2.59126315789474
