"scenario_id","B_target","H_target","m","T_train","s","q","B_scale","H","V_delta","C_delta","Q_ave","Q_opt","L_equal","L_oracle_optimal","L_full_estimated_theory","kstar_subset_sqrt_cont","kstar_subset_sqrt_int","kstar_bag_cube_local_cont","kstar_bag_cube_local_int","kstar_bag_inf_grid","kstar_bag_G_grid","kstar_subset_grid","n_rep","G_bag","N_subsets_pop","kstar_empirical_bagged","kstar_empirical_subset_avg","min_bagged_mspe","min_subset_avg_mspe","equal_weight_mspe","oracle_optimal_mspe","full_estimated_mspe","bagged_gain_vs_equal","bagged_gap_vs_oracle","min_weight_R_mc","max_abs_weight_identity_gap","mean_weight_R_ratio","mean_smallhet_rel_error","median_weight_corr_with_approx"
"baseline_m50_T240_B3_H1p05",3,1.05,50,240,1,1,3,1.03547864063579,0.0345696346612731,0.00215970229037525,1.06212871843815,1.06,2.06212871843815,2.06,2.59126315789474,17.5328663106743,18,0.795406804519895,1,1,1,18,500,800,3000,2,17,2.04004779635549,2.3131544495496,2.0411657167161,2.03831097670094,2.56922714025386,0.00111792036061331,0.00173681965454975,1.07077825626585e-28,6.66133814774987e-16,91.4788291651862,0.905828048711166,0.189136709613655
"baseline_m50_T240_B8_H1p05",8,1.05,50,240,1,1,8,1.04071601140455,0.041236971784883,0.00686996614492011,1.16651456182473,1.16,2.16651456182473,2.16,2.71705263157895,27.2409987036266,27,1.15145603681906,1,1,2,27,500,800,3000,4,27,2.18526259704029,2.59137947981539,2.1884016873918,2.18126722863615,2.71947767951898,0.00313909035150894,0.00399536840414072,2.29842589974632e-28,1.11022302462493e-15,71.2117797379656,0.895084581419392,0.260514540236264
"baseline_m50_T240_B3_H6",3,6,50,240,1,1,3,2.95135097680283,1.70267724218725,0.106373005551057,1.17708105860817,1.06,2.17708105860817,2.06,2.59126315789474,17.5328663106743,18,2.91564838773028,3,3,3,18,500,800,3000,7,19,2.06439002490848,2.33530593225522,2.16899344594521,2.05599489550233,2.57098485490186,0.104603421036732,0.00839512940615128,1.47878741624408e-28,1.33226762955004e-15,4.58909185338003,0.710461127106197,0.806032619947353
"baseline_m50_T240_B8_H6",8,6,50,240,1,1,8,3.81785947595028,3.13668721556339,0.522563467815642,1.61085751615205,1.16,2.61085751615205,2.16,2.71705263157895,27.2409987036266,27,4.87875313972289,5,5,5,27,500,800,3000,8,30,2.1876497154798,2.59506836031422,2.5989187379133,2.1568502470057,2.7197873082486,0.41126902243349,0.0307994684741062,2.99161585590324e-28,1.11022302462486e-15,7.03955536427872,0.786908097984726,0.847796378109352
