"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated"
1,1.28962825304844,4.41429089679009,1.27806805784567,1.27317680554398,1.46012239412311
3,1.27821209383052,2.23276695291472,1.27806805784567,1.27317680554398,1.46012239412311
5,1.2785340802875,1.83027133764756,1.27806805784567,1.27317680554398,1.46012239412311
7,1.27987410168108,1.66273193019993,1.27806805784567,1.27317680554398,1.46012239412311
9,1.28248059106056,1.57448361619238,1.27806805784567,1.27317680554398,1.46012239412311
11,1.28626806479308,1.52169781941776,1.27806805784567,1.27317680554398,1.46012239412311
13,1.29056883325767,1.48751513890306,1.27806805784567,1.27317680554398,1.46012239412311
15,1.29604575332691,1.46501616690854,1.27806805784567,1.27317680554398,1.46012239412311
17,1.30241193338524,1.4500532574033,1.27806805784567,1.27317680554398,1.46012239412311
19,1.31032288805772,1.44074633793574,1.27806805784567,1.27317680554398,1.46012239412311
21,1.31894840078079,1.43449713072306,1.27806805784567,1.27317680554398,1.46012239412311
23,1.32844954763805,1.43121305971629,1.27806805784567,1.27317680554398,1.46012239412311
25,1.3396010387747,1.43037179812692,1.27806805784567,1.27317680554398,1.46012239412311
27,1.35185967609609,1.43117363301554,1.27806805784567,1.27317680554398,1.46012239412311
29,1.36429345840077,1.43281878703182,1.27806805784567,1.27317680554398,1.46012239412311
31,1.37923836759012,1.43643539815459,1.27806805784567,1.27317680554398,1.46012239412311
33,1.39353859853232,1.43963516973792,1.27806805784567,1.27317680554398,1.46012239412311
35,1.4106423663418,1.44472181753397,1.27806805784567,1.27317680554398,1.46012239412311
37,1.42945902492039,1.45044755966969,1.27806805784567,1.27317680554398,1.46012239412311
39,1.44913170253274,1.4566424508546,1.27806805784567,1.27317680554398,1.46012239412311
