"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",120,200,2,1.10642382266626,1.08870769097315,0.983987933619854,1.15170012105197,1.158440292769
"factor",120,200,6,1.10642382266626,1.05211635303808,0.95091621445992,1.01844450710206,1.04895275159009
"factor",120,200,10,1.10642382266626,1.03921482892949,0.939255651984415,0.94243056683778,0.994487545773481
"factor",120,200,14,1.10642382266626,1.03458659031423,0.935072590737503,0.888054791729205,0.960688401797832
"factor",120,200,18,1.10642382266626,1.03428609250065,0.934800996970784,0.84485932746124,0.937550179401672
"factor",120,200,22,1.10642382266626,1.0368579149192,0.937125442961428,0.807894835635514,0.92028167179
"factor",120,200,26,1.10642382266626,1.04092554774074,0.940801821522887,0.77469004563801,0.906468300647297
"factor",120,200,30,1.10642382266626,1.04698751202764,0.946280702366482,0.743916703375337,0.894803441370553
"factor",120,200,34,1.10642382266626,1.05419074812463,0.952791079266746,0.714879089222497,0.884608476056646
"factor",120,200,38,1.10642382266626,1.06322733813793,0.960958464881716,0.687108555434548,0.875418190082994
"factor",120,200,42,1.10642382266626,1.073581408532,0.970316606112907,0.660408122523149,0.867065011410167
"factor",120,200,46,1.10642382266626,1.08471856636512,0.980382511785727,0.634575944820309,0.859353411103574
"factor",120,200,50,1.10642382266626,1.09836797373627,0.992719020717961,0.609545279222443,0.852254794491148
"factor",120,200,54,1.10642382266626,1.11356506935899,1.00645435008397,0.585256170574034,0.845741270182054
"factor",120,200,58,1.10642382266626,1.13055120797278,1.02180663938379,0.561670361015479,0.839819648810769
"factor",120,200,62,1.10642382266626,1.15000197461504,1.03938649101369,0.538794815769244,0.834559342703969
"factor",120,200,66,1.10642382266626,1.17189079894496,1.05916989035985,0.516647465662968,0.830072684764395
"factor",120,200,70,1.10642382266626,1.19564775087127,1.08064172731747,0.495210492102961,0.826415484556048
"factor",120,200,74,1.10642382266626,1.22301893461307,1.10538015320913,0.474501561306705,0.823718451928137
"factor",120,200,78,1.10642382266626,1.25382613189643,1.1332240920798,0.454581840996737,0.822215458105453
"factor",120,200,82,1.10642382266626,1.28890920459767,1.16493262183352,0.435473123732911,0.822114135346497
"factor",120,200,86,1.10642382266626,1.32816810718998,1.20041532004378,0.417232918886899,0.823717877667915
"factor",120,200,90,1.10642382266626,1.37260529679899,1.24057822028025,0.399932610141223,0.827435742129841
"factor",120,200,94,1.10642382266626,1.42476447830296,1.28772035554112,0.383630254856679,0.833723986308697
"factor",120,200,98,1.10642382266626,1.48430740088376,1.34153601041134,0.368474198311271,0.843351631862106
"factor",120,200,102,1.10642382266626,1.5536323103191,1.40419275009386,0.354589143794605,0.857220958356397
"factor",120,200,106,1.10642382266626,1.63582494109681,1.47847950087951,0.342207341499155,0.876754128563098
"factor",120,200,110,1.10642382266626,1.73510053210072,1.56820604957644,0.331681192464689,0.904109401737716
"factor",120,200,114,1.10642382266626,1.8574228072089,1.67876248609044,0.323521842521594,0.942610914446702
"factor",120,200,118,1.10642382266626,2.01362859696232,1.81994327644706,0.318635837365847,0.998093696246326
"factor",120,200,120,1.10642382266626,2.10999001744078,1.90703596055635,0.317896469002757,1.0353231116423
