"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",80,200,2,1.11145605893803,1.1034046791452,0.992756007106104,1.16598338349168,1.17280664815719
"factor",80,200,5,1.11145605893803,1.08145872898114,0.973010781923713,1.07347135003065,1.09904112818813
"factor",80,200,8,1.11145605893803,1.06512467944104,0.95831469978106,0.999558457900534,1.04197547306651
"factor",80,200,11,1.11145605893803,1.05438262711847,0.948649853171803,0.94302255525385,1.00124675146654
"factor",80,200,14,1.11145605893803,1.04850824983743,0.943364554455944,0.898998277613908,0.972517639178592
"factor",80,200,17,1.11145605893803,1.04606620573038,0.94116739687386,0.86326356651084,0.951824819026343
"factor",80,200,20,1.11145605893803,1.0460008838431,0.941108625421086,0.833099523871556,0.936583985106741
"factor",80,200,23,1.11145605893803,1.04811717983141,0.943012700684602,0.80667167734551,0.925016927528453
"factor",80,200,26,1.11145605893803,1.05177064710105,0.94629980073706,0.782955286913702,0.916149585025922
"factor",80,200,29,1.11145605893803,1.05705509128227,0.951054324443794,0.761166656761384,0.909213954709198
"factor",80,200,32,1.11145605893803,1.06350419235803,0.956856714042463,0.740913501022662,0.903854747464649
"factor",80,200,35,1.11145605893803,1.07122017569464,0.963798943809051,0.721856140005116,0.899751037565737
"factor",80,200,38,1.11145605893803,1.08021186573826,0.971888953280237,0.703775812594254,0.896708857951588
"factor",80,200,41,1.11145605893803,1.09074431860454,0.981365218924378,0.686562352336632,0.894655132125114
"factor",80,200,44,1.11145605893803,1.10267617979019,0.992100561171783,0.670150491872517,0.893574847073693
"factor",80,200,47,1.11145605893803,1.11634440083622,1.00439814229171,0.654467730021016,0.893437346023516
"factor",80,200,50,1.11145605893803,1.13147577607441,1.01801215349486,0.639574058226104,0.894396406004602
"factor",80,200,53,1.11145605893803,1.1487476514214,1.03355201690925,0.625438244933778,0.896493504559375
"factor",80,200,56,1.11145605893803,1.1680171520697,1.05088918511607,0.61212777060939,0.899914989343331
"factor",80,200,59,1.11145605893803,1.18975076746861,1.07044336831938,0.599695672428864,0.90484906262053
"factor",80,200,62,1.11145605893803,1.21437246047854,1.09259601467182,0.588235616712167,0.911566830069213
"factor",80,200,65,1.11145605893803,1.24231772435646,1.11773894646224,0.577876152322099,0.920427694685085
"factor",80,200,68,1.11145605893803,1.27375903717541,1.14602734577961,0.568740012952512,0.9318230775661
"factor",80,200,71,1.11145605893803,1.30967004130148,1.17833721879464,0.5610448794841,0.946352741759046
"factor",80,200,74,1.11145605893803,1.35092536583857,1.21545548739853,0.555028797802376,0.964732779498938
"factor",80,200,77,1.11145605893803,1.39827636780039,1.25805816303383,0.551049881609256,0.987988769229972
"factor",80,200,80,1.11145605893803,1.45372939033904,1.30795039412358,0.549565209160115,1.01747354653196
