"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"toeplitz",30,200,2,1.11680428226805,1.08382501949454,0.970469971061956,1.14399780761693,1.15069322929221
"toeplitz",30,200,4,1.11680428226805,1.04267747542415,0.933625964709446,1.03517029349777,1.05356022367178
"toeplitz",30,200,6,1.11680428226805,1.02813830160729,0.92060741343086,0.983736510095594,1.01321183916625
"toeplitz",30,200,8,1.11680428226805,1.02398039531372,0.916884374076883,0.954167620069981,0.994677732230151
"toeplitz",30,200,10,1.11680428226805,1.02449478776089,0.917344967267057,0.933516607378482,0.985099373842417
"toeplitz",30,200,12,1.11680428226805,1.02714306976638,0.919716270858507,0.917220156347519,0.979935457769994
"toeplitz",30,200,14,1.11680428226805,1.03113268787256,0.923288622943405,0.903409965004706,0.977331427035038
"toeplitz",30,200,16,1.11680428226805,1.03617484186437,0.927803428332196,0.891287570613531,0.976510897034082
"toeplitz",30,200,18,1.11680428226805,1.04240921926214,0.933385764912341,0.880557304667719,0.977215055037338
"toeplitz",30,200,20,1.11680428226805,1.04960894271488,0.939832483972298,0.8710698354282,0.979335791163817
"toeplitz",30,200,22,1.11680428226805,1.05789301474546,0.947250141803767,0.862860146786785,0.982969966772018
"toeplitz",30,200,24,1.11680428226805,1.06775896035151,0.956084228279521,0.855988666718988,0.98824921023003
"toeplitz",30,200,26,1.11680428226805,1.07934042966542,0.96645441533718,0.850661189783457,0.995482576585953
"toeplitz",30,200,28,1.11680428226805,1.09294599128574,0.978636999014852,0.847132505662638,1.00505491457117
"toeplitz",30,200,30,1.11680428226805,1.10903010636994,0.993038909304397,0.845822702824464,1.01757245754761
