"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",30,200,2,1.09137381957343,1.07683263826505,0.98667625973101,1.11610075989793,1.12263225890482
"factor",30,200,4,1.09137381957343,1.06210511716831,0.973181780724268,1.05614320243608,1.07490237467887
"factor",30,200,6,1.09137381957343,1.05493335537918,0.966610465139716,1.0131071095425,1.04345461163841
"factor",30,200,8,1.09137381957343,1.05047665550767,0.962526896529605,0.977574955974345,1.01906562645568
"factor",30,200,10,1.09137381957343,1.04818006828641,0.960422588014894,0.948238439120634,1.0006156765567
"factor",30,200,12,1.09137381957343,1.04846835308905,0.960686736556361,0.924062359816034,0.987220979792464
"factor",30,200,14,1.09137381957343,1.0505433470208,0.962588004384618,0.903962137483414,0.977899034941865
"factor",30,200,16,1.09137381957343,1.05439085460729,0.966113384522465,0.887177965585311,0.971973349074028
"factor",30,200,18,1.09137381957343,1.06002127842732,0.971272408606652,0.873080020512122,0.968876612403201
"factor",30,200,20,1.09137381957343,1.06714603381927,0.977800653342014,0.861321262391631,0.968330133589888
"factor",30,200,22,1.09137381957343,1.07602891256064,0.985939824890813,0.851622705354979,0.970117609520934
"factor",30,200,24,1.09137381957343,1.08643814847508,0.995477561391131,0.843925648353845,0.974266285570795
"factor",30,200,26,1.09137381957343,1.09885334756392,1.00685331447058,0.838214941848901,0.980855796423656
"factor",30,200,28,1.09137381957343,1.11360630196268,1.02037109741,0.834611133259882,0.990131747991282
"factor",30,200,30,1.09137381957343,1.1307416399555,1.03607180204988,0.833322239312248,1.00245953007851
