"sigma_type","m","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",20,200,2,1.08958094417444,1.07382928012871,0.985543374147694,1.11607381554598,1.12260550251004
"factor",20,200,4,1.08958094417444,1.05683370916255,0.969945110377542,1.05246985755564,1.07116488303509
"factor",20,200,6,1.08958094417444,1.05040557769535,0.96404547391495,1.01110181755627,1.04139140376986
"factor",20,200,8,1.08958094417444,1.04781987942883,0.961672361315703,0.979155454836965,1.020716465176
"factor",20,200,10,1.08958094417444,1.04834910891853,0.962158079694433,0.954137050964643,1.00684501302785
"factor",20,200,12,1.08958094417444,1.05155447514455,0.965099913656525,0.9348913774265,0.99879736620993
"factor",20,200,14,1.08958094417444,1.05748095255675,0.970539140034235,0.920452026964244,0.995748054908817
"factor",20,200,16,1.08958094417444,1.0660455395339,0.978399581264364,0.910313122827668,0.997334869268565
"factor",20,200,18,1.08958094417444,1.07761101634968,0.989014191291833,0.904145129774146,1.00337267244828
"factor",20,200,20,1.08958094417444,1.0921509537817,1.00235871379818,0.90200720323108,1.01410417519501
