"vintage","target_date","target_year","target_q","k_main","MEAN_bivariate","MEAN_fore_rs","RS_fore","LASSO_fore","RIDGE_fore","RF_fore","covid_excl","actual"
"1999-09",1999-09-01,1999,3,9,0.950907144428374,0.932243919448186,1.07437008838762,0.948583442804815,0.954978772531525,0.977093247784107,FALSE,1.32588322950578
"1999-12",1999-12-01,1999,4,9,0.903492061815266,0.986416056589434,1.04643593024599,1.00590828567696,0.85293434124906,0.952527777771869,FALSE,1.64066708656838
"2000-03",2000-03-01,2000,1,9,0.964483147412267,1.10629282062499,1.23596377071051,0.948275298099932,0.904962931895912,1.18887132248454,FALSE,0.362793408726381
"2000-06",2000-06-01,2000,2,9,0.848795545466561,0.748989633882132,0.724673957476906,0.860452586117996,0.86883030722877,0.816187557380171,FALSE,1.82128781313526
"2000-09",2000-09-01,2000,3,9,0.739908524412284,0.739908524412267,0.488654270774794,0.435280822305195,0.588214828715867,0.683333770481578,FALSE,0.10193258635609
"2000-12",2000-12-01,2000,4,9,0.752921236380235,0.752921236380224,0.459026250243274,0.199567147295085,0.576693239421833,0.694563239617996,FALSE,0.597038792781657
"2001-03",2001-03-01,2001,1,9,0.725660010984873,0.725660010984868,0.425129319524517,0.294158813550447,0.561686718400798,0.413680556879129,FALSE,-0.327798807640167
"2001-06",2001-06-01,2001,2,6,0.755275820996093,0.755275820996084,0.451464983860027,0.400693210577081,0.60519250481777,0.512276189848406,FALSE,0.624502930243831
"2001-09",2001-09-01,2001,3,6,0.741910420723744,0.741910420723739,0.583238984201346,0.818679176946905,0.75225800429801,0.597765454814661,FALSE,-0.400639195319075
"2001-12",2001-12-01,2001,4,6,0.722215107276272,0.496528797237334,0.237043601009048,1.94245475396295,0.544642206623322,0.404069906153399,FALSE,0.274775447859077
"2002-03",2002-03-01,2002,1,6,0.894336602138913,0.774187895250795,0.760545824394331,0.815559685065378,0.781195954657193,0.641294380813228,FALSE,0.836358656432412
"2002-06",2002-06-01,2002,2,6,0.789296081867439,0.786166371194444,0.717633916038571,1.14960628348693,0.761348972612006,0.735778737151936,FALSE,0.612706584005807
"2002-09",2002-09-01,2002,3,6,0.854162821337461,0.796896449801969,0.76531544505464,1.211143910969,0.824129330229036,0.65672796566201,FALSE,0.406511430035095
"2002-12",2002-12-01,2002,4,6,0.753289353635493,0.668634972292332,0.548404294458179,1.08868349023183,0.706858742012908,0.463930346626465,FALSE,0.123605052551956
"2003-03",2003-03-01,2003,1,6,0.873283454425551,0.728149343975972,0.78029978381727,1.50115301833071,0.725985595966796,0.624551693423012,FALSE,0.526641985805054
