"k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55"
0.955514625321313,0.958963204824687,0.954141636679392,0.999801342714893,1.03097249080567,1.05733510076502,1.09242359984854,1.07663968147318,1.09836627317484,1.13272901906571,1.14592197650625,1.12779138864338,1.14981172006477,1.16643810738826,1.15627213119081,1.14395327133888,1.22172853081171,1.19472383003854,1.17457017770924,1.21198386876204,1.22565390529269,1.19566307172091,1.24700352759829,1.24869538918351,1.22340694747774,1.25669466095797,1.28085709170846,1.2660114904634,1.28704660957259,1.27269623671277,1.31341973521091,1.33094840043404,1.27492152689209,1.30500478205991,1.30330775189048,1.27876627608128,1.31353108813779,1.31455189513493,1.30560114117052,1.35849994819471,1.32275688208,1.33905587288983,1.32916944086352,1.39848875099636,1.4018910586534,1.40769238952215,1.4619921692775,1.44083747773454,1.42470348033048,1.47364589443356,1.44917560637898,1.48687172589936,1.51950964118077,1.51847698043411
0.994711931895396,1.01148914455782,1.02090300218966,1.00019994641803,1.03440602845299,1.06394294121562,1.04538293385144,1.03985287282636,1.05314737950175,1.0549885472035,1.07308617253292,1.0723971774789,1.08340296973662,1.07266466997781,1.04088464072898,1.09892950156969,1.08356882184064,1.03572260220407,1.07147241736193,1.06755520460551,1.08163924874384,1.05359060430697,1.116152836436,1.0540473483581,1.12969811823006,1.14136539935964,1.12647517007844,1.08651864857238,1.17556189340289,1.14564535878275,1.12624042087079,1.15217570950263,1.12103037623906,1.21551253776917,1.17305489905908,1.20833610321092,1.24252977838987,1.18960174309438,1.20780057551655,1.20968174734577,1.22085611957636,1.16884894075671,1.282834847078,1.2318060445227,1.24947970293749,1.26660412674701,1.2945889670962,1.29868248381583,1.30981771452783,1.30552744047621,1.35413337792146,1.37946695087509,1.38711326390903,1.34347159117925
1.13716871253898,1.13344824993011,1.16455676236989,1.17343218640072,1.1774228732593,1.25961064188436,1.23757941716032,1.26492267366139,1.2428989953302,1.27127786110866,1.26970788892772,1.30612428108405,1.31239943213154,1.33259608260216,1.33819541456105,1.32718653062828,1.35911981823658,1.41806230605435,1.43808834358635,1.37433872363529,1.42916058916236,1.43166564718414,1.44304221324675,1.45162089720384,1.46358221057595,1.42639949976274,1.54259864147022,1.50122392856111,1.45675538708554,1.51962320258667,1.51768283121447,1.58607935635685,1.524498197694,1.58520547673244,1.60047627095057,1.53110820674032,1.53232712597358,1.57386370204149,1.57950572209481,1.55529192898022,1.5535640417324,1.66824085606794,1.57673643210843,1.64233240815807,1.56515208736199,1.6103045818964,1.62921499902444,1.58793230368312,1.60490136776042,1.66589189043115,1.60326188331242,1.66487974897144,1.57221445118433,1.59877041133834
0.752086604433434,0.780528235688299,0.74053584495165,0.736182719367416,0.77122433402572,0.740439618936591,0.753799475181555,0.709936380154252,0.71794817041213,0.68417929065847,0.69861878590512,0.682034341183576,0.717705197789165,0.668811868516184,0.63686247830486,0.631960440934107,0.632330770554248,0.648577926533049,0.707480417481004,0.657667528336978,0.721228151510932,0.680376266057402,0.708787765650729,0.689824252911791,0.726279038737589,0.707133758061606,0.713749919876483,0.693842413454469,0.693110948426078,0.769672663888843,0.734352721958666,0.789017342565497,0.773567740205716,0.869122657886145,0.767637384087987,0.895434870097335,0.840551129660666,0.871724655163465,0.944610115932048,0.922880888309912,0.940829944032267,0.947873727485252,1.02491369933739,0.983854944041684,1.01161041152461,1.00601180264517,1.0714243987048,1.10462617160948,1.0878710858877,1.09585221894286,1.14912344582025,1.27704204728879,1.17235082040133,1.25901043169642
0.717166184315311,0.660100151493767,0.606247516057413,0.59114060443317,0.56865384532139,0.543176276765343,0.537843884392632,0.476022951976549,0.496847530456404,0.449642287103555,0.408109897241754,0.443177839069575,0.445416174216799,0.419573996060536,0.36775162943927,0.415449744176076,0.389815120034929,0.394929670157846,0.365977293239709,0.308676879960905,0.314086692595295,0.336954726792306,0.31616126361669,0.328056848555705,0.303108423019013,0.312846163949662,0.224398865698431,0.335645914229007,0.238141448342752,0.216202175666374,0.251376937328841,0.234534602295978,0.199354608904206,0.201416732903605,0.176316429520262,0.196169063889798,0.173274714105771,0.15609354043564,0.150001297349431,0.165452461224772,0.0659489362717561,0.0993621772244567,0.0454025608701281,0.0658157262086436,0.0583990834149173,0.0174076551302054,0.135249489933419,0.0217089445722176,-0.0570091395547969,-0.0410599391239485,-0.0495125928037917,0.0125848047270728,-0.0234066028796456,-0.126774724329916
0.749005998362566,0.668017882430284,0.65839534435393,0.611921904438629,0.581324646215579,0.490949295983337,0.487629161713688,0.408582926570785,0.374486983243082,0.379360052276134,0.378531551885502,0.371420139244303,0.342089311299032,0.328278520482881,0.315217937849735,0.270780581000364,0.275248698039915,0.232038534423278,0.204222197629589,0.23329999265822,0.218453214986129,0.183475215954343,0.1843082369396,0.111978388626334,0.189123808146933,0.162578836706515,0.109515725954401,0.123137848725131,0.114579632942414,0.0641782052923772,0.122985130045107,0.00646611787721423,0.0313791956527589,0.0503138940676353,0.0146370142107826,0.0449025819660665,0.0723996178421711,0.0702681349131941,0.0199554057455564,-0.00606592275202954,-0.0234669865917718,-0.0153001224162867,-0.0245652621255896,-0.0615506140793393,-0.0433783196390166,-0.123785125784864,-0.10773198314174,-0.137214788416452,-0.0834588085825265,-0.122382998274941,-0.0885084658658295,-0.267736661656605,-0.13847675959442,-0.0762502508487424
0.683807843886369,0.614988672549702,0.581804947299619,0.576100728991623,0.552020410120172,0.45313491087289,0.429138706602849,0.434130587255684,0.409298696524417,0.418553897508533,0.458813231104717,0.369931589245369,0.376838452402628,0.38604649870335,0.404437976477519,0.365573780746513,0.422234522356126,0.389661217698726,0.354021862179894,0.386193044783044,0.36800205814893,0.394961565458626,0.333665751425251,0.34422480284511,0.385764744572527,0.425032979691056,0.33447733226844,0.390045687963123,0.385774209008919,0.385400659684094,0.293683237794614,0.287493652326845,0.319680795581622,0.240552377243488,0.231953228354861,0.257821754761628,0.279956170847944,0.256007291562624,0.211676031220275,0.162062661301319,0.240970003289833,0.200502133527255,0.221191208959435,0.15916317595736,0.158056896243482,0.100973475740926,0.0719660546565083,-0.0372300370461622,0.107293414202762,-0.00609995646721473,0.0222850360927073,-0.0359821386195771,0.0530149325514595,-0.0318073902678018
0.768152288112657,0.615752338342987,0.511954646043026,0.549506633597167,0.461056501106421,0.303532848262925,0.336912383292839,0.346927722252263,0.323637637290819,0.37346969692948,0.283641651104368,0.328494640557287,0.394486189130692,0.350508112738795,0.441104917997128,0.408511264876701,0.403227820428938,0.399111929437152,0.503032815457464,0.54406996733836,0.480519019487116,0.405793965127468,0.494847200235044,0.402108673120497,0.472105763429273,0.5187638851424,0.520905390136124,0.410366130090026,0.594279427523835,0.309017342465031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.780232014223238,0.707693771539936,0.643665362463693,0.629666864350772,0.630242912393868,0.49869789848194,0.573644518654377,0.476686075028546,0.433004854937084,0.485905050858609,0.425810083386677,0.529440188521961,0.450562368343981,0.367148853599033,0.351305484185076,0.413465594987687,0.415079330491652,0.256776025199469,0.313240149981253,0.34200254931806,0.277342091806866,0.285303597414993,0.210140257061927,0.359969600713813,0.157824769256108,0.12067670554658,0.191677374510815,0.181869107122557,0.286648605977624,-0.0875205488022671,-0.0586152124328882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.547305023468432,0.489561565192651,0.365823944288223,0.282052812477485,0.221746488007089,0.283016198386387,0.348930737505685,0.215757924798165,-0.0274562363162638,0.129906132741302,-0.117320007755821,0.280469492895757,-0.127999070283731,-0.202859766561736,0.0354947643154563,-0.109163162672348,-0.151362063964088,-0.368645823873633,-0.509034044055086,0.0842208696670838,-0.300323386915461,-0.587612056075988,-0.239926713106451,-0.079482291212942,-0.790430124204061,-0.228640181065175,-0.86119039405116,-0.528040215030736,0.125066162095329,-0.343684845754178,-0.193950497747575,0.170206724812154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
