"k","rmsfe_full","rmsfe_nocov"
2,1.19804167080146,0.568472970663347
3,1.12821384052907,0.556324215455826
4,1.03799192684647,0.549006541115499
5,0.930657023113752,0.540946914756226
6,0.902660007225582,0.53118882183755
7,0.798041616491485,0.53204941367749
8,0.793997005800259,0.519739517147704
9,0.775067335031901,0.521547556513853
10,0.759178866163368,0.517585201383801
11,0.68424303879744,0.518561398809227
12,0.739172670248858,0.520143316237328
13,0.68173257118913,0.511313658185875
14,0.635268689294744,0.509572346720717
15,0.682579504961176,0.512374840410003
16,0.655409566498012,0.506461210304247
17,0.646573683147844,0.510509168291229
18,0.692927463892493,0.512116429808219
19,0.617073246013547,0.514587204324774
20,0.658192502778206,0.517321503255331
21,0.642411133452322,0.509962032688752
22,0.632507528480463,0.511155720907801
23,0.627946107934852,0.516961487267193
24,0.643292949193938,0.514488796010781
25,0.664667418193085,0.51652823833924
26,0.666964867457993,0.521688374980552
27,0.687846603288425,0.522180219115158
28,0.653984842199014,0.536020188524478
29,0.675821263740833,0.538162343885432
30,0.657319094172373,0.527698631051642
31,0.663093506695372,0.528827247738356
32,0.658129904356864,0.539047093472264
33,0.689310315552127,0.549771019014491
34,0.671422959820086,0.546624967571592
35,0.690801147945665,0.556034052566563
36,0.732762292909178,0.562258825203988
37,0.722190989524491,0.559945255704927
38,0.725143955442915,0.58755976070022
39,0.725234865456829,0.586219500998306
40,0.705141434651031,0.579121543109528
41,0.759276971717067,0.597437710460255
42,0.762291543607685,0.608399526671673
43,0.761070188375313,0.614824596912913
44,0.787255971279387,0.614997067349429
45,0.7995255534154,0.62099998874987
46,0.814588944737077,0.638005385810324
47,0.840092222380989,0.665769904473364
48,0.843935991330875,0.687011327331236
49,0.842628468234268,0.657144686972593
50,0.871982548266089,0.706721629180149
51,0.866367459867035,0.687092373308607
52,0.841538765988356,0.725872374963869
53,0.926978324595693,0.737297177911112
54,0.899419959699923,0.740417776318069
55,0.916803787403014,0.747767444304714
