"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AMBSL",0.01,-0.490006470337123,0.66743695362308,0.83926566470229,0.000841971802185013
"2","AMDMNOx",0.002,0.0287601927331956,-2.17127490557868,0.75406096495345,-0.000168266446891669
"3","AMDMUOx",0.001,-0.0384870660872096,0.0185141967119717,0.659076001317809,2.46533445068071e-05
"4","AWHMAN",0.006,0.0126150552255886,1.73719177779195,1.46415811881746,2.06660081184461e-05
"5","BUSINVx",0.008,0.254411003705525,1.03807156172986,0.610966390708595,0.000869282041978715
"6","CE16OV",0.001,-0.0174312065393715,-0.399306462111915,0.537740143551859,1.63338529203422e-05
"7","CES0600000007",0.002,-0.0150294949100147,1.72876825905921,1.3526010510051,-1.13072062775275e-05
"8","CMRMTSPLx",0.011,-0.00290199919240589,2.26495830869562,0.78250522731075,-4.73228540945436e-05
"9","CP3Mx",0.002,-0.0775991138322286,0.68483654873599,0.773938136154678,1.38284084494701e-05
"10","CPITRNSL",0.001,-0.56221477058443,0.463206170250752,0.80467361828031,0.000191978042955989
"11","CUMFNS",0.07,-0.10563270402927,0.0800889070736721,0.902641573642371,0.00608219236632969
"12","CUSR0000SAD",0.001,0.686521472167209,0.693396913813493,0.788157414375803,-6.50551183493385e-05
"13","DMANEMP",0.876,0.0502594988746225,0.864873766232677,0.495087126048192,0.0162807151141534
"14","DNDGRG3M086SBEA",0.001,-0.116626971050746,0.837161744348425,0.806416726616669,-3.58569829295615e-06
"15","DPCERA3M086SBEA",0.001,-0.0347439762316211,0.596098177836168,0.709266971272309,3.93193386930648e-06
"16","FEDFUNDS",0.001,-0.11193057147769,0.676024147500631,0.779750970801128,1.16102026095899e-05
"17","IPBUSEQ",0.999,0.0132491159566337,0.0694777846854455,0.794511619817731,-0.00959645129679634
"18","IPCONGD",0.011,-0.590497952291936,-0.596829560101308,0.603753971527868,0.00779836328680695
"19","IPDCONGD",0.004,0.019688005543211,-0.426059518589483,0.798800290012737,-9.64601868056675e-05
"20","IPDMAT",1,0.645103309207339,0.191248164843594,0.984705438873191,-0.511861913191128
"21","IPFINAL",1,-0.217602359659429,-0.640767610911053,0.609648834753917,0.272093569133654
"22","IPFPNSS",1,0.676174317150815,-0.916427667376429,0.589751717978152,-1.01843981739877
"23","IPMANSICS",1,-0.347713448701487,-0.23578683708414,0.764340324557587,0.347757664514474
"24","IPMAT",0.984,0.431638539051188,-0.136231839875423,0.851311073551638,-0.419441395115578
"25","MANEMP",0.891,0.115349125281724,0.948870404724533,0.340037341285652,0.062573469927448
"26","NDMANEMP",0.111,0.0283948386217793,1.08457913760109,0.103109746413837,0.00309342181222257
"27","OILPRICEx",0.001,-0.649642509781968,0.484139845914133,0.799533921366544,0.000204893398747267
"28","PAYEMS",0.156,0.0330171528751172,0.314020140896121,0.277673288146577,0.000187210856626727
"29","PPIITM",0.002,0.00635549059931559,1.02465532619942,0.815008611277319,2.66481545172961e-06
"30","SRVPRD",0.024,-0.0264713332285455,0.0222195435615413,0.0614707423344612,2.49367574961081e-05
"31","T1YFFM",0.001,-0.0287525785527111,0.690018691559735,0.849106141400407,4.57417439829439e-06
"32","TB6MS",0.001,-0.130807577259802,0.692734353686464,0.770943866117707,1.02303968398014e-05
"33","UEMP15OV",0.019,0.11586473045227,1.43904892007729,0.835502916199701,0.00132866420604161
"34","UEMP15T26",0.027,0.0726248093022775,0.495735015548693,0.879985730001235,-0.000753465641257254
"35","UEMP27OV",0.001,0.121459334487429,1.33425682503299,0.797756003669268,6.51630327147963e-05
"36","UEMP5TO14",0.007,0.00533945871980596,0.468762814554302,0.908626366428246,-1.64404329430471e-05
"37","UNRATE",0.264,0.0501116954861036,1.27058489614491,0.88402320503016,0.00511401310245821
"38","USCONS",0.001,0.073266021191706,0.570668963735432,0.754521608062893,-1.34701517354469e-05
"39","USGOOD",0.43,0.12437112624521,0.781274906878671,0.497657619037582,0.0151677346499055
"40","USTPU",0.042,-0.0388772492554156,0.392678760576692,0.269202885756181,-0.000201616899221956
"41","USTRADE",0.009,-0.0502087817675729,0.0492446904806654,0.259264064303647,9.49033521651638e-05
"42","USWTRADE",0.02,0.0319058556139139,0.817764452638525,0.353099096001748,0.000296510915552817
"43","W875RX1",0.001,-0.00279275180467095,-0.148606217459135,0.673101353620691,2.29482530204497e-06
